s_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset
0.0	1.0	1	['B-3', 'F4', 'D5']	['P5', 'M3']	[True, True, True]
1.0	0.5	1	['B-3', 'F4', 'D5']	['P5', 'M3']	[True, True, True]
1.5	0.5	1	['B-3', 'F4', 'D5']	['P5', 'M3']	[True, True, True]
2.0	1.0	2	['B-3', 'F4', 'D5']	['P5', 'M3']	[True, True, True]
3.0	0.875	2	['D4', 'B-4']	['m6']	[True, True]
3.875	0.125	2	['F4', 'C5']	['P5']	[True, True]
4.0	0.875	3	['B-3', 'B-4', 'D5']	['P1', 'M3']	[True, True, True]
4.875	0.125	3	['B-3', 'C5', 'E-5']	['M2', 'P4']	[False, True, True]
5.0	0.5	3	['B-4', 'D5', 'F5']	['M3', 'P5']	[True, True, True]
5.5	0.5	3	['B-4', 'D5', 'F5']	['M3', 'P5']	[True, True, True]
6.0	2.0	4	['B-4', 'D5', 'E-5', 'F5', 'G5']	['M3', 'P4', 'P5', 'M6']	[True, True, True, True, True]
8.0	1.0	5	['B-2', 'F3', 'D4']	['P5', 'M3']	[True, True, True]
9.0	0.5	5	['B-2', 'F3', 'D4']	['P5', 'M3']	[True, True, True]
9.5	0.5	5	['B-2', 'F3', 'D4']	['P5', 'M3']	[True, True, True]
10.0	1.0	6	['B-2', 'F3', 'D4']	['P5', 'M3']	[True, True, True]
11.0	0.875	6	['D3', 'B-3']	['m6']	[True, True]
11.875	0.125	6	['F3', 'C4']	['P5']	[True, True]
12.0	0.875	7	['B-2', 'B-3', 'D4']	['P1', 'M3']	[True, True, True]
12.875	0.125	7	['B-2', 'C4', 'E-4']	['M2', 'P4']	[False, True, True]
13.0	0.5	7	['B-3', 'D4', 'F4']	['M3', 'P5']	[True, True, True]
13.5	0.5	7	['B-3', 'D4', 'F4']	['M3', 'P5']	[True, True, True]
14.0	1.0	8	['A3', 'D4', 'F4', 'G4']	['P4', 'm6', 'm7']	[True, True, True, True]
15.0	1.0	8	['A3', 'C4', 'C#4', 'D4', 'E4', 'F4']	['m3', 'M3', 'P4', 'P5', 'm6']	[False, True, True, True, True, False]
16.0	1.0	9	['A-3', 'B3', 'F4', 'D5']	['A2', 'M6', 'A4']	[True, True, True, True]
17.0	0.5	9	['A-3', 'B3', 'F4', 'D5']	['A2', 'M6', 'A4']	[True, True, True, True]
17.5	0.5	9	['A-3', 'B3', 'F4', 'D5']	['A2', 'M6', 'A4']	[True, True, True, True]
18.0	1.0	10	['G3', 'B3', 'F4', 'D5']	['M3', 'm7', 'P5']	[True, True, True, True]
19.0	0.875	10	['G3', 'F4', 'A-4', 'B4']	['m7', 'm2', 'M3']	[False, True, True, True]
19.875	0.125	10	['G3', 'E-4', 'G4', 'C5']	['m6', 'P1', 'P4']	[False, True, True, True]
20.0	0.875	11	['G2', 'D4', 'F4', 'D5']	['P5', 'm7', 'P5']	[True, True, True, True]
20.875	0.125	11	['G2', 'C4', 'E-4', 'E-5']	['P4', 'm6', 'm6']	[False, True, True, True]
21.0	0.5	11	['G3', 'B3', 'D4', 'F5']	['M3', 'P5', 'm7']	[True, True, True, True]
21.5	0.5	11	['G3', 'B3', 'D4', 'F5']	['M3', 'P5', 'm7']	[True, True, True, True]
22.0	2.0	12	['F#3', 'B3', 'D4', 'F#5', 'G5']	['P4', 'm6', 'P1', 'm2']	[True, True, True, True, True]
24.0	2.0	13	['E3', 'A#3', 'C#4', 'G4', 'A4']	['A4', 'M6', 'm3', 'P4']	[True, True, True, True, True]
26.0	2.0	14	['F#4', 'C5', 'E-5', 'A5', 'B-5']	['d5', 'd7', 'm3', 'd4']	[True, True, True, True, True]
28.0	2.0	15	['G#3', 'D4', 'F4', 'B4', 'C5']	['d5', 'd7', 'm3', 'd4']	[True, True, True, True, True]
30.0	2.0	16	['A4', 'E-5', 'F#5', 'C6', 'D6']	['d5', 'M6', 'm3', 'P4']	[True, True, True, True, True]
32.0	1.0	17	['C3', 'A3', 'D#4', 'F#4']	['M6', 'A2', 'A4']	[True, True, True, True]
33.0	0.5	17	['C3', 'A3', 'D#4', 'F#4']	['M6', 'A2', 'A4']	[True, True, True, True]
33.5	0.5	17	['C3', 'A3', 'D#4', 'F#4']	['M6', 'A2', 'A4']	[True, True, True, True]
34.0	1.0	18	['B2', 'A3', 'D#4', 'F#4']	['m7', 'M3', 'P5']	[True, True, True, True]
35.0	0.875	18	['B2', 'A3', 'B3', 'D#4']	['m7', 'P1', 'M3']	[False, False, True, True]
35.875	0.125	18	['B2', 'G#3', 'C#4', 'E4']	['M6', 'M2', 'P4']	[False, True, True, True]
36.0	0.875	19	['B2', 'F#3', 'D#4', 'F#4']	['P5', 'M3', 'P5']	[False, True, True, True]
36.875	0.125	19	['B2', 'E3', 'E4', 'G#4']	['P4', 'P4', 'M6']	[False, True, True, True]
37.0	0.5	19	['B2', 'D#3', 'F#4', 'A4']	['M3', 'P5', 'm7']	[True, True, True, True]
37.5	0.5	19	['B2', 'D#3', 'F#4', 'A4']	['M3', 'P5', 'm7']	[True, True, True, True]
38.0	1.5	20	['B2', 'D#3', 'F#4', 'G#4', 'A4', 'B4']	['M3', 'P5', 'M6', 'm7', 'P1']	[True, True, True, True, True, True]
39.5	0.5	20	['B3', 'E4', 'F#4', 'A4']	['P4', 'P5', 'm7']	[True, True, True, False]
40.0	1.0	21	['E4', 'G4']	['m3']	[True, True]
41.0	1.0	21	['A#3', 'F#4']	['m6']	[True, True]
42.0	1.0	22	['B3', 'D4']	['m3']	[True, True]
43.0	0.5	22	['E#3', 'C#4']	['m6']	[True, True]
43.5	0.5	22	['E#3', 'G#4', 'C#5']	['m3', 'm6']	[True, True, True]
44.0	1.0	23	['A3', 'C#4', 'F#5']	['M3', 'M6']	[True, True, True]
45.0	1.0	23	['G#3', 'D#4', 'B#4']	['P5', 'M3']	[True, True, True]
46.0	1.0	24	['E3', 'G#3', 'C#5']	['M3', 'M6']	[True, True, True]
47.0	0.5	24	['D#3', 'A#3', 'F##4']	['P5', 'M3']	[True, True, True]
47.5	0.5	24	['D#3', 'E-3', 'D#4', 'F##4']	['d2', 'P1', 'M3']	[False, True, True, False]
48.0	1.0	25	['A-3', 'E-4', 'C-5']	['P5', 'm3']	[True, True, True]
49.0	0.5	25	['D3', 'F4', 'B-4']	['m3', 'm6']	[True, True, True]
49.5	0.5	25	['D3', 'F4', 'B-4']	['m3', 'm6']	[False, False, False]
50.0	1.0	26	['E-3', 'B-3', 'G-4', 'G-5']	['P5', 'm3', 'm3']	[True, True, True, True]
51.0	1.0	26	['A2', 'C4', 'F4', 'F5']	['m3', 'm6', 'm6']	[True, True, True, True]
52.0	1.0	27	['B-2', 'F3', 'D-4', 'D-5']	['P5', 'm3', 'm3']	[True, True, True, True]
53.0	1.0	27	['E2', 'G3', 'C4', 'C5']	['m3', 'm6', 'm6']	[True, True, True, True]
54.0	1.0	28	['F2', 'C3', 'C4', 'F4', 'A-4']	['P5', 'P5', 'P1', 'm3']	[True, True, True, True, True]
55.0	1.0	28	['C2', 'C3', 'C4', 'E4', 'G4']	['P1', 'P1', 'M3', 'P5']	[True, True, True, True, True]
56.0	1.0	29	['C2', 'C3', 'C4', 'E-4', 'G4']	['P1', 'P1', 'm3', 'P5']	[False, False, False, True, False]
57.0	1.0	29	['E-4', 'G-4', 'G4', 'A4', 'B-4']	['m3', 'M3', 'A4', 'P5']	[True, True, True, True, True]
58.0	1.0	30	['C3', 'D-3', 'E-3', 'F3', 'D-4', 'E-4', 'B-4', 'C5']	['m2', 'm3', 'P4', 'm2', 'm3', 'm7', 'P1']	[True, True, True, True, True, True, True, True]
59.0	1.0	30	['D-3', 'E-3', 'F3', 'G-3', 'C4', 'D-4', 'F4', 'A-4', 'A4', 'B-4', 'B4', 'C5']	['M2', 'M3', 'P4', 'M7', 'P1', 'M3', 'P5', 'A5', 'M6', 'A6', 'M7']	[True, True, True, True, True, True, True, True, True, True, True, True]
60.0	1.0	31	['D3', 'E-3', 'F3', 'G3', 'E-4', 'F4', 'C5', 'D5']	['m2', 'm3', 'P4', 'm2', 'm3', 'm7', 'P1']	[True, True, True, True, True, True, True, True]
61.0	1.0	31	['E-3', 'F3', 'G3', 'A-3', 'D4', 'E-4', 'G4', 'B-4', 'B4', 'C5', 'C#5', 'D5']	['M2', 'M3', 'P4', 'M7', 'P1', 'M3', 'P5', 'A5', 'M6', 'A6', 'M7']	[True, True, True, True, True, True, True, True, True, True, True, True]
62.0	1.0	32	['E3', 'F3', 'G3', 'A3', 'F4', 'G4', 'D5', 'E5']	['m2', 'm3', 'P4', 'm2', 'm3', 'm7', 'P1']	[True, True, True, True, True, True, True, True]
63.0	0.5	32	['F3', 'G3', 'A3', 'B-3', 'E-4', 'F4', 'F#4', 'C5', 'C#5', 'D5', 'E-5']	['M2', 'M3', 'P4', 'm7', 'P1', 'A1', 'P5', 'A5', 'M6', 'm7']	[True, True, True, True, True, True, True, True, True, True, True]
63.5	0.5	32	['F#4', 'A4', 'D5']	['m3', 'm6']	[True, True, True]
64.0	1.0	33	['G4', 'D5', 'B-5']	['P5', 'm3']	[True, True, True]
65.0	0.5	33	['C#4', 'A4', 'E5', 'A5']	['m6', 'm3', 'm6']	[True, True, True, True]
65.5	0.5	33	['A2', 'C#4', 'A4', 'E5', 'A5']	['M3', 'P1', 'P5', 'P1']	[True, False, False, False, False]
66.0	0.5	34	['D3', 'D4', 'A4', 'F5']	['P1', 'P5', 'm3']	[True, True, True, True]
66.5	0.5	34	['D4', 'A4', 'F5']	['P5', 'm3']	[False, False, False]
67.0	0.5	34	['G#3', 'E4', 'B4', 'E5']	['m6', 'm3', 'm6']	[True, True, True, True]
67.5	0.5	34	['E2', 'G#3', 'E4', 'B4', 'E5']	['M3', 'P1', 'P5', 'P1']	[True, False, False, False, False]
68.0	1.0	35	['A2', 'A3', 'E4', 'C5']	['P1', 'P5', 'm3']	[True, True, True, True]
69.0	1.0	35	['D2', 'D4', 'F4', 'B-4']	['P1', 'm3', 'm6']	[True, True, True, True]
70.0	1.0	36	['D#2', 'C4', 'F#4', 'B-4']	['d7', 'm3', 'd6']	[True, True, True, False]
71.0	1.0	36	['D#2', 'C4', 'F#4', 'A4']	['d7', 'm3', 'd5']	[False, False, False, True]
72.0	1.0	37	['E2', 'F2']	['m2']	[True, True]
73.0	1.0	37	['E2', 'C4', 'E4', 'A4']	['m6', 'P1', 'P4']	[False, True, True, True]
74.0	1.0	38	['F2', 'G2']	['M2']	[True, True]
75.0	1.0	38	['F2', 'A3', 'E-4', 'C5']	['M3', 'm7', 'P5']	[False, True, True, True]
76.0	1.0	39	['F#2', 'G2']	['m2']	[True, True]
77.0	1.0	39	['F#2', 'A4', 'C5', 'E-5']	['m3', 'd5', 'd7']	[False, True, True, True]
78.0	1.0	40	['G2', 'A2']	['M2']	[True, True]
79.0	1.0	40	['G2', 'G4', 'E-5', 'C6']	['P1', 'm6', 'P4']	[False, True, True, True]
80.0	1.0	41	['A-2', 'B-2']	['M2']	[True, True]
81.0	1.0	41	['A-2', 'G-4', 'C5', 'E-6']	['m7', 'M3', 'P5']	[False, True, True, True]
82.0	1.0	42	['A2', 'B-2']	['m2']	[True, True]
83.0	1.0	42	['G#2', 'A2', 'A3', 'C4', 'E-4', 'E-5', 'G-6']	['m2', 'm2', 'd4', 'd6', 'd6', 'dd1']	[True, True, True, True, True, True, True]
84.0	1.0	43	['B-3', 'D-4', 'F4']	['m3', 'P5']	[True, True, True]
85.0	0.5	43	['E-3', 'B-3', 'C4', 'G-4']	['P5', 'M6', 'm3']	[True, True, True, True]
85.5	0.5	43	['G-3', 'B-3', 'C4', 'E-4']	['M3', 'A4', 'M6']	[True, True, True, True]
86.0	1.0	44	['F3', 'B-3', 'D-4', 'F4']	['P4', 'm6', 'P1']	[True, True, True, True]
87.0	0.25	44	['F2', 'A3', 'C4', 'F4']	['M3', 'P5', 'P1']	[True, True, True, True]
87.25	0.25	44	['F4']	[]	[True]
87.5	0.25	44	['D5']	[]	[True]
87.75	0.25	44	['C5']	[]	[True]
88.0	0.25	45	['B-2', 'F3', 'B-3', 'D4', 'B-4']	['P5', 'P1', 'M3', 'P1']	[True, True, True, True, True]
88.25	0.25	45	['B-2', 'F3', 'B-3', 'D4', 'A4']	['P5', 'P1', 'M3', 'M7']	[False, False, False, False, True]
88.5	0.25	45	['F2', 'F3', 'B-3', 'D4', 'B-4']	['P1', 'P4', 'M6', 'P4']	[True, True, True, True, True]
88.75	0.25	45	['F2', 'F3', 'B-3', 'D4', 'C5']	['P1', 'P4', 'M6', 'P5']	[False, False, False, False, True]
89.0	0.25	45	['F2', 'F3', 'B-3', 'D4', 'D5']	['P1', 'P4', 'M6', 'M6']	[False, False, False, False, True]
89.25	0.25	45	['F2', 'F3', 'B-3', 'D4', 'E-5']	['P1', 'P4', 'M6', 'm7']	[False, False, False, False, True]
89.5	0.25	46	['A2', 'F3', 'C4', 'E-4', 'C5']	['m6', 'm3', 'd5', 'm3']	[True, True, True, True, True]
89.75	0.25	46	['A2', 'F3', 'C4', 'E-4', 'B4']	['m6', 'm3', 'd5', 'M2']	[False, False, False, False, True]
90.0	0.25	46	['F2', 'F3', 'C4', 'E-4', 'C5']	['P1', 'P5', 'm7', 'P5']	[True, True, True, True, True]
90.25	0.25	46	['F2', 'F3', 'C4', 'E-4', 'F4']	['P1', 'P5', 'm7', 'P1']	[False, False, False, False, True]
90.5	0.25	46	['F2', 'F3', 'C4', 'E-4', 'E-5']	['P1', 'P5', 'm7', 'm7']	[False, False, False, False, True]
90.75	0.25	46	['F2', 'F3', 'C4', 'E-4', 'D5']	['P1', 'P5', 'm7', 'M6']	[False, False, False, False, True]
91.0	0.25	47	['A3', 'C4', 'C5']	['m3', 'm3']	[True, True, True]
91.25	0.25	47	['A3', 'C4', 'B4']	['m3', 'M2']	[False, False, True]
91.5	0.25	47	['G3', 'B-3', 'C5']	['m3', 'P4']	[True, True, True]
91.75	0.25	47	['G3', 'B-3', 'D5']	['m3', 'P5']	[False, False, True]
92.0	0.25	47	['F3', 'A3', 'E-5']	['M3', 'm7']	[True, True, True]
92.25	0.25	47	['F3', 'A3', 'F5']	['M3', 'P1']	[False, False, True]
92.5	0.25	48	['B-3', 'D4', 'D5']	['M3', 'M3']	[True, True, True]
92.75	0.25	48	['B-3', 'D4', 'B-4']	['M3', 'P1']	[False, False, True]
93.0	0.25	48	['C4', 'E-4', 'B-5']	['m3', 'm7']	[True, True, True]
93.25	0.25	48	['C4', 'E-4', 'B-4']	['m3', 'm7']	[False, False, True]
93.5	0.25	48	['D4', 'F4', 'B-5']	['m3', 'm6']	[True, True, True]
93.75	0.25	48	['D4', 'F4', 'A-5']	['m3', 'd5']	[False, False, True]
94.0	0.25	49	['E-4', 'G4', 'A-5']	['M3', 'P4']	[True, True, True]
94.25	0.25	49	['E-4', 'G4', 'G5']	['M3', 'M3']	[False, False, True]
94.5	0.25	49	['A3', 'C4', 'G5']	['m3', 'm7']	[True, True, True]
94.75	0.25	49	['A3', 'C4', 'F#5']	['m3', 'M6']	[False, False, True]
95.0	0.25	49	['B3', 'D4', 'G5']	['m3', 'm6']	[True, True, True]
95.25	0.25	49	['B3', 'D4', 'F5']	['m3', 'd5']	[False, False, True]
95.5	0.25	50	['C4', 'E-4', 'F5']	['m3', 'P4']	[True, True, True]
95.75	0.25	50	['C4', 'E-4', 'E-5']	['m3', 'm3']	[False, False, True]
96.0	0.25	50	['F#3', 'A3', 'E-5']	['m3', 'd7']	[True, True, True]
96.25	0.25	50	['F#3', 'A3', 'D5']	['m3', 'm6']	[False, False, True]
96.5	0.25	50	['G3', 'B-3', 'E-5']	['m3', 'm6']	[True, True, True]
96.75	0.25	50	['G3', 'B-3', 'D5']	['m3', 'P5']	[False, False, True]
