s_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset
0.0	0.375	0	['E3', 'G3', 'C4']	['m3', 'm6']	[True, True, True]
0.375	0.125	0	['E3', 'G3', 'C4', 'C5']	['m3', 'm6', 'm6']	[False, False, False, True]
0.5	0.375	1	['F3', 'A-3', 'C4', 'A-4']	['m3', 'P5', 'm3']	[True, True, False, True]
0.875	0.125	1	['F3', 'A-3', 'D-4', 'A-4']	['m3', 'm6', 'm3']	[False, False, True, False]
1.0	0.5	1	['G3', 'B-3', 'C4', 'E4']	['m3', 'P4', 'M6']	[True, True, True, True]
1.5	0.5	1			
2.0	0.375	1	['E3', 'G3', 'C4']	['m3', 'm6']	[True, True, True]
2.375	0.125	1	['E3', 'G3', 'C4', 'C5']	['m3', 'm6', 'm6']	[False, False, False, True]
2.5	0.375	2	['F3', 'A-3', 'C4', 'A-4']	['m3', 'P5', 'm3']	[True, True, False, True]
2.875	0.125	2	['F3', 'A-3', 'D-4', 'A-4']	['m3', 'm6', 'm3']	[False, False, True, False]
3.0	0.5	2	['G3', 'B-3', 'C4', 'E4']	['m3', 'P4', 'M6']	[True, True, True, True]
3.5	0.5	2			
4.0	0.375	2	['A3', 'C4', 'F4']	['m3', 'm6']	[True, True, True]
4.375	0.125	2	['A3', 'C4', 'F4', 'F5']	['m3', 'm6', 'm6']	[False, False, False, True]
4.5	0.25	3	['B-3', 'D-4', 'F4', 'E-5']	['m3', 'P5', 'P4']	[True, True, False, True]
4.75	0.125	3	['B-3', 'D-4', 'F4', 'D-5']	['m3', 'P5', 'm3']	[False, False, False, True]
4.875	0.125	3	['B-3', 'D-4', 'B-4', 'D-5']	['m3', 'P1', 'm3']	[False, False, True, False]
5.0	0.5	3	['C4', 'F4', 'A-4', 'C5']	['P4', 'm6', 'P1']	[True, True, True, True]
5.5	0.25	3	['D-4', 'F4', 'A-4', 'B4']	['M3', 'P5', 'A6']	[True, True, True, True]
5.75	0.25	3	['D-4', 'F4', 'B4']	['M3', 'A6']	[False, False, False]
6.0	0.125	3	['D-4', 'E4', 'B4']	['A2', 'A6']	[False, True, False]
6.125	0.125	3	['D-4', 'E4', 'B4', 'A-5']	['A2', 'A6', 'P5']	[False, False, False, True]
6.25	0.125	3	['D-4', 'F4', 'B4', 'G5']	['M3', 'A6', 'A4']	[False, True, False, True]
6.375	0.125	3	['D-4', 'F4', 'B4', 'F5']	['M3', 'A6', 'M3']	[False, False, False, True]
6.5	0.5	4	['C4', 'A-4', 'C5', 'F5']	['m6', 'P1', 'P4']	[True, True, True, True]
7.0	0.125	4	['C4', 'A-4', 'C5', 'F5']	['m6', 'P1', 'P4']	[True, False, False, False]
7.125	0.125	4	['C4', 'G4', 'C5', 'E5']	['P5', 'P1', 'M3']	[False, True, False, True]
7.25	0.125	4	['C4', 'A-4', 'C5', 'F5']	['m6', 'P1', 'P4']	[False, True, True, True]
7.375	0.125	4	['C4', 'F4', 'A-4', 'B4']	['P4', 'm6', 'M7']	[False, True, True, True]
7.5	0.25	4	['C4', 'F4', 'A-4', 'B4']	['P4', 'm6', 'M7']	[True, True, True, True]
7.75	0.25	4	['C4', 'E4', 'G4', 'C5']	['M3', 'P5', 'P1']	[False, True, True, True]
8.0	0.125	4	['F3', 'F4']	['P1']	[True, True]
8.125	0.125	4	['E3', 'E4']	['P1']	[True, True]
8.25	0.125	4	['F3', 'F4']	['P1']	[True, True]
8.375	0.125	4	['B2', 'B3']	['P1']	[True, True]
8.5	0.25	5	['B2', 'B3']	['P1']	[True, True]
8.75	0.25	5	['C3', 'C4']	['P1']	[True, True]
9.0	0.375	5	['E2', 'C3', 'C5']	['m6', 'm6']	[True, True, True]
9.375	0.125	5	['E2', 'C4', 'C5']	['m6', 'm6']	[False, True, False]
9.5	0.25	5	['F2', 'A-3', 'D-4', 'C5']	['m3', 'm6', 'P5']	[True, True, True, False]
9.75	0.125	5	['F2', 'A-3', 'D-4', 'D-5']	['m3', 'm6', 'm6']	[False, False, False, True]
9.875	0.125	5	['F2', 'A-3', 'D-5']	['m3', 'm6']	[False, False, False]
10.0	0.375	5	['G2', 'C3', 'B-3', 'D-5']	['P4', 'm3', 'd5']	[True, True, True, True]
10.375	0.125	5	['G2', 'C3', 'B-3', 'D-5', 'D-6']	['P4', 'm3', 'd5', 'd5']	[False, False, False, False, True]
10.5	0.25	6	['G2', 'C3', 'B-3', 'B4', 'B5']	['P4', 'm3', 'M3', 'M3']	[False, False, False, True, True]
10.75	0.25	6	['G2', 'C3', 'B-3', 'C5', 'C6']	['P4', 'm3', 'P4', 'P4']	[False, False, False, True, True]
11.0	0.375	6	['E2', 'C3', 'C5']	['m6', 'm6']	[True, True, True]
11.375	0.125	6	['E2', 'C4', 'C5']	['m6', 'm6']	[False, True, False]
11.5	0.25	6	['F2', 'A-3', 'D-4', 'C5']	['m3', 'm6', 'P5']	[True, True, True, False]
11.75	0.125	6	['F2', 'A-3', 'D-4', 'D-5']	['m3', 'm6', 'm6']	[False, False, False, True]
11.875	0.125	6	['F2', 'A-3', 'D-5']	['m3', 'm6']	[False, False, False]
12.0	0.375	6	['G2', 'C3', 'B-3', 'D-5']	['P4', 'm3', 'd5']	[True, True, True, True]
12.375	0.125	6	['G2', 'C3', 'B-3', 'D-5', 'D-6']	['P4', 'm3', 'd5', 'd5']	[False, False, False, False, True]
12.5	0.25	7	['G2', 'C3', 'B-3', 'B4', 'B5']	['P4', 'm3', 'M3', 'M3']	[False, False, False, True, True]
12.75	0.25	7	['G2', 'C3', 'B-3', 'C5', 'C6']	['P4', 'm3', 'P4', 'P4']	[False, False, False, True, True]
13.0	0.5	7	['G2', 'C3', 'B-3']	['P4', 'm3']	[True, True, True]
13.5	0.25	7	['G2', 'C3', 'B-3', 'B4', 'B5']	['P4', 'm3', 'M3', 'M3']	[False, False, False, True, True]
13.75	0.25	7	['G2', 'C3', 'B-3', 'C5', 'C6']	['P4', 'm3', 'P4', 'P4']	[False, False, False, True, True]
14.0	0.5	7	['G2', 'C3', 'B-3']	['P4', 'm3']	[True, True, True]
14.5	0.5	8	['G2', 'C3', 'B-3', 'B4', 'B5']	['P4', 'm3', 'M3', 'M3']	[False, False, False, True, True]
15.0	0.5	8	['G2', 'C3', 'B-3', 'C5', 'C6']	['P4', 'm3', 'P4', 'P4']	[False, False, False, True, True]
15.5	0.5	8	['G2', 'C3', 'B-3']	['P4', 'm3']	[True, True, True]
16.0	0.5	8	['B4', 'B5']	['P1']	[True, True]
16.5	0.5	8	['C5', 'C6']	['P1']	[True, True]
17.0	0.5	8	['G2', 'C3', 'B-3']	['P4', 'm3']	[True, True, True]
17.5	0.25	9	['B4', 'B5']	['P1']	[True, True]
17.75	0.25	9	['C5', 'C6']	['P1']	[True, True]
18.0	0.25	9	['G2', 'C3', 'B-3', 'B4', 'B5']	['P4', 'm3', 'M3', 'M3']	[True, True, True, True, True]
18.25	0.25	9	['G2', 'C3', 'B-3', 'C5', 'C6']	['P4', 'm3', 'P4', 'P4']	[False, False, False, True, True]
18.5	0.25	9	['G2', 'C3', 'B-3', 'B4', 'B5']	['P4', 'm3', 'M3', 'M3']	[True, True, True, True, True]
18.75	0.25	9	['G2', 'C3', 'B-3', 'C5', 'C6']	['P4', 'm3', 'P4', 'P4']	[False, False, False, True, True]
19.0	0.25	9	['G2', 'C3', 'B-3', 'B4', 'B5']	['P4', 'm3', 'M3', 'M3']	[True, True, True, True, True]
19.25	0.25	9	['G2', 'C3', 'B-3', 'C5', 'C6']	['P4', 'm3', 'P4', 'P4']	[False, False, False, True, True]
19.5	0.25	9	['F2', 'C3', 'A-3', 'B4', 'B5']	['P5', 'm3', 'A4', 'A4']	[True, True, True, True, True]
19.75	0.25	9	['F2', 'C3', 'A-3', 'C5', 'C6']	['P5', 'm3', 'P5', 'P5']	[False, False, False, True, True]
20.0	0.25	9	['E2', 'C3', 'G3', 'B4', 'B5']	['m6', 'm3', 'P5', 'P5']	[True, True, True, True, True]
20.25	0.25	9	['E2', 'C3', 'G3', 'C5', 'C6']	['m6', 'm3', 'm6', 'm6']	[False, False, False, True, True]
20.5	0.25	10	['F2', 'C3', 'A-3', 'C5', 'C6']	['P5', 'm3', 'P5', 'P5']	[True, True, True, True, True]
20.75	0.25	10	['F2', 'C3', 'A-3', 'A-4', 'A-5']	['P5', 'm3', 'm3', 'm3']	[False, False, False, True, True]
21.0	0.5	10	['F3', 'A-3']	['m3']	[True, True]
21.5	0.5	10	['A-3', 'C4']	['M3']	[True, True]
22.0	0.25	10	['A-4', 'A-5']	['P1']	[True, True]
22.25	0.25	10	['F4', 'F5']	['P1']	[True, True]
22.5	0.5	10	['F3', 'A-3']	['m3']	[True, True]
23.0	0.5	10	['A-3', 'C4']	['M3']	[True, True]
23.5	0.25	11	['C5', 'C6']	['P1']	[True, True]
23.75	0.25	11	['A-4', 'A-5']	['P1']	[True, True]
24.0	0.5	11	['F3', 'A-3']	['m3']	[True, True]
24.5	0.5	11	['A-3', 'C4']	['M3']	[True, True]
25.0	0.25	11	['A-4', 'A-5']	['P1']	[True, True]
25.25	0.25	11	['F4', 'F5']	['P1']	[True, True]
25.5	0.5	11	['F3', 'A-3']	['m3']	[True, True]
26.0	0.5	11	['A-3', 'C4', 'F4', 'F5']	['M3', 'M6', 'M6']	[True, True, True, True]
26.5	0.5	12	['B-4', 'B-5']	['P1']	[True, True]
