onset_div	duration_div	j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	ks_fifths	ts_beats	ts_beat_type	measureNumberWithSuffix	onset_beat	s_note	s_midi	s_isOnset	s_step	s_alter	mn_onset	s_beat_float	is_downbeat	downbeat	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	a_simpleNumeral	valid_chord_label	note_degree
0	45	0.0	0	0.75	3/4	1	-3	3	4	1	0.0	C5	72	True	C	0	0	1.0	True	1	P1-Staff2	5	1	3.0	0	ii7	True	('A-', 'C', 'E-', 'F')	A-	F	1	minor seventh chord	(0, 3, 5, 8)	E-	E-	2	None	ii7	True	6
0	120	0.0	0	2.0	2	1	-3	3	4	1	0.0	C4	60	True	C	0	0	1.0	True	1	P1-Staff2	1	1	3.0	0	ii7	True	('A-', 'C', 'E-', 'F')	A-	F	1	minor seventh chord	(0, 3, 5, 8)	E-	E-	2	None	ii7	True	6
0	120	0.0	0	2.0	2	1	-3	3	4	1	0.0	E-4	63	True	E	-1	0	1.0	True	1	P1-Staff2	1	1	3.0	0	ii7	True	('A-', 'C', 'E-', 'F')	A-	F	1	minor seventh chord	(0, 3, 5, 8)	E-	E-	2	None	ii7	True	1
0	120	0.0	0	2.0	2	1	-3	3	4	1	0.0	A-2	44	True	A	-1	0	1.0	True	1	P1-Staff2	1	1	3.0	0	ii7	True	('A-', 'C', 'E-', 'F')	A-	F	1	minor seventh chord	(0, 3, 5, 8)	E-	E-	2	None	ii7	True	4
0	120	0.0	0	2.0	2	1	-3	3	4	1	0.0	E-3	51	True	E	-1	0	1.0	True	1	P1-Staff2	1	1	3.0	0	ii7	True	('A-', 'C', 'E-', 'F')	A-	F	1	minor seventh chord	(0, 3, 5, 8)	E-	E-	2	None	ii7	True	1
0	120	0.0	0	2.0	2	1	-3	3	4	1	0.0	F3	53	True	F	0	0	1.0	True	1	P1-Staff2	1	1	3.0	0	ii7	True	('A-', 'C', 'E-', 'F')	A-	F	1	minor seventh chord	(0, 3, 5, 8)	E-	E-	2	None	ii7	True	2
0	120	0.0	0	2.0	2	1	-3	3	4	1	0.0	A-3	56	True	A	-1	0	1.0	True	1	P1-Staff2	1	1	3.0	0	ii7	True	('A-', 'C', 'E-', 'F')	A-	F	1	minor seventh chord	(0, 3, 5, 8)	E-	E-	2	None	ii7	True	4
45	15	0.75	3/4	0.25	1/4	1	-3	3	4	1	0.75	F4	65	True	F	0	3/16	1.75	False	0	P1-Staff2	5	1	3.0	0	ii7	False	('A-', 'C', 'E-', 'F')	A-	F	1	minor seventh chord	(0, 3, 5, 8)	E-	E-	2	None	ii7	True	2
60	60	1.0	1	1.0	1	1	-3	3	4	1	1.0	F4	65	True	F	0	1/4	2.0	True	2	P1-Staff2	5	1	3.0	0	ii7	False	('A-', 'C', 'E-', 'F')	A-	F	1	minor seventh chord	(0, 3, 5, 8)	E-	E-	2	None	ii7	True	2
180	45	3.0	3	0.75	3/4	2	-3	3	4	2	3.0	C5	72	True	C	0	0	1.0	True	1	P1-Staff2	5	2	3.0	1	ii7	True	('A-', 'C', 'E-', 'F')	A-	F	1	minor seventh chord	(0, 3, 5, 8)	E-	E-	2	None	ii7	True	6
180	120	3.0	3	2.0	2	2	-3	3	4	2	3.0	C4	60	True	C	0	0	1.0	True	1	P1-Staff2	1	2	3.0	1	ii7	True	('A-', 'C', 'E-', 'F')	A-	F	1	minor seventh chord	(0, 3, 5, 8)	E-	E-	2	None	ii7	True	6
180	120	3.0	3	2.0	2	2	-3	3	4	2	3.0	E-4	63	True	E	-1	0	1.0	True	1	P1-Staff2	1	2	3.0	1	ii7	True	('A-', 'C', 'E-', 'F')	A-	F	1	minor seventh chord	(0, 3, 5, 8)	E-	E-	2	None	ii7	True	1
180	120	3.0	3	2.0	2	2	-3	3	4	2	3.0	A-2	44	True	A	-1	0	1.0	True	1	P1-Staff2	1	2	3.0	1	ii7	True	('A-', 'C', 'E-', 'F')	A-	F	1	minor seventh chord	(0, 3, 5, 8)	E-	E-	2	None	ii7	True	4
180	120	3.0	3	2.0	2	2	-3	3	4	2	3.0	E-3	51	True	E	-1	0	1.0	True	1	P1-Staff2	1	2	3.0	1	ii7	True	('A-', 'C', 'E-', 'F')	A-	F	1	minor seventh chord	(0, 3, 5, 8)	E-	E-	2	None	ii7	True	1
180	120	3.0	3	2.0	2	2	-3	3	4	2	3.0	F3	53	True	F	0	0	1.0	True	1	P1-Staff2	1	2	3.0	1	ii7	True	('A-', 'C', 'E-', 'F')	A-	F	1	minor seventh chord	(0, 3, 5, 8)	E-	E-	2	None	ii7	True	2
180	120	3.0	3	2.0	2	2	-3	3	4	2	3.0	A-3	56	True	A	-1	0	1.0	True	1	P1-Staff2	1	2	3.0	1	ii7	True	('A-', 'C', 'E-', 'F')	A-	F	1	minor seventh chord	(0, 3, 5, 8)	E-	E-	2	None	ii7	True	4
225	15	3.75	15/4	0.25	1/4	2	-3	3	4	2	3.75	F4	65	True	F	0	3/16	1.75	False	0	P1-Staff2	5	2	3.0	1	ii7	False	('A-', 'C', 'E-', 'F')	A-	F	1	minor seventh chord	(0, 3, 5, 8)	E-	E-	2	None	ii7	True	2
240	60	4.0	4	1.0	1	2	-3	3	4	2	4.0	F4	65	True	F	0	1/4	2.0	True	2	P1-Staff2	5	2	3.0	1	ii7	False	('A-', 'C', 'E-', 'F')	A-	F	1	minor seventh chord	(0, 3, 5, 8)	E-	E-	2	None	ii7	True	2
