onset_div	duration_div	j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	ks_fifths	ts_beats	ts_beat_type	measureNumberWithSuffix	onset_beat	s_note	s_midi	s_isOnset	s_step	s_alter	mn_onset	s_beat_float	is_downbeat	downbeat	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	a_simpleNumeral	valid_chord_label	note_degree
0	36	0.0	0	1.5	3/2	1	-4	3	8	1	0.0	A-4	68	True	A	-1	0	1.0	True	1	spine_0	1	1	1.5	0	I	True	('A-', 'C', 'E-')	A-	A-	0	major triad	(0, 3, 8)	A-	A-	1	None	I	True	1
0	12	0.0	0	0.5	1/2	1	-4	3	8	1	0.0	C4	60	True	C	0	0	1.0	True	1	spine_0	1	1	1.5	0	I	True	('A-', 'C', 'E-')	A-	A-	0	major triad	(0, 3, 8)	A-	A-	1	None	I	True	3
0	12	0.0	0	0.5	1/2	1	-4	3	8	1	0.0	A-3	56	True	A	-1	0	1.0	True	1	spine_0	1	1	1.5	0	I	True	('A-', 'C', 'E-')	A-	A-	0	major triad	(0, 3, 8)	A-	A-	1	None	I	True	1
0	36	0.0	0	1.5	3/2	1	-4	3	8	1	0.0	A-2	44	True	A	-1	0	1.0	True	1	spine_0	1	1	1.5	0	I	True	('A-', 'C', 'E-')	A-	A-	0	major triad	(0, 3, 8)	A-	A-	1	None	I	True	1
12	12	0.5	1/2	0.5	1/2	1	-4	3	8	1	1.0	D-4	61	True	D	-1	1/8	2.0	True	2	spine_0	1	1	1.5	0	I	False	('A-', 'C', 'E-')	A-	A-	0	major triad	(0, 3, 8)	A-	A-	1	None	I	True	4
12	12	0.5	1/2	0.5	1/2	1	-4	3	8	1	1.0	B-3	58	True	B	-1	1/8	2.0	True	2	spine_0	1	1	1.5	0	I	False	('A-', 'C', 'E-')	A-	A-	0	major triad	(0, 3, 8)	A-	A-	1	None	I	True	2
24	12	1.0	1	0.5	1/2	1	-4	3	8	1	2.0	E-4	63	True	E	-1	1/4	3.0	True	3	spine_0	1	1	1.5	0	I	False	('A-', 'C', 'E-')	A-	A-	0	major triad	(0, 3, 8)	A-	A-	1	None	I	True	5
24	12	1.0	1	0.5	1/2	1	-4	3	8	1	2.0	C4	60	True	C	0	1/4	3.0	True	3	spine_0	1	1	1.5	0	I	False	('A-', 'C', 'E-')	A-	A-	0	major triad	(0, 3, 8)	A-	A-	1	None	I	True	3
36	24	1.5	3/2	1.0	1	2	-4	3	8	2	3.0	A-4	68	False	A	-1	0	1.0	True	1	spine_0	1	2	1.5	1	IV	True	('A-', 'D-', 'F')	A-	D-	2	major triad	(1, 5, 8)	A-	A-	4	None	IV	True	1
36	12	1.5	3/2	0.5	1/2	2	-4	3	8	2	3.0	F4	65	True	F	0	0	1.0	True	1	spine_0	1	2	1.5	1	IV	True	('A-', 'D-', 'F')	A-	D-	2	major triad	(1, 5, 8)	A-	A-	4	None	IV	True	6
36	12	1.5	3/2	0.5	1/2	2	-4	3	8	2	3.0	D-4	61	True	D	-1	0	1.0	True	1	spine_0	1	2	1.5	1	IV	True	('A-', 'D-', 'F')	A-	D-	2	major triad	(1, 5, 8)	A-	A-	4	None	IV	True	4
36	36	1.5	3/2	1.5	3/2	2	-4	3	8	2	3.0	A-2	44	False	A	-1	0	1.0	True	1	spine_0	1	2	1.5	1	IV	True	('A-', 'D-', 'F')	A-	D-	2	major triad	(1, 5, 8)	A-	A-	4	None	IV	True	1
48	12	2.0	2	0.5	1/2	2	-4	3	8	2	4.0	E-4	63	True	E	-1	1/8	2.0	True	2	spine_0	1	2	1.5	1	IV	False	('A-', 'D-', 'F')	A-	D-	2	major triad	(1, 5, 8)	A-	A-	4	None	IV	True	5
