s_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset
0.0	0.5	0	['A4']	[]	[True]
0.5	0.5	1	['D5']	[]	[True]
1.0	0.5	1	['F3', 'A3', 'D4', 'D5']	['M3', 'M6', 'M6']	[True, True, True, False]
1.5	0.5	1	['E3', 'G3', 'C#4', 'E5']	['m3', 'M6', 'P1']	[True, True, True, True]
2.0	0.5	1	['D3', 'F3', 'D4', 'F5']	['m3', 'P1', 'm3']	[True, True, True, True]
2.5	0.5	2	['G3', 'A3', 'E4', 'C#5']	['M2', 'M6', 'A4']	[True, True, True, True]
3.0	0.5	2	['F3', 'A3', 'F4', 'D5']	['M3', 'P1', 'M6']	[True, False, True, True]
3.5	0.5	2	['B-4']	[]	[True]
4.0	0.5	2	['G3', 'C#4', 'E4', 'B-4']	['A4', 'M6', 'm3']	[True, True, True, False]
4.5	0.5	3	['F3', 'D4', 'F4', 'A4']	['M6', 'P1', 'M3']	[True, True, True, True]
5.0	0.375	3	['B-3', 'D4', 'D5']	['M3', 'M3']	[True, True, True]
5.375	0.125	3	['B-3', 'D4']	['M3']	[False, False]
5.5	0.5	3	['G3', 'B-3', 'D4', 'E4']	['m3', 'P5', 'M6']	[True, True, False, True]
6.0	0.25	3	['A3', 'C#4', 'E4']	['M3', 'P5']	[True, True, False]
6.25	0.125	3	['A3', 'C#4', 'F4']	['M3', 'm6']	[False, False, True]
6.375	0.125	3	['A3', 'C#4', 'G4']	['M3', 'm7']	[False, False, True]
6.5	0.125	4	['D3', 'D4', 'G4']	['P1', 'P4']	[True, True, True]
6.625	0.125	4	['D3', 'D4', 'F4']	['P1', 'm3']	[False, False, True]
6.75	0.125	4	['D3', 'D4', 'E4']	['P1', 'M2']	[False, False, True]
6.875	0.125	4	['D3', 'D4']	['P1']	[False, False]
7.0	0.5	4	['D3', 'D4']	['P1']	[False, False]
7.5	0.5	4	['D2']	[]	[True]
8.0	0.5	4	['A4']	[]	[True]
8.5	0.5	5	['D5']	[]	[True]
9.0	0.5	5	['F3', 'A3', 'D4', 'D5']	['M3', 'M6', 'M6']	[True, True, True, False]
9.5	0.5	5	['E3', 'C#4', 'G4', 'E5']	['M6', 'm3', 'P1']	[True, True, True, True]
10.0	0.375	5	['D3', 'D4', 'F4', 'F5']	['P1', 'm3', 'm3']	[True, True, True, True]
10.375	0.125	5	['D3', 'D4', 'F4', 'A4']	['P1', 'm3', 'P5']	[False, False, False, True]
10.5	0.5	6	['G3', 'D4', 'F4', 'B-4']	['P5', 'm7', 'm3']	[True, True, True, True]
11.0	0.375	6	['G3', 'D4', 'G4', 'B-4']	['P5', 'P1', 'm3']	[False, False, True, False]
11.375	0.125	6	['G3', 'D4', 'B-4']	['P5', 'm3']	[False, False, False]
11.5	0.5	6	['C3', 'E4', 'G4', 'B-4']	['M3', 'P5', 'm7']	[True, True, True, False]
12.0	0.375	6	['C3', 'E4', 'G5']	['M3', 'P5']	[False, False, True]
12.375	0.125	6	['C3', 'E4', 'B-4']	['M3', 'm7']	[False, False, True]
12.5	0.5	7	['D3', 'C4', 'F4', 'A4']	['m7', 'm3', 'P5']	[True, True, True, True]
13.0	0.375	7	['B-2', 'B-3', 'D4', 'B-4']	['P1', 'M3', 'P1']	[True, True, True, True]
13.375	0.125	7	['B-2', 'B-3', 'D4', 'G4']	['P1', 'M3', 'M6']	[False, False, False, True]
13.5	0.5	7	['C3', 'A3', 'C4', 'F4']	['M6', 'P1', 'P4']	[True, True, True, True]
14.0	0.375	7	['C3', 'G3', 'B-3', 'E4']	['P5', 'm7', 'M3']	[True, True, True, True]
14.375	0.0625	7	['C3', 'B-3', 'G4']	['m7', 'P5']	[False, False, True]
14.4375	0.0625	7	['C3', 'G3', 'B-3', 'E4']	['P5', 'm7', 'M3']	[False, True, False, True]
14.5	0.5	8	['F3', 'A3', 'F4']	['M3', 'P1']	[True, True, True]
15.0	0.5	8	['C3', 'F3', 'A3', 'F4']	['P4', 'M6', 'P4']	[True, False, False, False]
15.5	0.5	8	['F2']	[]	[True]
16.0	0.5	0	['F3', 'A4']	['M3']	[True, True]
16.5	0.5	9	['C5']	[]	[True]
17.0	0.5	9	['F#3', 'A3', 'E-4', 'C5']	['m3', 'd7', 'd5']	[True, True, True, False]
17.5	0.5	9	['G3', 'B-3', 'D4', 'B-4']	['m3', 'P5', 'm3']	[True, True, True, True]
18.0	0.5	9	['A3', 'C4', 'A4']	['m3', 'P1']	[True, True, True]
18.5	0.5	10	['B-3', 'D4', 'G4']	['M3', 'M6']	[True, True, True]
19.0	0.375	10	['C4', 'E-4', 'A4']	['m3', 'M6']	[True, True, True]
19.375	0.125	10	['C4', 'E-4', 'F#4']	['m3', 'A4']	[False, False, True]
19.5	0.5	10	['B-3', 'D4', 'G4']	['M3', 'M6']	[True, True, True]
20.0	0.5	10	['D5']	[]	[True]
20.5	0.5	11	['D5']	[]	[True]
21.0	0.25	11	['B-3', 'F4', 'G#4', 'D5']	['P5', 'A6', 'M3']	[True, True, True, False]
21.25	0.25	11	['B-3', 'F4', 'G#4', 'E5']	['P5', 'A6', 'A4']	[False, False, False, True]
21.5	0.5	11	['B-3', 'F4', 'G#4', 'F5']	['P5', 'A6', 'P5']	[True, True, True, True]
22.0	0.5	11	['B-3', 'D4', 'F4', 'G#4']	['M3', 'P5', 'A6']	[True, True, True, True]
22.5	1.0	12	['A3', 'D4', 'F4', 'G#4']	['P4', 'm6', 'M7']	[True, True, True, True]
23.5	0.5	12	['A3', 'C#4', 'E4', 'A4']	['M3', 'P5', 'P1']	[False, True, True, True]
24.0	0.1667	12	['F#3', 'D4', 'A4', 'A5']	['m6', 'm3', 'm3']	[True, True, True, True]
24.1667	0.1667	12	['F#3', 'D4', 'D5', 'A5']	['m6', 'm6', 'm3']	[False, False, True, False]
24.3333	0.1667	12	['F#3', 'D4', 'C5', 'A5']	['m6', 'd5', 'm3']	[False, False, True, False]
24.5	0.5	13	['G3', 'D4', 'B-4', 'A5']	['P5', 'm3', 'M2']	[True, False, True, True]
25.0	0.5	13	['G3', 'E-4', 'B-4', 'G5']	['m6', 'm3', 'P1']	[False, True, False, True]
25.5	0.5	13	['G3', 'E-4', 'B-4', 'G5']	['m6', 'm3', 'P1']	[False, True, False, False]
26.0	0.1667	13	['G3', 'E-4', 'B-4', 'B-5']	['m6', 'm3', 'm3']	[False, False, True, True]
26.1667	0.1667	13	['G3', 'E-4', 'E-5', 'B-5']	['m6', 'm6', 'm3']	[False, False, True, False]
