onset_div	duration_div	j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	ks_fifths	ts_beats	ts_beat_type	measureNumberWithSuffix	onset_beat	s_note	s_midi	s_isOnset	s_step	s_alter	mn_onset	s_beat_float	is_downbeat	downbeat	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	a_simpleNumeral	valid_chord_label	note_degree
0	24	0.0	0	0.5	1/2	1	-1	3	8	1	0.0	F4	65	True	F	0	0	1.0	True	1	P1-Staff2	1	1	1.5	0	I	True	('F', 'A', 'C')	F	F	0	major triad	(0, 5, 9)	F	F	1	None	I	True	1
0	24	0.0	0	0.5	1/2	1	-1	3	8	1	0.0	F3	53	True	F	0	0	1.0	True	1	P1-Staff2	1	1	1.5	0	I	True	('F', 'A', 'C')	F	F	0	major triad	(0, 5, 9)	F	F	1	None	I	True	1
0	24	0.0	0	0.5	1/2	1	-1	3	8	1	0.0	A3	57	True	A	0	0	1.0	True	1	P1-Staff2	1	1	1.5	0	I	True	('F', 'A', 'C')	F	F	0	major triad	(0, 5, 9)	F	F	1	None	I	True	3
0	24	0.0	0	0.5	1/2	1	-1	3	8	1	0.0	C4	60	True	C	0	0	1.0	True	1	P1-Staff2	1	1	1.5	0	I	True	('F', 'A', 'C')	F	F	0	major triad	(0, 5, 9)	F	F	1	None	I	True	5
24	24	0.5	1/2	0.5	1/2	1	-1	3	8	1	1.0	A4	69	True	A	0	1/8	2.0	True	2	P1-Staff2	1	1	1.5	0	I	False	('F', 'A', 'C')	F	F	0	major triad	(0, 5, 9)	F	F	1	None	I	True	3
48	24	1.0	1	0.5	1/2	1	-1	3	8	1	2.0	F4	65	True	F	0	1/4	3.0	True	3	P1-Staff2	1	1	1.5	0	I	False	('F', 'A', 'C')	F	F	0	major triad	(0, 5, 9)	F	F	1	None	I	True	1
48	24	1.0	1	0.5	1/2	1	-1	3	8	1	2.0	F3	53	True	F	0	1/4	3.0	True	3	P1-Staff2	1	1	1.5	0	I	False	('F', 'A', 'C')	F	F	0	major triad	(0, 5, 9)	F	F	1	None	I	True	1
48	24	1.0	1	0.5	1/2	1	-1	3	8	1	2.0	A3	57	True	A	0	1/4	3.0	True	3	P1-Staff2	1	1	1.5	0	I	False	('F', 'A', 'C')	F	F	0	major triad	(0, 5, 9)	F	F	1	None	I	True	3
48	24	1.0	1	0.5	1/2	1	-1	3	8	1	2.0	C4	60	True	C	0	1/4	3.0	True	3	P1-Staff2	1	1	1.5	0	I	False	('F', 'A', 'C')	F	F	0	major triad	(0, 5, 9)	F	F	1	None	I	True	5
72	12	1.5	3/2	0.25	1/4	2	-1	3	8	2	3.0	C5	72	True	C	0	0	1.0	True	1	P1-Staff2	1	2	1.5	1	V	True	('C', 'E', 'G')	C	C	0	major triad	(0, 4, 7)	F	F	5	None	V	True	5
