onset_div	duration_div	j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	ks_fifths	ts_beats	ts_beat_type	measureNumberWithSuffix	onset_beat	s_note	s_midi	s_isOnset	s_step	s_alter	mn_onset	s_beat_float	is_downbeat	downbeat	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	a_simpleNumeral	valid_chord_label	note_degree
0	16	0.0	0	1.0	1	0	2	2	2	0	0.0	A4	69	True	A	0	0	1.0	True	1	P1-Staff2	1	0	1.0	0	V	True	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	D	D	5	None	V	True	5
16	16	1.0	1	1.0	1	1	2	2	2	1	0.5	D5	74	True	D	0	0	1.0	True	1	P1-Staff2	1	1	4.0	1	I	True	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	D	D	1	None	I	True	1
16	16	1.0	1	1.0	1	1	2	2	2	1	0.5	D4	62	True	D	0	0	1.0	True	1	P1-Staff2	1	1	4.0	1	I	True	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	D	D	1	None	I	True	1
32	8	2.0	2	0.5	1/2	1	2	2	2	1	1.0	D5	74	True	D	0	1/4	1.5	False	0	P1-Staff2	1	1	4.0	1	I	False	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	D	D	1	None	I	True	1
32	16	2.0	2	1.0	1	1	2	2	2	1	1.0	D3	50	True	D	0	1/4	1.5	False	0	P1-Staff2	1	1	4.0	1	I	False	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	D	D	1	None	I	True	1
40	8	2.5	5/2	0.5	1/2	1	2	2	2	1	1.25	E5	76	True	E	0	3/8	1.75	False	0	P1-Staff2	1	1	4.0	1	I	False	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	D	D	1	None	I	True	2
48	16	3.0	3	1.0	1	1	2	2	2	1	1.5	D5	74	True	D	0	1/2	2.0	True	2	P1-Staff2	1	1	4.0	1	I	False	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	D	D	1	None	I	True	1
64	16	4.0	4	1.0	1	1	2	2	2	1	2.0	D5	74	True	D	0	3/4	2.5	False	0	P1-Staff2	1	1	4.0	1	I	False	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	D	D	1	None	I	True	1
64	16	4.0	4	1.0	1	1	2	2	2	1	2.0	D3	50	True	D	0	3/4	2.5	False	0	P1-Staff2	1	1	4.0	1	I	False	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	D	D	1	None	I	True	1
80	0	5.0	5	0.0	0	2	2	2	2	2	2.5	F#5	78	True	F	1	0	1.0	True	1	P1-Staff2	1	2	3.0	2	V	True	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	D	D	5	None	V	True	3
80	8	5.0	5	0.5	1/2	2	2	2	2	2	2.5	E5	76	True	E	0	0	1.0	True	1	P1-Staff2	1	2	3.0	2	V	True	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	D	D	5	None	V	True	2
80	16	5.0	5	1.0	1	2	2	2	2	2	2.5	A2	45	True	A	0	0	1.0	True	1	P1-Staff2	1	2	3.0	2	V	True	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	D	D	5	None	V	True	5
