onset_div	duration_div	j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	ks_fifths	ts_beats	ts_beat_type	measureNumberWithSuffix	onset_beat	s_note	s_midi	s_isOnset	s_step	s_alter	mn_onset	s_beat_float	is_downbeat	downbeat	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	a_simpleNumeral	valid_chord_label	note_degree
0	1	0.0	0	1.0	1	0	0	3	4	0	0.0	A4	69	True	A	0	0	1.0	True	1	Bass	1	0	1.0	0	i	True	('A', 'C', 'E')	A	A	0	minor triad	(0, 4, 9)	a	a	1	None	i	True	1
0	1	0.0	0	1.0	1	0	0	3	4	0	0.0	E4	64	True	E	0	0	1.0	True	1	Bass	1	0	1.0	0	i	True	('A', 'C', 'E')	A	A	0	minor triad	(0, 4, 9)	a	a	1	None	i	True	5
0	1	0.0	0	1.0	1	0	0	3	4	0	0.0	C4	60	True	C	0	0	1.0	True	1	Bass	1	0	1.0	0	i	True	('A', 'C', 'E')	A	A	0	minor triad	(0, 4, 9)	a	a	1	None	i	True	3
0	1	0.0	0	1.0	1	0	0	3	4	0	0.0	A2	45	True	A	0	0	1.0	True	1	Bass	1	0	1.0	0	i	True	('A', 'C', 'E')	A	A	0	minor triad	(0, 4, 9)	a	a	1	None	i	True	1
1	2	1.0	1	2.0	2	1	0	3	4	1	1.0	A4	69	True	A	0	0	1.0	True	1	Bass	1	1	2.0	1	i	True	('A', 'C', 'E')	A	A	0	minor triad	(0, 4, 9)	a	a	1	None	i	True	1
1	2	1.0	1	2.0	2	1	0	3	4	1	1.0	E4	64	True	E	0	0	1.0	True	1	Bass	1	1	2.0	1	i	True	('A', 'C', 'E')	A	A	0	minor triad	(0, 4, 9)	a	a	1	None	i	True	5
1	2	1.0	1	2.0	2	1	0	3	4	1	1.0	C4	60	True	C	0	0	1.0	True	1	Bass	1	1	2.0	1	i	True	('A', 'C', 'E')	A	A	0	minor triad	(0, 4, 9)	a	a	1	None	i	True	3
1	1	1.0	1	1.0	1	1	0	3	4	1	1.0	A3	57	True	A	0	0	1.0	True	1	Bass	1	1	2.0	1	i	True	('A', 'C', 'E')	A	A	0	minor triad	(0, 4, 9)	a	a	1	None	i	True	1
2	1	2.0	2	1.0	1	1	0	3	4	1	2.0	G3	55	True	G	0	1/4	2.0	True	2	Bass	1	1	2.0	1	i	False	('A', 'C', 'E')	A	A	0	minor triad	(0, 4, 9)	a	a	1	None	i	True	7
3	1	3.0	3	1.0	1	1	0	3	4	1	3.0	A4	69	True	A	0	1/2	3.0	True	3	Bass	1	1	1.0	2	V	True	('F#', 'A', 'D')	F#	D	1	major triad	(2, 6, 9)	G	G	5	None	V	True	2
