s_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset
0.0	1.0	1	['G2']	[]	[True]
1.0	1.0	1	['G2', 'B-3', 'D4']	['m3', 'P5']	[False, True, True]
2.0	2.0	1	['G2', 'G3', 'B-3']	['P1', 'm3']	[False, True, True]
4.0	1.0	2	['G2']	[]	[True]
5.0	1.0	2	['G2', 'A4', 'C5']	['M2', 'P4']	[False, True, True]
6.0	2.0	2	['D3', 'F#4', 'A4']	['M3', 'P5']	[True, True, True]
8.0	1.0	3	['B-2']	[]	[True]
9.0	1.0	3	['B-2', 'D4', 'F4']	['M3', 'P5']	[False, True, True]
10.0	2.0	3	['B-2', 'B-3', 'D4']	['P1', 'M3']	[False, True, True]
12.0	1.0	4	['B-2']	[]	[True]
13.0	1.0	4	['B-2', 'C5', 'E5']	['M2', 'A4']	[False, True, True]
14.0	2.0	4	['F3', 'A4', 'C5']	['M3', 'P5']	[True, True, True]
16.0	0.5	5			
16.5	0.5	5	['F3', 'A4', 'C5']	['M3', 'P5']	[True, True, True]
17.0	0.5	5	['F3', 'A4', 'C5']	['M3', 'P5']	[True, True, True]
17.5	0.5	5	['F3', 'A4', 'C5']	['M3', 'P5']	[True, True, True]
18.0	0.5	5	['F3', 'A4', 'C5']	['M3', 'P5']	[True, True, True]
18.5	0.5	5	['F3', 'G4', 'C5']	['M2', 'P5']	[True, True, True]
19.0	0.5	5	['F3', 'A4', 'B-4']	['M3', 'P4']	[True, True, True]
19.5	0.5	5	['E3', 'A4', 'C5']	['P4', 'm6']	[True, True, True]
20.0	2.0	6	['D3', 'B4', 'D5']	['M6', 'P1']	[True, True, True]
22.0	0.5	6	['C3', 'C5', 'E-5']	['P1', 'm3']	[True, True, True]
22.5	0.5	6	['C3', 'G3', 'C5', 'E-5']	['P5', 'P1', 'm3']	[False, True, False, False]
23.0	0.5	6	['C3', 'G3', 'E-5', 'G5']	['P5', 'm3', 'P5']	[False, True, True, True]
23.5	0.5	6	['C3', 'G3', 'E-5', 'G5']	['P5', 'm3', 'P5']	[False, True, False, False]
