onset_div	duration_div	j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	ks_fifths	ts_beats	ts_beat_type	measureNumberWithSuffix	onset_beat	s_note	s_midi	s_isOnset	s_step	s_alter	mn_onset	s_beat_float	is_downbeat	downbeat	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	a_simpleNumeral	valid_chord_label	note_degree
0	1	0.0	0	0.25	1/4	1	3	6	8	1	0.0	C#5	73	True	C	1	0	1.0	True	1	P2-Staff2	1	1	3.0	0	I	True	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	A	A	1	None	I	True	3
0	2	0.0	0	0.5	1/2	1	3	6	8	1	0.0	A2	45	True	A	0	0	1.0	True	1	P2-Staff2	1	1	3.0	0	I	True	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	A	A	1	None	I	True	1
1	1	0.25	1/4	0.25	1/4	1	3	6	8	1	0.16700000000000004	E5	76	True	E	0	1/16	1.167	False	0	P2-Staff2	1	1	3.0	0	I	False	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	A	A	1	None	I	True	5
2	1	0.5	1/2	0.25	1/4	1	3	6	8	1	0.33299999999999996	A5	81	True	A	0	1/8	1.333	False	0	P2-Staff2	1	1	3.0	0	I	False	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	A	A	1	None	I	True	1
2	2	0.5	1/2	0.5	1/2	1	3	6	8	1	0.33299999999999996	E3	52	True	E	0	1/8	1.333	False	0	P2-Staff2	1	1	3.0	0	I	False	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	A	A	1	None	I	True	5
3	1	0.75	3/4	0.25	1/4	1	3	6	8	1	0.5	B5	83	True	B	0	3/16	1.5	False	0	P2-Staff2	1	1	3.0	0	I	False	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	A	A	1	None	I	True	2
4	1	1.0	1	0.25	1/4	1	3	6	8	1	0.667	C#6	85	True	C	1	1/4	1.667	False	0	P2-Staff2	1	1	3.0	0	I	False	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	A	A	1	None	I	True	3
4	2	1.0	1	0.5	1/2	1	3	6	8	1	0.667	A3	57	True	A	0	1/4	1.667	False	0	P2-Staff2	1	1	3.0	0	I	False	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	A	A	1	None	I	True	1
5	1	1.25	5/4	0.25	1/4	1	3	6	8	1	0.833	B5	83	True	B	0	5/16	1.833	False	0	P2-Staff2	1	1	3.0	0	I	False	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	A	A	1	None	I	True	2
6	1	1.5	3/2	0.25	1/4	1	3	6	8	1	1.0	A5	81	True	A	0	3/8	2.0	True	2	P2-Staff2	1	1	3.0	0	I	False	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	A	A	1	None	I	True	1
6	6	1.5	3/2	1.5	3/2	1	3	6	8	1	1.0	C#4	61	True	C	1	3/8	2.0	True	2	P2-Staff2	1	1	3.0	0	I	False	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	A	A	1	None	I	True	3
6	6	1.5	3/2	1.5	3/2	1	3	6	8	1	1.0	E4	64	True	E	0	3/8	2.0	True	2	P2-Staff2	1	1	3.0	0	I	False	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	A	A	1	None	I	True	5
7	1	1.75	7/4	0.25	1/4	1	3	6	8	1	1.1669999999999998	E5	76	True	E	0	7/16	2.167	False	0	P2-Staff2	1	1	3.0	0	I	False	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	A	A	1	None	I	True	5
8	1	2.0	2	0.25	1/4	1	3	6	8	1	1.3330000000000002	C#5	73	True	C	1	1/2	2.333	False	0	P2-Staff2	1	1	3.0	0	I	False	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	A	A	1	None	I	True	3
9	1	2.25	9/4	0.25	1/4	1	3	6	8	1	1.5	A4	69	True	A	0	9/16	2.5	False	0	P2-Staff2	1	1	3.0	0	I	False	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	A	A	1	None	I	True	1
10	1	2.5	5/2	0.25	1/4	1	3	6	8	1	1.6669999999999998	E4	64	True	E	0	5/8	2.667	False	0	P2-Staff2	1	1	3.0	0	I	False	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	A	A	1	None	I	True	5
11	1	2.75	11/4	0.25	1/4	1	3	6	8	1	1.8330000000000002	A4	69	True	A	0	11/16	2.833	False	0	P2-Staff2	1	1	3.0	0	I	False	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	A	A	1	None	I	True	1
12	1	3.0	3	0.25	1/4	2	3	6	8	2	2.0	C#5	73	True	C	1	0	1.0	True	1	P2-Staff2	1	2	3.0	1	I	True	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	A	A	1	None	I	True	3
12	2	3.0	3	0.5	1/2	2	3	6	8	2	2.0	A2	45	True	A	0	0	1.0	True	1	P2-Staff2	1	2	3.0	1	I	True	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	A	A	1	None	I	True	1
13	1	3.25	13/4	0.25	1/4	2	3	6	8	2	2.167	E5	76	True	E	0	1/16	1.167	False	0	P2-Staff2	1	2	3.0	1	I	False	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	A	A	1	None	I	True	5
14	1	3.5	7/2	0.25	1/4	2	3	6	8	2	2.333	A5	81	True	A	0	1/8	1.333	False	0	P2-Staff2	1	2	3.0	1	I	False	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	A	A	1	None	I	True	1
14	2	3.5	7/2	0.5	1/2	2	3	6	8	2	2.333	E3	52	True	E	0	1/8	1.333	False	0	P2-Staff2	1	2	3.0	1	I	False	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	A	A	1	None	I	True	5
