s_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset
0.0	0.25	1	['A2', 'C#5']	['M3']	[True, True]
0.25	0.25	1	['A2', 'E5']	['P5']	[False, True]
0.5	0.25	1	['E3', 'A5']	['P4']	[True, True]
0.75	0.25	1	['E3', 'B5']	['P5']	[False, True]
1.0	0.25	1	['A3', 'C#6']	['M3']	[True, True]
1.25	0.25	1	['A3', 'B5']	['M2']	[False, True]
1.5	0.25	1	['C#4', 'E4', 'A5']	['m3', 'm6']	[True, True, True]
1.75	0.25	1	['C#4', 'E4', 'E5']	['m3', 'm3']	[False, False, True]
2.0	0.25	1	['C#4', 'E4', 'C#5']	['m3', 'P1']	[False, False, True]
2.25	0.25	1	['C#4', 'E4', 'A4']	['m3', 'm6']	[False, False, True]
2.5	0.25	1	['C#4', 'E4']	['m3']	[False, False]
2.75	0.25	1	['C#4', 'E4', 'A4']	['m3', 'm6']	[False, False, True]
3.0	0.25	2	['A2', 'C#5']	['M3']	[True, True]
3.25	0.25	2	['A2', 'E5']	['P5']	[False, True]
3.5	0.25	2	['E3', 'A5']	['P4']	[True, True]
3.75	0.25	2	['E3', 'B5']	['P5']	[False, True]
4.0	0.25	2	['A3', 'C#6']	['M3']	[True, True]
4.25	0.25	2	['A3', 'B5']	['M2']	[False, True]
4.5	0.25	2	['C#4', 'E4', 'A5']	['m3', 'm6']	[True, True, True]
4.75	0.25	2	['C#4', 'E4', 'E5']	['m3', 'm3']	[False, False, True]
5.0	0.25	2	['C#4', 'E4', 'C#5']	['m3', 'P1']	[False, False, True]
5.25	0.25	2	['C#4', 'E4', 'A4']	['m3', 'm6']	[False, False, True]
5.5	0.25	2	['C#4', 'E4']	['m3']	[False, False]
5.75	0.25	2	['C#4', 'E4', 'A4']	['m3', 'm6']	[False, False, True]
6.0	0.25	3	['A2', 'E4', 'C#5']	['P5', 'M3']	[True, True, True]
6.25	0.25	3	['A2', 'E4', 'E5']	['P5', 'P5']	[False, False, True]
6.5	0.25	3	['E3', 'A4', 'A5']	['P4', 'P4']	[True, True, True]
6.75	0.25	3	['E3', 'A4', 'B5']	['P4', 'P5']	[False, False, True]
7.0	0.25	3	['A3', 'B4', 'C#6']	['M2', 'M3']	[True, True, True]
7.25	0.25	3	['A3', 'B4', 'B5']	['M2', 'M2']	[False, False, True]
7.5	0.25	3	['C#4', 'E4', 'C#5', 'A5']	['m3', 'P1', 'm6']	[True, True, True, True]
7.75	0.25	3	['C#4', 'E4', 'C#5', 'E5']	['m3', 'P1', 'm3']	[False, False, False, True]
8.0	0.25	3	['C#4', 'E4', 'C#5']	['m3', 'P1']	[False, False, False]
8.25	0.25	3	['C#4', 'E4', 'A4', 'C#5']	['m3', 'm6', 'P1']	[False, False, True, False]
8.5	0.25	3	['C#4', 'E4', 'A4', 'C#5']	['m3', 'm6', 'P1']	[False, False, True, False]
8.75	0.25	3	['C#4', 'E4', 'A4', 'C#5']	['m3', 'm6', 'P1']	[False, False, False, False]
9.0	0.25	4	['A2', 'E4', 'C#5']	['P5', 'M3']	[True, True, True]
9.25	0.25	4	['A2', 'E4', 'E5']	['P5', 'P5']	[False, False, True]
9.5	0.25	4	['E3', 'A4', 'A5']	['P4', 'P4']	[True, True, True]
9.75	0.25	4	['E3', 'A4', 'B5']	['P4', 'P5']	[False, False, True]
10.0	0.25	4	['A3', 'C#5', 'C#6']	['M3', 'M3']	[True, True, True]
10.25	0.25	4	['A3', 'C#5', 'B5']	['M3', 'M2']	[False, False, True]
10.5	0.25	4	['C#4', 'E4', 'G4', 'E5', 'A5']	['m3', 'd5', 'm3', 'm6']	[True, True, True, True, True]
