s_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset
0.0	0.25	1	['F3', 'F4', 'A4']	['P1', 'M3']	[True, True, True]
0.25	0.25	1	['F3', 'C4', 'A4']	['P5', 'M3']	[False, True, False]
0.5	0.25	1	['F3', 'F4', 'A4']	['P1', 'M3']	[False, True, True]
0.75	0.25	1	['F3', 'C4', 'A4']	['P5', 'M3']	[False, True, False]
1.0	0.25	1	['G4', 'B-4']	['m3']	[True, True]
1.25	0.25	1	['C4', 'B-4']	['m7']	[True, False]
1.5	0.25	2	['F3', 'A4', 'C5']	['M3', 'P5']	[True, True, True]
1.75	0.25	2	['F3', 'C4', 'C5']	['P5', 'P5']	[False, True, False]
2.0	0.25	2	['F3', 'A4', 'C5']	['M3', 'P5']	[False, True, True]
2.25	0.25	2	['F3', 'C4', 'C5']	['P5', 'P5']	[False, True, False]
2.5	0.25	2	['A4', 'C5']	['m3']	[True, True]
2.75	0.25	2	['C4', 'F5']	['P4']	[True, True]
3.0	0.25	3	['C3', 'G4', 'B-4', 'F5']	['P5', 'm7', 'P4']	[True, True, True, True]
3.25	0.25	3	['C3', 'C4', 'E5']	['P1', 'M3']	[False, True, True]
3.5	0.25	3	['C3', 'G4', 'B-4', 'D5']	['P5', 'm7', 'M2']	[False, True, True, True]
3.75	0.25	3	['C3', 'C4', 'D5']	['P1', 'M2']	[False, True, False]
4.0	0.25	3	['G4', 'B-4', 'E5']	['m3', 'M6']	[True, True, True]
4.25	0.25	3	['C4', 'E5']	['M3']	[True, False]
4.5	0.25	4	['F3', 'F4', 'A4', 'F5']	['P1', 'M3', 'P1']	[True, True, True, True]
4.75	0.25	4	['F3', 'C4', 'F5']	['P5', 'P1']	[False, True, False]
5.0	0.25	4	['F3', 'F4', 'A4', 'F5']	['P1', 'M3', 'P1']	[False, True, True, False]
5.25	0.25	4	['F3', 'C4', 'F5']	['P5', 'P1']	[False, True, False]
5.5	0.375	4	['F4', 'A4', 'C5']	['M3', 'P5']	[True, True, True]
5.875	0.125	4	['F4', 'A4', 'C5']	['M3', 'P5']	[True, True, True]
6.0	0.5	5	['F4', 'A4', 'C5']	['M3', 'P5']	[True, True, True]
6.5	0.5	5	['F4', 'A4', 'C5']	['M3', 'P5']	[False, False, False]
7.0	0.375	5	['F4', 'A4', 'C5']	['M3', 'P5']	[True, True, True]
