s_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset
0.0	0.5	0	['E4']	[]	[True]
0.5	1.0	1	['A2', 'A3', 'C4', 'E4', 'A4', 'C5']	['P1', 'm3', 'P5', 'P1', 'm3']	[True, True, True, True, True, True]
1.5	0.5	1	['A3', 'C4', 'E4', 'A4']	['m3', 'P5', 'P1']	[True, True, True, True]
2.0	1.0	1	['A3', 'C4', 'E4', 'A4']	['m3', 'P5', 'P1']	[True, True, True, True]
3.0	0.5	1	['A3', 'C4', 'E4', 'A4']	['m3', 'P5', 'P1']	[True, True, True, True]
3.5	1.0	2	['B3', 'D4', 'E4', 'G#4']	['m3', 'P4', 'M6']	[True, True, True, True]
4.5	0.5	2	['A3', 'C4', 'E4', 'A4']	['m3', 'P5', 'P1']	[True, True, True, True]
5.0	1.0	2	['E3', 'B3', 'E4', 'G#4', 'B4']	['P5', 'P1', 'M3', 'P5']	[True, True, True, True, True]
6.0	0.5	2	['F3', 'D4', 'G4', 'B4']	['M6', 'M2', 'A4']	[True, True, True, True]
6.5	1.0	3	['E3', 'C4', 'G4', 'C5']	['m6', 'm3', 'm6']	[True, True, True, True]
7.5	0.5	3	['E3', 'C4', 'G4', 'C5']	['m6', 'm3', 'm6']	[True, True, True, True]
8.0	0.5	3	['F3', 'F4', 'A4', 'D5']	['P1', 'M3', 'M6']	[True, True, True, True]
8.5	0.5	3	['F3', 'F4', 'A4', 'D5', 'F5']	['P1', 'M3', 'M6', 'P1']	[False, False, False, False, True]
9.0	0.5	3	['F3', 'F4', 'A4', 'D5', 'A5']	['P1', 'M3', 'M6', 'M3']	[True, True, True, True, True]
9.5	0.5	4	['G3', 'F4', 'G4', 'D5', 'G5']	['m7', 'P1', 'P5', 'P1']	[True, True, True, True, True]
10.0	0.5	4	['G3', 'F4', 'G4', 'D5', 'A5']	['m7', 'P1', 'P5', 'M2']	[False, False, False, False, True]
10.5	0.5	4	['G3', 'F4', 'G4', 'D5', 'F5']	['m7', 'P1', 'P5', 'm7']	[True, True, True, True, True]
11.0	1.0	4	['C4', 'E4', 'G4', 'C5', 'E5']	['M3', 'P5', 'P1', 'M3']	[True, True, True, True, True]
12.0	0.5	4			
12.5	0.5	5	['E5']	[]	[True]
13.0	0.5	5	['E5']	[]	[True]
13.5	0.5	5	['E5']	[]	[True]
14.0	1.0	5	['D4', 'E4', 'G#4', 'E5']	['M2', 'A4', 'M2']	[True, True, True, True]
15.0	0.5	5	['D4', 'E4', 'G#4']	['M2', 'A4']	[True, True, True]
15.5	1.0	6	['C4', 'E4', 'A4']	['M3', 'M6']	[True, True, True]
16.5	0.5	6	['A3', 'A4', 'C5']	['P1', 'm3']	[True, True, True]
17.0	1.0	6	['E3', 'G#4', 'B4']	['M3', 'P5']	[True, True, True]
18.0	0.5	6			
18.5	0.5	7	['E5']	[]	[True]
19.0	0.5	7	['F5']	[]	[True]
19.5	0.5	7	['E5']	[]	[True]
20.0	1.0	7	['D4', 'E4', 'G#4', 'E5']	['M2', 'A4', 'M2']	[True, True, True, True]
21.0	0.5	7	['D4', 'E4', 'G#4']	['M2', 'A4']	[True, True, True]
21.5	1.0	8	['C4', 'E4', 'A4']	['M3', 'M6']	[True, True, True]
22.5	0.5	8	['A3', 'A4', 'C5']	['P1', 'm3']	[True, True, True]
23.0	1.0	8	['E3', 'G#4', 'B4']	['M3', 'P5']	[True, True, True]
24.0	0.5	8	['E3', 'E4', 'G#4', 'B4']	['P1', 'M3', 'P5']	[True, True, True, True]
24.5	1.0	9	['A3', 'E4', 'A4', 'C5']	['P5', 'P1', 'm3']	[True, True, True, True]
25.5	0.5	9	['A3', 'E4', 'A4', 'C5']	['P5', 'P1', 'm3']	[True, True, True, True]
26.0	1.0	9	['A3', 'E4', 'G4', 'C#5']	['P5', 'm7', 'M3']	[True, True, True, True]
27.0	0.5	9	['A3', 'E4', 'G4', 'C#5']	['P5', 'm7', 'M3']	[True, True, True, True]
27.5	1.0	10	['D3', 'A3', 'F4', 'A4', 'D5']	['P5', 'm3', 'P5', 'P1']	[True, True, True, True, True]
28.5	0.5	10	['C#3', 'A3', 'G4', 'A4', 'E5']	['m6', 'd5', 'm6', 'm3']	[True, True, True, True, True]
29.0	1.0	10	['D3', 'A3', 'F4', 'A4', 'D5', 'F5']	['P5', 'm3', 'P5', 'P1', 'm3']	[True, True, True, True, True, True]
30.0	0.5	10			
30.5	0.5	11	['F5']	[]	[True]
31.0	0.5	11	['E5']	[]	[True]
31.5	0.5	11	['D5']	[]	[True]
32.0	0.5	11	['C5']	[]	[True]
32.5	0.5	11	['D3', 'D4', 'F4', 'B4']	['P1', 'm3', 'M6']	[True, True, True, True]
33.0	0.5	11	['D3', 'D4', 'F4', 'B4', 'F5']	['P1', 'm3', 'M6', 'm3']	[False, False, False, False, True]
33.5	1.0	12	['E3', 'C4', 'E4', 'A4']	['m6', 'P1', 'P4']	[True, True, True, True]
34.5	0.5	12	['E3', 'D4', 'E4', 'G#4', 'B4', 'C5']	['m7', 'P1', 'M3', 'P5', 'm6']	[True, True, True, True, True, True]
35.0	1.5	12	['A2', 'C4', 'E4', 'A4']	['m3', 'P5', 'P1']	[True, True, True, True]
