s_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset
0.0	0.25	0	['E3', 'E4']	['P1']	[True, True]
0.25	0.25	0	['A3', 'A4']	['P1']	[True, True]
0.5	0.25	0	['C4', 'C5']	['P1']	[True, True]
0.75	0.5	1	['E4', 'E5']	['P1']	[True, True]
1.25	0.5	1	['C4', 'C5']	['P1']	[True, True]
1.75	0.5	1	['A3', 'A4']	['P1']	[True, True]
2.25	0.75	1	['E3', 'E4']	['P1']	[True, True]
3.0	0.25	1	['F4', 'F5']	['P1']	[True, True]
3.25	0.25	1	['E4', 'E5']	['P1']	[True, True]
3.5	0.25	1	['F4', 'F5']	['P1']	[True, True]
3.75	0.5	2	['E4', 'E5']	['P1']	[True, True]
4.25	0.5	2	['C4', 'C5']	['P1']	[True, True]
4.75	0.5	2	['A3', 'A4']	['P1']	[True, True]
5.25	0.75	2	['E3', 'E4']	['P1']	[True, True]
6.0	0.25	2	['F3', 'F4']	['P1']	[True, True]
6.25	0.25	2	['E3', 'E4']	['P1']	[True, True]
6.5	0.25	2	['F3', 'F4']	['P1']	[True, True]
6.75	0.5	3	['G3', 'G4']	['P1']	[True, True]
7.25	0.5	3	['E3', 'E4']	['P1']	[True, True]
7.75	0.5	3	['D3', 'D4']	['P1']	[True, True]
8.25	0.5	3	['C3', 'C4']	['P1']	[True, True]
8.75	0.5	3	['B2', 'B3']	['P1']	[True, True]
9.25	0.5	3	['A2', 'A3']	['P1']	[True, True]
9.75	1.5	4	['A2', 'B2', 'A3', 'B3']	['M2', 'P1', 'M2']	[True, True, True, True]
11.25	0.75	4	['A2', 'B2', 'A3', 'B3']	['M2', 'P1', 'M2']	[True, True, True, True]
12.0	0.25	4	['B2', 'B3']	['P1']	[True, True]
12.25	0.25	4	['A2', 'A3']	['P1']	[True, True]
12.5	0.25	4	['B2', 'B3']	['P1']	[True, True]
12.75	1.0	5	['A2', 'B2', 'A3', 'B3']	['M2', 'P1', 'M2']	[True, True, True, True]
13.75	0.5	5	['B2', 'B3']	['P1']	[False, False]
