s_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset
0.0	0.5	1	['B2', 'F#3']	['P5']	[True, True]
0.5	0.5	1	['B2', 'F#3']	['P5']	[True, True]
1.0	0.5	1	['D4', 'B4']	['M6']	[True, True]
1.5	0.5	1	['D4', 'B4']	['M6']	[True, True]
2.0	0.5	2	['B2', 'F#3']	['P5']	[True, True]
2.5	0.5	2	['B2', 'F#3']	['P5']	[True, True]
3.0	0.5	2	['D4', 'F#4']	['M3']	[True, True]
3.5	0.5	2	['D4', 'F#4']	['M3']	[True, True]
4.0	0.5	3	['B2', 'G3']	['m6']	[True, True]
4.5	0.5	3	['B2', 'G3']	['m6']	[True, True]
5.0	0.5	3	['C#4', 'E4']	['m3']	[True, True]
5.5	0.25	3	['B3', 'D4']	['m3']	[True, True]
5.75	0.25	3	['A#3', 'C#4']	['m3']	[True, True]
6.0	0.5	4	['B2', 'F#3', 'B3', 'D4']	['P5', 'P1', 'm3']	[True, True, True, True]
6.5	0.5	4	['B2', 'F#3']	['P5']	[True, True]
7.0	0.5	4	['F#4', 'D5']	['m6']	[True, True]
7.5	0.25	4	['E4', 'C#5']	['M6']	[True, True]
7.75	0.25	4	['D4', 'B4']	['M6']	[True, True]
8.0	0.5	5	['B2', 'G3', 'E4', 'C#5']	['m6', 'P4', 'M2']	[True, True, True, True]
8.5	0.5	5	['B2', 'G3']	['m6']	[True, True]
9.0	0.5	5	['C#4', 'E4']	['m3']	[True, True]
9.5	0.25	5	['B3', 'D4']	['m3']	[True, True]
9.75	0.25	5	['A#3', 'C#4']	['m3']	[True, True]
10.0	0.5	6	['B2', 'F#3', 'B3', 'D4']	['P5', 'P1', 'm3']	[True, True, True, True]
10.5	0.5	6	['B2', 'F#3']	['P5']	[True, True]
11.0	0.5	6	['D4', 'B4']	['M6']	[True, True]
11.5	0.5	6	['D4', 'F#4', 'B4']	['M3', 'M6']	[True, True, True]
12.0	0.5	7	['B2', 'F#3', 'F#4']	['P5', 'P5']	[True, True, True]
12.5	0.25	7	['B2', 'F#3', 'F#4']	['P5', 'P5']	[True, True, False]
12.75	0.25	7	['B2', 'F#3', 'G4']	['P5', 'm6']	[False, False, True]
13.0	0.25	7	['D4', 'F#4', 'B4']	['M3', 'M6']	[True, True, True]
13.25	0.25	7	['D4', 'G4', 'B4']	['P4', 'M6']	[False, True, False]
13.5	0.25	7	['D4', 'F#4', 'B4']	['M3', 'M6']	[True, True, True]
