s_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset
0.0	2.0	1	['E-3', 'A-3', 'D-4', 'F4']	['P4', 'm7', 'M2']	[True, True, True, True]
2.0	1.0	1	['E-3', 'A-3', 'D-4', 'F4', 'B-4']	['P4', 'm7', 'M2', 'P5']	[False, False, False, False, True]
3.0	2.0	2	['E-3', 'G3', 'D-4', 'E-4', 'B-4']	['M3', 'm7', 'P1', 'P5']	[False, True, False, True, False]
5.0	0.5	2	['E-3', 'G3', 'D-4', 'E-4', 'B-4']	['M3', 'm7', 'P1', 'P5']	[False, False, False, False, False]
5.5	0.5	2	['E-3', 'G3', 'D-4', 'E-4', 'B-4']	['M3', 'm7', 'P1', 'P5']	[False, False, False, False, False]
6.0	0.3333	3	['A-2', 'C5']	['M3']	[True, True]
6.3333	0.3333	3	['A-3', 'C4', 'E-4', 'C5']	['M3', 'P5', 'M3']	[True, True, True, False]
6.6667	0.3333	3	['A-3', 'C4', 'E-4', 'C5']	['M3', 'P5', 'M3']	[True, True, True, False]
7.0	0.5	3	['A-3', 'C4', 'E-4', 'C5']	['M3', 'P5', 'M3']	[True, True, True, False]
7.5	0.5	3	['A-3', 'C4', 'E-4', 'C5']	['M3', 'P5', 'M3']	[True, True, True, True]
8.0	0.5	3	['G3', 'B-3', 'E-4', 'B-4']	['m3', 'm6', 'm3']	[True, True, True, True]
8.5	0.5	3	['A-3', 'C4', 'E-4', 'C5']	['M3', 'P5', 'M3']	[True, True, True, True]
9.0	0.3333	4	['A-2', 'C5']	['M3']	[True, True]
9.3333	0.3333	4	['A-3', 'B--3', 'E-4', 'F#4', 'C5']	['m2', 'P5', 'A6', 'M3']	[True, True, True, True, False]
9.6667	0.3333	4	['A-3', 'B--3', 'E-4', 'F#4', 'C5']	['m2', 'P5', 'A6', 'M3']	[True, True, True, True, False]
10.0	0.5	4	['A-3', 'B-3', 'E-4', 'G4', 'D-5']	['M2', 'P5', 'M7', 'P4']	[True, True, True, True, True]
10.5	0.5	4	['A-3', 'B-3', 'E-4', 'G4', 'D-5']	['M2', 'P5', 'M7', 'P4']	[True, True, True, True, False]
11.0	0.5	4	['A-3', 'B3', 'F4', 'A-4', 'D5']	['A2', 'M6', 'P1', 'A4']	[True, True, True, True, True]
11.5	0.5	4	['A-3', 'B3', 'F4', 'A-4', 'D5']	['A2', 'M6', 'P1', 'A4']	[True, True, True, True, False]
12.0	0.3333	5	['A-2', 'E-5']	['P5']	[True, True]
12.3333	0.3333	5	['C4', 'E-4', 'A-4', 'E-5']	['m3', 'm6', 'm3']	[True, True, True, False]
12.6667	0.3333	5	['C4', 'E-4', 'A-4', 'E-5']	['m3', 'm6', 'm3']	[True, True, True, False]
13.0	0.5	5	['C4', 'E-4', 'A-4', 'E-5']	['m3', 'm6', 'm3']	[True, True, True, False]
13.5	0.5	5	['C4', 'E-4', 'E-5']	['m3', 'm3']	[True, True, True]
14.0	0.5	5	['D-4', 'E-4', 'F4', 'F5']	['M2', 'M3', 'M3']	[True, True, True, True]
14.5	0.5	5	['C4', 'E-4', 'E-5']	['m3', 'm3']	[True, True, True]
15.0	0.3333	6	['E-2', 'B-4']	['P5']	[True, True]
15.3333	0.3333	6	['E-3', 'B-3', 'E-4', 'G4', 'B-4']	['P5', 'P1', 'M3', 'P5']	[True, True, True, True, False]
15.6667	0.3333	6	['E-3', 'B-3', 'E-4', 'G4', 'B-4']	['P5', 'P1', 'M3', 'P5']	[True, True, True, True, False]
16.0	1.0	6	['E-3', 'B-3', 'E-4', 'G4', 'B-4']	['P5', 'P1', 'M3', 'P5']	[True, True, True, True, False]
17.0	0.5	6	['E-3', 'B-3', 'E-4', 'G4', 'B-4']	['P5', 'P1', 'M3', 'P5']	[False, False, False, False, False]
17.5	0.5	6	['E-3', 'B-3', 'E-4', 'G4', 'B-4']	['P5', 'P1', 'M3', 'P5']	[False, False, False, False, False]
18.0	0.3333	7	['E-3', 'B-4']	['P5']	[True, True]
18.3333	0.3333	7	['E-4', 'G-4', 'B-4']	['m3', 'P5']	[True, True, False]
18.6667	0.3333	7	['E-4', 'G-4', 'B-4']	['m3', 'P5']	[True, True, False]
19.0	0.5	7	['E-4', 'G-4', 'B-4']	['m3', 'P5']	[True, True, False]
19.5	0.5	7	['E-4', 'G-4', 'B-4']	['m3', 'P5']	[True, True, True]
20.0	0.3333	7	['D-4', 'F4', 'B-4']	['M3', 'M6']	[True, True, True]
20.3333	0.1667	7	['D-4', 'F4', 'B-4']	['M3', 'M6']	[False, False, False]
20.5	0.1667	7	['C4', 'E-4', 'F4', 'A4', 'B-4', 'C5']	['m3', 'P4', 'M6', 'm7', 'P1']	[True, True, True, True, False, True]
