onset_div	duration_div	j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	ks_fifths	ts_beats	ts_beat_type	measureNumberWithSuffix	onset_beat	s_note	s_midi	s_isOnset	s_step	s_alter	mn_onset	s_beat_float	is_downbeat	downbeat	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	a_simpleNumeral	valid_chord_label	note_degree
0	80	0.0	0	0.5	1/2	0	-3	3	8	0	0.0	G4	67	True	G	0	0	1.0	True	1	P2-Staff2	1	0	0.5	0	V	True	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	c	c	5	None	V	True	5
80	160	0.5	1/2	1.0	1	1	-3	3	8	1	1.0	G4	67	True	G	0	0	1.0	True	1	P2-Staff2	1	1	1.5	1	i	True	('C', 'E-', 'G')	C	C	0	minor triad	(0, 3, 7)	c	c	1	None	i	True	5
80	160	0.5	1/2	1.0	1	1	-3	3	8	1	1.0	C4	60	True	C	0	0	1.0	True	1	P2-Staff2	1	1	1.5	1	i	True	('C', 'E-', 'G')	C	C	0	minor triad	(0, 3, 7)	c	c	1	None	i	True	1
80	160	0.5	1/2	1.0	1	1	-3	3	8	1	1.0	E-4	63	True	E	-1	0	1.0	True	1	P2-Staff2	1	1	1.5	1	i	True	('C', 'E-', 'G')	C	C	0	minor triad	(0, 3, 7)	c	c	1	None	i	True	3
80	160	0.5	1/2	1.0	1	1	-3	3	8	1	1.0	G4	67	True	G	0	0	1.0	True	1	P2-Staff2	1	1	1.5	1	i	True	('C', 'E-', 'G')	C	C	0	minor triad	(0, 3, 7)	c	c	1	None	i	True	5
80	160	0.5	1/2	1.0	1	1	-3	3	8	1	1.0	C2	36	True	C	0	0	1.0	True	1	P2-Staff2	1	1	1.5	1	i	True	('C', 'E-', 'G')	C	C	0	minor triad	(0, 3, 7)	c	c	1	None	i	True	1
80	160	0.5	1/2	1.0	1	1	-3	3	8	1	1.0	C3	48	True	C	0	0	1.0	True	1	P2-Staff2	1	1	1.5	1	i	True	('C', 'E-', 'G')	C	C	0	minor triad	(0, 3, 7)	c	c	1	None	i	True	1
240	80	1.5	3/2	0.5	1/2	1	-3	3	8	1	3.0	G4	67	True	G	0	1/4	3.0	True	3	P2-Staff2	1	1	1.5	1	i	False	('C', 'E-', 'G')	C	C	0	minor triad	(0, 3, 7)	c	c	1	None	i	True	5
320	80	2.0	2	0.5	1/2	2	-3	3	8	2	4.0	G4	67	True	G	0	0	1.0	True	1	P2-Staff2	1	2	1.5	2	V7	True	('D', 'F', 'G', 'B')	D	G	2	dominant seventh chord	(2, 5, 7, 11)	c	c	5	None	V7	True	5
320	160	2.0	2	1.0	1	2	-3	3	8	2	4.0	B3	59	True	B	0	0	1.0	True	1	P2-Staff2	1	2	1.5	2	V7	True	('D', 'F', 'G', 'B')	D	G	2	dominant seventh chord	(2, 5, 7, 11)	c	c	5	None	V7	True	#7
320	160	2.0	2	1.0	1	2	-3	3	8	2	4.0	F4	65	True	F	0	0	1.0	True	1	P2-Staff2	1	2	1.5	2	V7	True	('D', 'F', 'G', 'B')	D	G	2	dominant seventh chord	(2, 5, 7, 11)	c	c	5	None	V7	True	4
320	160	2.0	2	1.0	1	2	-3	3	8	2	4.0	G4	67	True	G	0	0	1.0	True	1	P2-Staff2	1	2	1.5	2	V7	True	('D', 'F', 'G', 'B')	D	G	2	dominant seventh chord	(2, 5, 7, 11)	c	c	5	None	V7	True	5
320	160	2.0	2	1.0	1	2	-3	3	8	2	4.0	D2	38	True	D	0	0	1.0	True	1	P2-Staff2	1	2	1.5	2	V7	True	('D', 'F', 'G', 'B')	D	G	2	dominant seventh chord	(2, 5, 7, 11)	c	c	5	None	V7	True	2
320	160	2.0	2	1.0	1	2	-3	3	8	2	4.0	D3	50	True	D	0	0	1.0	True	1	P2-Staff2	1	2	1.5	2	V7	True	('D', 'F', 'G', 'B')	D	G	2	dominant seventh chord	(2, 5, 7, 11)	c	c	5	None	V7	True	2
400	80	2.5	5/2	0.5	1/2	2	-3	3	8	2	5.0	G4	67	True	G	0	1/8	2.0	True	2	P2-Staff2	1	2	1.5	2	V7	False	('D', 'F', 'G', 'B')	D	G	2	dominant seventh chord	(2, 5, 7, 11)	c	c	5	None	V7	True	5
480	80	3.0	3	0.5	1/2	2	-3	3	8	2	6.0	G4	67	True	G	0	1/4	3.0	True	3	P2-Staff2	1	2	1.5	2	V7	False	('D', 'F', 'G', 'B')	D	G	2	dominant seventh chord	(2, 5, 7, 11)	c	c	5	None	V7	True	5
560	160	3.5	7/2	1.0	1	3	-3	3	8	3	7.0	C5	72	True	C	0	0	1.0	True	1	P2-Staff2	1	3	1.5	3	i	True	('E-', 'G', 'C')	E-	C	1	minor triad	(0, 3, 7)	c	c	1	None	i	True	1
560	160	3.5	7/2	1.0	1	3	-3	3	8	3	7.0	C4	60	True	C	0	0	1.0	True	1	P2-Staff2	1	3	1.5	3	i	True	('E-', 'G', 'C')	E-	C	1	minor triad	(0, 3, 7)	c	c	1	None	i	True	1
560	160	3.5	7/2	1.0	1	3	-3	3	8	3	7.0	E-4	63	True	E	-1	0	1.0	True	1	P2-Staff2	1	3	1.5	3	i	True	('E-', 'G', 'C')	E-	C	1	minor triad	(0, 3, 7)	c	c	1	None	i	True	3
560	160	3.5	7/2	1.0	1	3	-3	3	8	3	7.0	G4	67	True	G	0	0	1.0	True	1	P2-Staff2	1	3	1.5	3	i	True	('E-', 'G', 'C')	E-	C	1	minor triad	(0, 3, 7)	c	c	1	None	i	True	5
560	160	3.5	7/2	1.0	1	3	-3	3	8	3	7.0	E-2	39	True	E	-1	0	1.0	True	1	P2-Staff2	1	3	1.5	3	i	True	('E-', 'G', 'C')	E-	C	1	minor triad	(0, 3, 7)	c	c	1	None	i	True	3
560	160	3.5	7/2	1.0	1	3	-3	3	8	3	7.0	E-3	51	True	E	-1	0	1.0	True	1	P2-Staff2	1	3	1.5	3	i	True	('E-', 'G', 'C')	E-	C	1	minor triad	(0, 3, 7)	c	c	1	None	i	True	3
720	80	4.5	9/2	0.5	1/2	3	-3	3	8	3	9.0	G4	67	True	G	0	1/4	3.0	True	3	P2-Staff2	1	3	1.5	3	i	False	('E-', 'G', 'C')	E-	C	1	minor triad	(0, 3, 7)	c	c	1	None	i	True	5
800	160	5.0	5	1.0	1	4	-3	3	8	4	10.0	C4	60	True	C	0	0	1.0	True	1	P2-Staff2	1	4	1.5	4	V7/iv	True	('E', 'G', 'B-', 'C')	E	C	1	dominant seventh chord	(0, 4, 7, 10)	c	f	5	4	V7	True	1
800	160	5.0	5	1.0	1	4	-3	3	8	4	10.0	G4	67	True	G	0	0	1.0	True	1	P2-Staff2	1	4	1.5	4	V7/iv	True	('E', 'G', 'B-', 'C')	E	C	1	dominant seventh chord	(0, 4, 7, 10)	c	f	5	4	V7	True	5
800	160	5.0	5	1.0	1	4	-3	3	8	4	10.0	B-4	70	True	B	-1	0	1.0	True	1	P2-Staff2	1	4	1.5	4	V7/iv	True	('E', 'G', 'B-', 'C')	E	C	1	dominant seventh chord	(0, 4, 7, 10)	c	f	5	4	V7	True	7
800	160	5.0	5	1.0	1	4	-3	3	8	4	10.0	E2	40	True	E	0	0	1.0	True	1	P2-Staff2	1	4	1.5	4	V7/iv	True	('E', 'G', 'B-', 'C')	E	C	1	dominant seventh chord	(0, 4, 7, 10)	c	f	5	4	V7	True	#3
800	160	5.0	5	1.0	1	4	-3	3	8	4	10.0	E3	52	True	E	0	0	1.0	True	1	P2-Staff2	1	4	1.5	4	V7/iv	True	('E', 'G', 'B-', 'C')	E	C	1	dominant seventh chord	(0, 4, 7, 10)	c	f	5	4	V7	True	#3
960	80	6.0	6	0.5	1/2	4	-3	3	8	4	12.0	G4	67	True	G	0	1/4	3.0	True	3	P2-Staff2	1	4	1.5	4	V7/iv	False	('E', 'G', 'B-', 'C')	E	C	1	dominant seventh chord	(0, 4, 7, 10)	c	f	5	4	V7	True	5
1040	160	6.5	13/2	1.0	1	5	-3	3	8	5	13.0	A-4	68	True	A	-1	0	1.0	True	1	P2-Staff2	1	5	1.5	5	iv	True	('F', 'A-', 'C')	F	F	0	minor triad	(0, 5, 8)	c	c	4	None	iv	True	6
1040	160	6.5	13/2	1.0	1	5	-3	3	8	5	13.0	C4	60	True	C	0	0	1.0	True	1	P2-Staff2	1	5	1.5	5	iv	True	('F', 'A-', 'C')	F	F	0	minor triad	(0, 5, 8)	c	c	4	None	iv	True	1
1040	160	6.5	13/2	1.0	1	5	-3	3	8	5	13.0	F4	65	True	F	0	0	1.0	True	1	P2-Staff2	1	5	1.5	5	iv	True	('F', 'A-', 'C')	F	F	0	minor triad	(0, 5, 8)	c	c	4	None	iv	True	4
1040	160	6.5	13/2	1.0	1	5	-3	3	8	5	13.0	A-4	68	True	A	-1	0	1.0	True	1	P2-Staff2	1	5	1.5	5	iv	True	('F', 'A-', 'C')	F	F	0	minor triad	(0, 5, 8)	c	c	4	None	iv	True	6
1040	160	6.5	13/2	1.0	1	5	-3	3	8	5	13.0	F2	41	True	F	0	0	1.0	True	1	P2-Staff2	1	5	1.5	5	iv	True	('F', 'A-', 'C')	F	F	0	minor triad	(0, 5, 8)	c	c	4	None	iv	True	4
1040	160	6.5	13/2	1.0	1	5	-3	3	8	5	13.0	F3	53	True	F	0	0	1.0	True	1	P2-Staff2	1	5	1.5	5	iv	True	('F', 'A-', 'C')	F	F	0	minor triad	(0, 5, 8)	c	c	4	None	iv	True	4
1200	80	7.5	15/2	0.5	1/2	5	-3	3	8	5	15.0	A-4	68	True	A	-1	1/4	3.0	True	3	P2-Staff2	1	5	1.5	5	iv	False	('F', 'A-', 'C')	F	F	0	minor triad	(0, 5, 8)	c	c	4	None	iv	True	6
1280	80	8.0	8	0.5	1/2	6	-3	3	8	6	16.0	G4	67	True	G	0	0	1.0	True	1	P2-Staff2	1	6	1.5	6	i	True	('G', 'C', 'E-')	G	C	2	minor triad	(0, 3, 7)	c	c	1	None	i	True	5
1280	160	8.0	8	1.0	1	6	-3	3	8	6	16.0	C4	60	True	C	0	0	1.0	True	1	P2-Staff2	1	6	1.5	6	i	True	('G', 'C', 'E-')	G	C	2	minor triad	(0, 3, 7)	c	c	1	None	i	True	1
1280	160	8.0	8	1.0	1	6	-3	3	8	6	16.0	E-4	63	True	E	-1	0	1.0	True	1	P2-Staff2	1	6	1.5	6	i	True	('G', 'C', 'E-')	G	C	2	minor triad	(0, 3, 7)	c	c	1	None	i	True	3
1280	160	8.0	8	1.0	1	6	-3	3	8	6	16.0	G4	67	True	G	0	0	1.0	True	1	P2-Staff2	1	6	1.5	6	i	True	('G', 'C', 'E-')	G	C	2	minor triad	(0, 3, 7)	c	c	1	None	i	True	5
1280	160	8.0	8	1.0	1	6	-3	3	8	6	16.0	G2	43	True	G	0	0	1.0	True	1	P2-Staff2	1	6	1.5	6	i	True	('G', 'C', 'E-')	G	C	2	minor triad	(0, 3, 7)	c	c	1	None	i	True	5
1280	160	8.0	8	1.0	1	6	-3	3	8	6	16.0	G3	55	True	G	0	0	1.0	True	1	P2-Staff2	1	6	1.5	6	i	True	('G', 'C', 'E-')	G	C	2	minor triad	(0, 3, 7)	c	c	1	None	i	True	5
1360	120	8.5	17/2	0.75	3/4	6	-3	3	8	6	17.0	G4	67	True	G	0	1/8	2.0	True	2	P2-Staff2	1	6	1.5	6	i	False	('G', 'C', 'E-')	G	C	2	minor triad	(0, 3, 7)	c	c	1	None	i	True	5
1480	40	9.25	37/4	0.25	1/4	6	-3	3	8	6	18.5	G4	67	True	G	0	5/16	3.5	False	0	P2-Staff2	1	6	1.5	6	i	False	('G', 'C', 'E-')	G	C	2	minor triad	(0, 3, 7)	c	c	1	None	i	True	5
1520	240	9.5	19/2	1.5	3/2	7	-3	3	8	7	19.0	F#4	66	True	F	1	0	1.0	True	1	P2-Staff2	1	7	1.5	7	viio7/v	True	('A', 'C', 'E-', 'F#')	A	F#	1	diminished seventh chord	(0, 3, 6, 9)	c	g	#7	5	viio7	True	#4
1520	240	9.5	19/2	1.5	3/2	7	-3	3	8	7	19.0	C4	60	True	C	0	0	1.0	True	1	P2-Staff2	1	7	1.5	7	viio7/v	True	('A', 'C', 'E-', 'F#')	A	F#	1	diminished seventh chord	(0, 3, 6, 9)	c	g	#7	5	viio7	True	1
1520	240	9.5	19/2	1.5	3/2	7	-3	3	8	7	19.0	E-4	63	True	E	-1	0	1.0	True	1	P2-Staff2	1	7	1.5	7	viio7/v	True	('A', 'C', 'E-', 'F#')	A	F#	1	diminished seventh chord	(0, 3, 6, 9)	c	g	#7	5	viio7	True	3
