onset_div	duration_div	j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	ks_fifths	ts_beats	ts_beat_type	measureNumberWithSuffix	onset_beat	s_note	s_midi	s_isOnset	s_step	s_alter	mn_onset	s_beat_float	is_downbeat	downbeat	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	a_simpleNumeral	valid_chord_label	note_degree
0	4	0.0	0	0.5	1/2	1	-2	4	4	1	0.0	B-3	58	True	B	-1	0	1.0	True	1	P1-Staff2	1	1	0.5	0	I	True	('B-', 'D', 'F')	B-	B-	0	major triad	(2, 5, 10)	B-	B-	1	None	I	True	1
1	1	0.125	1/8	0.125	1/8	1	-2	4	4	1	0.125	F4	65	True	F	0	1/32	1.125	False	0	P1-Staff2	1	1	0.5	0	I	False	('B-', 'D', 'F')	B-	B-	0	major triad	(2, 5, 10)	B-	B-	1	None	I	True	5
2	1	0.25	1/4	0.125	1/8	1	-2	4	4	1	0.25	D5	74	True	D	0	1/16	1.25	False	0	P1-Staff2	1	1	0.5	0	I	False	('B-', 'D', 'F')	B-	B-	0	major triad	(2, 5, 10)	B-	B-	1	None	I	True	3
3	1	0.375	3/8	0.125	1/8	1	-2	4	4	1	0.375	F4	65	True	F	0	3/32	1.375	False	0	P1-Staff2	1	1	0.5	0	I	False	('B-', 'D', 'F')	B-	B-	0	major triad	(2, 5, 10)	B-	B-	1	None	I	True	5
4	4	0.5	1/2	0.5	1/2	1	-2	4	4	1	0.5	A3	57	True	A	0	1/8	1.5	False	0	P1-Staff2	1	1	0.5	1	V	True	('A', 'C', 'F')	A	F	1	major triad	(0, 5, 9)	B-	B-	5	None	V	True	7
5	1	0.625	5/8	0.125	1/8	1	-2	4	4	1	0.625	F4	65	True	F	0	5/32	1.625	False	0	P1-Staff2	1	1	0.5	1	V	False	('A', 'C', 'F')	A	F	1	major triad	(0, 5, 9)	B-	B-	5	None	V	True	5
6	1	0.75	3/4	0.125	1/8	1	-2	4	4	1	0.75	C5	72	True	C	0	3/16	1.75	False	0	P1-Staff2	1	1	0.5	1	V	False	('A', 'C', 'F')	A	F	1	major triad	(0, 5, 9)	B-	B-	5	None	V	True	2
7	1	0.875	7/8	0.125	1/8	1	-2	4	4	1	0.875	F4	65	True	F	0	7/32	1.875	False	0	P1-Staff2	1	1	0.5	1	V	False	('A', 'C', 'F')	A	F	1	major triad	(0, 5, 9)	B-	B-	5	None	V	True	5
8	4	1.0	1	0.5	1/2	1	-2	4	4	1	1.0	B-3	58	True	B	-1	1/4	2.0	True	2	P1-Staff2	1	1	0.5	2	I	True	('B-', 'D', 'F')	B-	B-	0	major triad	(2, 5, 10)	B-	B-	1	None	I	True	1
9	1	1.125	9/8	0.125	1/8	1	-2	4	4	1	1.125	F4	65	True	F	0	9/32	2.125	False	0	P1-Staff2	1	1	0.5	2	I	False	('B-', 'D', 'F')	B-	B-	0	major triad	(2, 5, 10)	B-	B-	1	None	I	True	5
10	1	1.25	5/4	0.125	1/8	1	-2	4	4	1	1.25	D5	74	True	D	0	5/16	2.25	False	0	P1-Staff2	1	1	0.5	2	I	False	('B-', 'D', 'F')	B-	B-	0	major triad	(2, 5, 10)	B-	B-	1	None	I	True	3
11	1	1.375	11/8	0.125	1/8	1	-2	4	4	1	1.375	F4	65	True	F	0	11/32	2.375	False	0	P1-Staff2	1	1	0.5	2	I	False	('B-', 'D', 'F')	B-	B-	0	major triad	(2, 5, 10)	B-	B-	1	None	I	True	5
12	4	1.5	3/2	0.5	1/2	1	-2	4	4	1	1.5	F3	53	True	F	0	3/8	2.5	False	0	P1-Staff2	1	1	0.5	3	V	True	('F', 'A', 'C')	F	F	0	major triad	(0, 5, 9)	B-	B-	5	None	V	True	5
13	1	1.625	13/8	0.125	1/8	1	-2	4	4	1	1.625	A4	69	True	A	0	13/32	2.625	False	0	P1-Staff2	1	1	0.5	3	V	False	('F', 'A', 'C')	F	F	0	major triad	(0, 5, 9)	B-	B-	5	None	V	True	7
14	1	1.75	7/4	0.125	1/8	1	-2	4	4	1	1.75	F5	77	True	F	0	7/16	2.75	False	0	P1-Staff2	1	1	0.5	3	V	False	('F', 'A', 'C')	F	F	0	major triad	(0, 5, 9)	B-	B-	5	None	V	True	5
15	1	1.875	15/8	0.125	1/8	1	-2	4	4	1	1.875	A4	69	True	A	0	15/32	2.875	False	0	P1-Staff2	1	1	0.5	3	V	False	('F', 'A', 'C')	F	F	0	major triad	(0, 5, 9)	B-	B-	5	None	V	True	7
16	4	2.0	2	0.5	1/2	1	-2	4	4	1	2.0	G3	55	True	G	0	1/2	3.0	True	3	P1-Staff2	1	1	0.5	4	vi	True	('G', 'B-', 'D')	G	G	0	minor triad	(2, 7, 10)	B-	B-	6	None	vi	True	6
17	1	2.125	17/8	0.125	1/8	1	-2	4	4	1	2.125	D4	62	True	D	0	17/32	3.125	False	0	P1-Staff2	1	1	0.5	4	vi	False	('G', 'B-', 'D')	G	G	0	minor triad	(2, 7, 10)	B-	B-	6	None	vi	True	3
18	1	2.25	9/4	0.125	1/8	1	-2	4	4	1	2.25	B-4	70	True	B	-1	9/16	3.25	False	0	P1-Staff2	1	1	0.5	4	vi	False	('G', 'B-', 'D')	G	G	0	minor triad	(2, 7, 10)	B-	B-	6	None	vi	True	1
19	1	2.375	19/8	0.125	1/8	1	-2	4	4	1	2.375	D4	62	True	D	0	19/32	3.375	False	0	P1-Staff2	1	1	0.5	4	vi	False	('G', 'B-', 'D')	G	G	0	minor triad	(2, 7, 10)	B-	B-	6	None	vi	True	3
20	4	2.5	5/2	0.5	1/2	1	-2	4	4	1	2.5	F3	53	True	F	0	5/8	3.5	False	0	P1-Staff2	1	1	0.5	5	iii	True	('F', 'A', 'D')	F	D	1	minor triad	(2, 5, 9)	B-	B-	3	None	iii	True	5
21	1	2.625	21/8	0.125	1/8	1	-2	4	4	1	2.625	D4	62	True	D	0	21/32	3.625	False	0	P1-Staff2	1	1	0.5	5	iii	False	('F', 'A', 'D')	F	D	1	minor triad	(2, 5, 9)	B-	B-	3	None	iii	True	3
22	1	2.75	11/4	0.125	1/8	1	-2	4	4	1	2.75	A4	69	True	A	0	11/16	3.75	False	0	P1-Staff2	1	1	0.5	5	iii	False	('F', 'A', 'D')	F	D	1	minor triad	(2, 5, 9)	B-	B-	3	None	iii	True	7
23	1	2.875	23/8	0.125	1/8	1	-2	4	4	1	2.875	D4	62	True	D	0	23/32	3.875	False	0	P1-Staff2	1	1	0.5	5	iii	False	('F', 'A', 'D')	F	D	1	minor triad	(2, 5, 9)	B-	B-	3	None	iii	True	3
24	4	3.0	3	0.5	1/2	1	-2	4	4	1	3.0	G3	55	True	G	0	3/4	4.0	True	4	P1-Staff2	1	1	0.5	6	vi	True	('G', 'B-', 'D')	G	G	0	minor triad	(2, 7, 10)	B-	B-	6	None	vi	True	6
25	1	3.125	25/8	0.125	1/8	1	-2	4	4	1	3.125	D4	62	True	D	0	25/32	4.125	False	0	P1-Staff2	1	1	0.5	6	vi	False	('G', 'B-', 'D')	G	G	0	minor triad	(2, 7, 10)	B-	B-	6	None	vi	True	3
26	1	3.25	13/4	0.125	1/8	1	-2	4	4	1	3.25	B-4	70	True	B	-1	13/16	4.25	False	0	P1-Staff2	1	1	0.5	6	vi	False	('G', 'B-', 'D')	G	G	0	minor triad	(2, 7, 10)	B-	B-	6	None	vi	True	1
27	1	3.375	27/8	0.125	1/8	1	-2	4	4	1	3.375	D4	62	True	D	0	27/32	4.375	False	0	P1-Staff2	1	1	0.5	6	vi	False	('G', 'B-', 'D')	G	G	0	minor triad	(2, 7, 10)	B-	B-	6	None	vi	True	3
28	4	3.5	7/2	0.5	1/2	1	-2	4	4	1	3.5	D3	50	True	D	0	7/8	4.5	False	0	P1-Staff2	1	1	0.5	7	iii	True	('D', 'F', 'A')	D	D	0	minor triad	(2, 5, 9)	B-	B-	3	None	iii	True	3
29	1	3.625	29/8	0.125	1/8	1	-2	4	4	1	3.625	F4	65	True	F	0	29/32	4.625	False	0	P1-Staff2	1	1	0.5	7	iii	False	('D', 'F', 'A')	D	D	0	minor triad	(2, 5, 9)	B-	B-	3	None	iii	True	5
30	1	3.75	15/4	0.125	1/8	1	-2	4	4	1	3.75	D5	74	True	D	0	15/16	4.75	False	0	P1-Staff2	1	1	0.5	7	iii	False	('D', 'F', 'A')	D	D	0	minor triad	(2, 5, 9)	B-	B-	3	None	iii	True	3
31	1	3.875	31/8	0.125	1/8	1	-2	4	4	1	3.875	F4	65	True	F	0	31/32	4.875	False	0	P1-Staff2	1	1	0.5	7	iii	False	('D', 'F', 'A')	D	D	0	minor triad	(2, 5, 9)	B-	B-	3	None	iii	True	5
32	4	4.0	4	0.5	1/2	2	-2	4	4	2	4.0	E-3	51	True	E	-1	0	1.0	True	1	P1-Staff2	1	2	0.5	8	IV	True	('E-', 'G', 'B-')	E-	E-	0	major triad	(3, 7, 10)	B-	B-	4	None	IV	True	4
33	1	4.125	33/8	0.125	1/8	2	-2	4	4	2	4.125	B-3	58	True	B	-1	1/32	1.125	False	0	P1-Staff2	1	2	0.5	8	IV	False	('E-', 'G', 'B-')	E-	E-	0	major triad	(3, 7, 10)	B-	B-	4	None	IV	True	1
