onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	2	0.0	60	0	C	0	3.0	3	True	3	4	2	1	1/4	True	-1	1	1	0	0a	4	0	True	True				False	0		F.I		F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		-1	-1	-1	-1	-1	F	F	F	F	major triad	0	True	False	True	True	True	1	1	1	5	True	False	False
2	2	1.0	41	-1	F	0	1.0	1	True	3	4	4	1	1/4	True	-1	2	2	1	1a	2	1	False	False				False	0		F.I		F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		-1	-1	-1	-1	-1	F	F	F	F	major triad	0	True	False	True	True	True	0	0	0	1	True	True	True
2	6	1.0	53	-1	F	0	1.0	1	True	3	4	3	1	3/4	True	-1	2	2	1	1a	3	1	False	False				False	0		F.I		F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		-1	-1	-1	-1	-1	F	F	F	F	major triad	0	True	False	True	True	True	0	0	0	1	True	True	True
2	4	1.0	60	0	C	0	1.0	1	True	3	4	2	1	1/2	False	-1	2	2	1	1a	4	1	False	False				False	0		F.I		F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		-1	-1	-1	-1	-1	F	F	F	F	major triad	0	True	False	True	True	True	1	1	1	5	True	False	False
4	4	2.0	69	3	A	0	2.0	2	True	3	4	1	1	1/2	True	-1	2	2	1	1a	4	2	False	False				False	0		F.I		F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		-1	-1	-1	-1	-1	F	F	F	F	major triad	0	True	False	True	True	True	4	4	4	3	True	False	False
6	2	3.0	45	3	A	0	3.0	3	True	3	4	4	1	1/4	True	-1	2	2	1	1a	2	3	False	True				False	1		I6		F	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	I	1		-1	-1	-1	-1	3	F	A	F	F	major triad	1	True	False	True	True	True	4	4	4	3	True	False	True
6	2	3.0	60	0	C	0	3.0	3	True	3	4	2	1	1/4	True	-1	2	2	1	1a	4	3	False	True				False	1		I6		F	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	I	1		-1	-1	-1	-1	3	F	A	F	F	major triad	1	True	False	True	True	True	1	1	1	5	True	False	False
8	2	4.0	46	-2	B	-1	1.0	1	True	3	4	4	1	1/4	True	-1	3	3	2	2a	2	4	False	True				False	2		V2(6)		F	I		V2(6)	V		2	6		Mm7	False	False	(-1, 1, 5, 4)	()	1	-1	major	major	I	I, major	V		I	I	False	V2	V2, major		V2(6), major		V	V7	5		-1	-1	-1	0	-2	C	Bb	F	F	dominant seventh chord	3	True	False	True	True	True	-1	-1	-1	4	True	False	True
8	6	4.0	52	4	E	0	1.0	1	True	3	4	3	1	3/4	True	-1	3	3	2	2a	3	4	False	True				False	2		V2(6)		F	I		V2(6)	V		2	6		Mm7	False	False	(-1, 1, 5, 4)	()	1	-1	major	major	I	I, major	V		I	I	False	V2	V2, major		V2(6), major		V	V7	5		-1	-1	-1	0	-2	C	Bb	F	F	dominant seventh chord	3	True	False	True	True	True	5	5	5	7	True	False	False
8	4	4.0	60	0	C	0	1.0	1	True	3	4	2	1	1/2	False	-1	3	3	2	2a	4	4	False	True				False	2		V2(6)		F	I		V2(6)	V		2	6		Mm7	False	False	(-1, 1, 5, 4)	()	1	-1	major	major	I	I, major	V		I	I	False	V2	V2, major		V2(6), major		V	V7	5		-1	-1	-1	0	-2	C	Bb	F	F	dominant seventh chord	3	True	False	True	True	True	1	1	1	5	True	True	False
