onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
8	8	0.25	74	2	D	0	1.25	0	False	2	2	1	2	1/8	True	-1	1	1	1	1a	5	1/2	False	True			{	False	0	g.i{	V{	g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		1	1	1	1	1	G	G	G	G	minor triad	0	True	False	True	True	True	1	1	1	5	True	False	False
16	8	0.5	74	2	D	0	1.5	0	False	2	2	1	2	1/8	True	-1	1	1	1	1a	5	1	False	False				False	0	g.i{	V{	g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		1	1	1	1	1	G	G	G	G	minor triad	0	True	False	True	True	True	1	1	1	5	True	False	False
24	8	0.75	74	2	D	0	1.75	0	False	2	2	1	2	1/8	True	-1	1	1	1	1a	5	3/2	False	False				False	0	g.i{	V{	g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		1	1	1	1	1	G	G	G	G	minor triad	0	True	False	True	True	True	1	1	1	5	True	False	False
32	8	1.0	74	2	D	0	2.0	2	True	2	2	1	2	1/8	True	-1	1	1	1	1a	5	2	False	False				False	0	g.i{	V{	g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		1	1	1	1	1	G	G	G	G	minor triad	0	True	False	True	True	True	1	1	1	5	True	False	False
40	4	1.25	72	0	C	0	2.25	0	False	2	2	1	2	1/16	True	-1	1	1	1	1a	5	5/2	False	False				False	0	g.i{	V{	g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		1	1	1	1	1	G	G	G	G	minor triad	0	True	False	True	True	True	-1	-1	-1	4	False	False	False
44	4	1.375	70	-2	B	-1	2.375	0	False	2	2	1	2	1/16	True	-1	1	1	1	1a	4	11/4	False	False				False	0	g.i{	V{	g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		1	1	1	1	1	G	G	G	G	minor triad	0	True	False	True	True	True	-3	-3	-3	3	True	False	False
48	8	1.5	72	0	C	0	2.5	0	False	2	2	1	2	1/8	True	-1	1	1	1	1a	5	3	False	False				False	0	g.i{	V{	g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		1	1	1	1	1	G	G	G	G	minor triad	0	True	False	True	True	True	-1	-1	-1	4	False	False	False
56	8	1.75	69	3	A	0	2.75	0	False	2	2	1	2	1/8	True	-1	1	1	1	1a	4	7/2	False	False				False	0	g.i{	V{	g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		1	1	1	1	1	G	G	G	G	minor triad	0	True	False	True	True	True	2	2	2	2	False	False	False
64	8	2.0	70	-2	B	-1	1.0	1	True	2	2	1	1	1/8	True	-1	2	2	2	2a	4	4	False	False				False	1	i		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		1	1	1	1	1	G	G	G	G	minor triad	0	True	False	True	True	True	-3	-3	-3	3	True	False	False
72	8	2.25	67	1	G	0	1.25	0	False	2	2	1	2	1/8	True	-1	2	2	2	2a	4	9/2	False	False				False	1	i		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		1	1	1	1	1	G	G	G	G	minor triad	0	True	False	True	True	True	0	0	0	1	True	True	True
80	8	2.5	67	1	G	0	1.5	0	False	2	2	1	2	1/8	True	-1	2	2	2	2a	4	5	False	True				False	2	VI6		g	i		VI6	VI		6			M	True	True	(0, -3, -4)	()	-4	0	minor	minor	i	i, minor	VI		i	i	True	VI6	VI6, minor		VI6, minor		VI	VI	6		1	1	1	-3	1	Eb	G	G	G	major triad	1	True	False	True	True	True	0	0	0	1	True	False	True
80	8	2.5	75	-3	E	-1	1.5	0	False	2	2	1	1	1/8	True	-1	2	2	2	2a	5	5	False	True				False	2	VI6		g	i		VI6	VI		6			M	True	True	(0, -3, -4)	()	-4	0	minor	minor	i	i, minor	VI		i	i	True	VI6	VI6, minor		VI6, minor		VI	VI	6		1	1	1	-3	1	Eb	G	G	G	major triad	1	True	False	True	True	True	-4	-4	-4	6	True	True	False
88	8	2.75	67	1	G	0	1.75	0	False	2	2	1	2	1/8	True	-1	2	2	2	2a	4	11/2	False	False				False	2	VI6		g	i		VI6	VI		6			M	True	True	(0, -3, -4)	()	-4	0	minor	minor	i	i, minor	VI		i	i	True	VI6	VI6, minor		VI6, minor		VI	VI	6		1	1	1	-3	1	Eb	G	G	G	major triad	1	True	False	True	True	True	0	0	0	1	True	False	True
96	8	3.0	67	1	G	0	2.0	2	True	2	2	1	2	1/8	True	-1	2	2	2	2a	4	6	False	True				False	3	v6(42)		g	i		v6(42)	v		6	42		m	True	True	(0, 2, -4)	()	1	0	minor	minor	i	i, minor	v		i	i	True	v6	v6, minor		v6(42), minor		v	v	5		1	1	1	2	1	D	G	G	G	minor triad	1	True	False	True	True	True	0	0	0	1	True	False	True
96	8	3.0	69	3	A	0	2.0	2	True	2	2	1	1	1/8	True	-1	2	2	2	2a	4	6	False	True				False	3	v6(42)		g	i		v6(42)	v		6	42		m	True	True	(0, 2, -4)	()	1	0	minor	minor	i	i, minor	v		i	i	True	v6	v6, minor		v6(42), minor		v	v	5		1	1	1	2	1	D	G	G	G	minor triad	1	True	False	True	True	True	2	2	2	2	True	False	False
104	4	3.25	65	-1	F	0	2.25	0	False	2	2	1	2	1/16	True	-1	2	2	2	2a	4	13/2	False	False				False	3	v6(42)		g	i		v6(42)	v		6	42		m	True	True	(0, 2, -4)	()	1	0	minor	minor	i	i, minor	v		i	i	True	v6	v6, minor		v6(42), minor		v	v	5		1	1	1	2	1	D	G	G	G	minor triad	1	True	False	True	True	True	-2	-2	-2	7	False	False	False
108	4	3.375	64	4	E	0	2.375	0	False	2	2	1	2	1/16	True	-1	2	2	2	2a	4	27/4	False	False				False	3	v6(42)		g	i		v6(42)	v		6	42		m	True	True	(0, 2, -4)	()	1	0	minor	minor	i	i, minor	v		i	i	True	v6	v6, minor		v6(42), minor		v	v	5		1	1	1	2	1	D	G	G	G	minor triad	1	True	False	True	True	True	3	3	3	#6	False	False	False
112	8	3.5	65	-1	F	0	2.5	0	False	2	2	1	2	1/8	True	-1	2	2	2	2a	4	7	False	True				False	4	v		g	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	v	5		1	1	1	2	2	D	D	G	G	minor triad	0	True	False	True	True	True	-2	-2	-2	7	True	False	False
112	8	3.5	74	2	D	0	2.5	0	False	2	2	1	1	1/8	True	-1	2	2	2	2a	5	7	False	True				False	4	v		g	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	v	5		1	1	1	2	2	D	D	G	G	minor triad	0	True	False	True	True	True	1	1	1	5	True	True	True
120	8	3.75	62	2	D	0	2.75	0	False	2	2	1	2	1/8	True	-1	2	2	2	2a	4	15/2	False	False				False	4	v		g	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	v	5		1	1	1	2	2	D	D	G	G	minor triad	0	True	False	True	True	True	1	1	1	5	True	True	True
128	8	4.0	63	-3	E	-1	1.0	1	True	2	2	1	2	1/8	True	-1	3	3	3	3a	4	8	False	True				False	5	iv6(2)		g	i		iv6(2)	iv		6	2		m	True	True	(-4, 0, 1)	()	-1	-4	minor	minor	i	i, minor	iv		i	i	True	iv6	iv6, minor		iv6(2), minor		iv	iv	4		1	1	1	0	-3	C	Eb	G	G	minor triad	1	True	False	True	True	True	-4	-4	-4	6	True	False	True
