onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	1	0.0	58	-2	B	-1	1.0	1	True	3	4	1	1	1/8	True	-1	1	1	1	1a	3	0	True	True			{	False	0	g.i{	g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		1	1	1	1	1	G	G	G	G	minor triad	0	True	False	True	True	True	-3	-3	-3	3	True	False	False
1	1	0.5	57	3	A	0	1.5	0	False	3	4	1	1	1/8	True	-1	1	1	1	1a	3	1/2	False	False				False	0	g.i{	g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		1	1	1	1	1	G	G	G	G	minor triad	0	True	False	True	True	True	2	2	2	2	False	False	False
2	1	1.0	58	-2	B	-1	2.0	2	True	3	4	1	1	1/8	True	-1	1	1	1	1a	3	1	False	False				False	0	g.i{	g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		1	1	1	1	1	G	G	G	G	minor triad	0	True	False	True	True	True	-3	-3	-3	3	True	False	False
3	1	1.5	50	2	D	0	2.5	0	False	3	4	1	1	1/8	True	-1	1	1	1	1a	3	3/2	False	False				False	0	g.i{	g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		1	1	1	1	1	G	G	G	G	minor triad	0	True	False	True	True	True	1	1	1	5	True	False	False
4	1	2.0	51	-3	E	-1	3.0	3	True	3	4	1	1	1/8	True	-1	1	1	1	1a	3	2	False	True				False	1	VI6	g	i		VI6	VI		6			M	True	True	(0, -3, -4)	()	-4	0	minor	minor	i	i, minor	VI		i	i	True	VI6	VI6, minor		VI6, minor		VI	VI	6		1	1	1	-3	1	Eb	G	G	G	major triad	1	True	False	True	True	True	-4	-4	-4	6	True	True	False
5	1	2.5	43	1	G	0	3.5	0	False	3	4	1	1	1/8	True	-1	1	1	1	1a	2	5/2	False	False				False	1	VI6	g	i		VI6	VI		6			M	True	True	(0, -3, -4)	()	-4	0	minor	minor	i	i, minor	VI		i	i	True	VI6	VI6, minor		VI6, minor		VI	VI	6		1	1	1	-3	1	Eb	G	G	G	major triad	1	True	False	True	True	True	0	0	0	1	True	False	True
6	2	3.0	41	-1	F	0	1.0	1	True	3	4	1	1	1/4	True	-1	2	2	2	2a	2	3	False	True				False	2	v6	g	i		v6	v		6			m	True	True	(-2, 2, 1)	()	1	-2	minor	minor	i	i, minor	v		i	i	True	v6	v6, minor		v6, minor		v	v	5		1	1	1	2	-1	D	F	G	G	minor triad	1	True	False	True	True	True	-2	-2	-2	7	True	False	True
8	2	4.0	57	3	A	0	2.0	2	True	3	4	1	1	1/4	True	-1	2	2	2	2a	3	4	False	False				False	2	v6	g	i		v6	v		6			m	True	True	(-2, 2, 1)	()	1	-2	minor	minor	i	i, minor	v		i	i	True	v6	v6, minor		v6, minor		v	v	5		1	1	1	2	-1	D	F	G	G	minor triad	1	True	False	True	True	True	2	2	2	2	True	False	False
10	2	5.0	50	2	D	0	3.0	3	True	3	4	1	1	1/4	True	-1	2	2	2	2a	3	5	False	False				False	2	v6	g	i		v6	v		6			m	True	True	(-2, 2, 1)	()	1	-2	minor	minor	i	i, minor	v		i	i	True	v6	v6, minor		v6, minor		v	v	5		1	1	1	2	-1	D	F	G	G	minor triad	1	True	False	True	True	True	1	1	1	5	True	True	False
12	1	6.0	55	1	G	0	1.0	1	True	3	4	1	1	1/8	True	-1	3	3	3	3a	3	6	False	True				False	3	VI	g	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	VI	6		1	1	1	-3	-3	Eb	Eb	G	G	major triad	0	True	False	True	True	True	0	0	0	1	True	False	False
13	1	6.5	54	6	F	1	1.5	0	False	3	4	1	1	1/8	True	-1	3	3	3	3a	3	13/2	False	False				False	3	VI	g	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	VI	6		1	1	1	-3	-3	Eb	Eb	G	G	major triad	0	True	False	True	True	True	5	5	5	#7	False	False	False
14	1	7.0	55	1	G	0	2.0	2	True	3	4	1	1	1/8	True	-1	3	3	3	3a	3	7	False	False				False	3	VI	g	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	VI	6		1	1	1	-3	-3	Eb	Eb	G	G	major triad	0	True	False	True	True	True	0	0	0	1	True	False	False
15	1	7.5	46	-2	B	-1	2.5	0	False	3	4	1	1	1/8	True	-1	3	3	3	3a	2	15/2	False	False				False	3	VI	g	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	VI	6		1	1	1	-3	-3	Eb	Eb	G	G	major triad	0	True	False	True	True	True	-3	-3	-3	3	True	False	False
