onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	6	0.0	67	1	G	0	1.0	1	True	3	4	1	1	1/20	True	0	1	1	1	1a	4	0	True	False				False	0	e.V64(+6){	e	i		V64(+6)	V	M	64	+6	V	M	True	True	(2, 1, 5)	(-3,)	1	2	minor	minor	i	i, minor	V	V	i	i	True	V64	V64, minor		V64(+6), minor	V	V	V	5	5	4	4	4	5	6	B	F#	E	E	major triad	2	False	True	True	True	True	-3	-3	-3	3	False	False	False
6	6	0.2	71	5	B	0	1.2	0	False	3	4	1	1	1/20	True	0	1	1	1	1a	4	1/5	False	False				False	0	e.V64(+6){	e	i		V64(+6)	V	M	64	+6	V	M	True	True	(2, 1, 5)	(-3,)	1	2	minor	minor	i	i, minor	V	V	i	i	True	V64	V64, minor		V64(+6), minor	V	V	V	5	5	4	4	4	5	6	B	F#	E	E	major triad	2	False	True	True	True	True	1	1	1	5	True	True	False
12	6	0.4	70	-2	B	-1	1.4	0	False	3	4	1	1	1/20	True	0	1	1	1	1a	4	2/5	False	False				False	0	e.V64(+6){	e	i		V64(+6)	V	M	64	+6	V	M	True	True	(2, 1, 5)	(-3,)	1	2	minor	minor	i	i, minor	V	V	i	i	True	V64	V64, minor		V64(+6), minor	V	V	V	5	5	4	4	4	5	6	B	F#	E	E	major triad	2	False	True	True	True	True	-6	-6	-6	b5	False	False	False
18	6	0.6	69	3	A	0	1.6	0	False	3	4	1	1	1/20	True	0	1	1	1	1a	4	3/5	False	False				False	0	e.V64(+6){	e	i		V64(+6)	V	M	64	+6	V	M	True	True	(2, 1, 5)	(-3,)	1	2	minor	minor	i	i, minor	V	V	i	i	True	V64	V64, minor		V64(+6), minor	V	V	V	5	5	4	4	4	5	6	B	F#	E	E	major triad	2	False	True	True	True	True	-1	-1	-1	4	False	False	False
24	6	0.8	68	-4	A	-1	1.8	0	False	3	4	1	1	1/20	True	0	1	1	1	1a	4	4/5	False	False				False	0	e.V64(+6){	e	i		V64(+6)	V	M	64	+6	V	M	True	True	(2, 1, 5)	(-3,)	1	2	minor	minor	i	i, minor	V	V	i	i	True	V64	V64, minor		V64(+6), minor	V	V	V	5	5	4	4	4	5	6	B	F#	E	E	major triad	2	False	True	True	True	True	-8	-8	-8	b4	False	False	False
30	6	1.0	67	1	G	0	2.0	2	True	3	4	1	1	1/20	True	0	1	1	1	1a	4	1	False	False				False	0	e.V64(+6){	e	i		V64(+6)	V	M	64	+6	V	M	True	True	(2, 1, 5)	(-3,)	1	2	minor	minor	i	i, minor	V	V	i	i	True	V64	V64, minor		V64(+6), minor	V	V	V	5	5	4	4	4	5	6	B	F#	E	E	major triad	2	False	True	True	True	True	-3	-3	-3	3	False	False	False
36	6	1.2	71	5	B	0	2.2	0	False	3	4	1	1	1/20	True	0	1	1	1	1a	4	6/5	False	False				False	0	e.V64(+6){	e	i		V64(+6)	V	M	64	+6	V	M	True	True	(2, 1, 5)	(-3,)	1	2	minor	minor	i	i, minor	V	V	i	i	True	V64	V64, minor		V64(+6), minor	V	V	V	5	5	4	4	4	5	6	B	F#	E	E	major triad	2	False	True	True	True	True	1	1	1	5	True	True	False
42	6	1.4	70	-2	B	-1	2.4	0	False	3	4	1	1	1/20	True	0	1	1	1	1a	4	7/5	False	False				False	0	e.V64(+6){	e	i		V64(+6)	V	M	64	+6	V	M	True	True	(2, 1, 5)	(-3,)	1	2	minor	minor	i	i, minor	V	V	i	i	True	V64	V64, minor		V64(+6), minor	V	V	V	5	5	4	4	4	5	6	B	F#	E	E	major triad	2	False	True	True	True	True	-6	-6	-6	b5	False	False	False
48	6	1.6	69	3	A	0	2.6	0	False	3	4	1	1	1/20	True	0	1	1	1	1a	4	8/5	False	False				False	0	e.V64(+6){	e	i		V64(+6)	V	M	64	+6	V	M	True	True	(2, 1, 5)	(-3,)	1	2	minor	minor	i	i, minor	V	V	i	i	True	V64	V64, minor		V64(+6), minor	V	V	V	5	5	4	4	4	5	6	B	F#	E	E	major triad	2	False	True	True	True	True	-1	-1	-1	4	False	False	False
54	6	1.8	68	-4	A	-1	2.8	0	False	3	4	1	1	1/20	True	0	1	1	1	1a	4	9/5	False	False				False	0	e.V64(+6){	e	i		V64(+6)	V	M	64	+6	V	M	True	True	(2, 1, 5)	(-3,)	1	2	minor	minor	i	i, minor	V	V	i	i	True	V64	V64, minor		V64(+6), minor	V	V	V	5	5	4	4	4	5	6	B	F#	E	E	major triad	2	False	True	True	True	True	-8	-8	-8	b4	False	False	False
60	6	2.0	67	1	G	0	3.0	3	True	3	4	1	1	1/20	True	0	1	1	1	1a	4	2	False	False				False	0	e.V64(+6){	e	i		V64(+6)	V	M	64	+6	V	M	True	True	(2, 1, 5)	(-3,)	1	2	minor	minor	i	i, minor	V	V	i	i	True	V64	V64, minor		V64(+6), minor	V	V	V	5	5	4	4	4	5	6	B	F#	E	E	major triad	2	False	True	True	True	True	-3	-3	-3	3	False	False	False
66	6	2.2	71	5	B	0	3.2	0	False	3	4	1	1	1/20	True	0	1	1	1	1a	4	11/5	False	False				False	0	e.V64(+6){	e	i		V64(+6)	V	M	64	+6	V	M	True	True	(2, 1, 5)	(-3,)	1	2	minor	minor	i	i, minor	V	V	i	i	True	V64	V64, minor		V64(+6), minor	V	V	V	5	5	4	4	4	5	6	B	F#	E	E	major triad	2	False	True	True	True	True	1	1	1	5	True	True	False
72	6	2.4	70	-2	B	-1	3.4	0	False	3	4	1	1	1/20	True	0	1	1	1	1a	4	12/5	False	False				False	0	e.V64(+6){	e	i		V64(+6)	V	M	64	+6	V	M	True	True	(2, 1, 5)	(-3,)	1	2	minor	minor	i	i, minor	V	V	i	i	True	V64	V64, minor		V64(+6), minor	V	V	V	5	5	4	4	4	5	6	B	F#	E	E	major triad	2	False	True	True	True	True	-6	-6	-6	b5	False	False	False
78	6	2.6	69	3	A	0	3.6	0	False	3	4	1	1	1/20	True	0	1	1	1	1a	4	13/5	False	False				False	0	e.V64(+6){	e	i		V64(+6)	V	M	64	+6	V	M	True	True	(2, 1, 5)	(-3,)	1	2	minor	minor	i	i, minor	V	V	i	i	True	V64	V64, minor		V64(+6), minor	V	V	V	5	5	4	4	4	5	6	B	F#	E	E	major triad	2	False	True	True	True	True	-1	-1	-1	4	False	False	False
84	6	2.8	68	-4	A	-1	3.8	0	False	3	4	1	1	1/20	True	0	1	1	1	1a	4	14/5	False	False				False	0	e.V64(+6){	e	i		V64(+6)	V	M	64	+6	V	M	True	True	(2, 1, 5)	(-3,)	1	2	minor	minor	i	i, minor	V	V	i	i	True	V64	V64, minor		V64(+6), minor	V	V	V	5	5	4	4	4	5	6	B	F#	E	E	major triad	2	False	True	True	True	True	-8	-8	-8	b4	False	False	False
90	6	3.0	67	1	G	0	1.0	1	True	3	4	1	1	1/20	True	0	2	2	2	2a	4	3	False	False				False	0	e.V64(+6){	e	i		V64(+6)	V	M	64	+6	V	M	True	True	(2, 1, 5)	(-3,)	1	2	minor	minor	i	i, minor	V	V	i	i	True	V64	V64, minor		V64(+6), minor	V	V	V	5	5	4	4	4	5	6	B	F#	E	E	major triad	2	False	True	True	True	True	-3	-3	-3	3	False	False	False
