onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	12	0.0	29	-1	F	0	1.0	1	True	6	8	2	1	3/8	True	-1	1	1	1	1a	1	0	True	True			{	False	0	F.I{	F	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		-1	-1	-1	-1	-1	F	F	F	F	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
0	12	0.0	41	-1	F	0	1.0	1	True	6	8	2	1	3/8	True	-1	1	1	1	1a	2	0	True	True			{	False	0	F.I{	F	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		-1	-1	-1	-1	-1	F	F	F	F	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
4	3	0.333	48	0	C	0	1.333	0	False	6	8	1	1	3/32	True	-1	1	1	1	1a	3	1/2	False	False				False	0	F.I{	F	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		-1	-1	-1	-1	-1	F	F	F	F	major triad	0	True	True	True	True	True	1	1	1	5	True	False	False
7	1	0.583	48	0	C	0	1.583	0	False	6	8	1	1	1/32	True	-1	1	1	1	1a	3	7/8	False	False				False	0	F.I{	F	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		-1	-1	-1	-1	-1	F	F	F	F	major triad	0	True	True	True	True	True	1	1	1	5	True	False	False
8	4	0.667	57	3	A	0	1.667	0	False	6	8	1	1	1/8	True	-1	1	1	1	1a	3	1	False	False				False	0	F.I{	F	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		-1	-1	-1	-1	-1	F	F	F	F	major triad	0	True	True	True	True	True	4	4	4	3	True	False	False
12	12	1.0	29	-1	F	0	2.0	2	True	6	8	2	1	3/8	True	-1	1	1	1	1a	1	3/2	False	True				False	1	It6/iii	F	I		It6/iii	It	vii	o	6	b3	V/iii	It	False	False	(0, 4, 10)	()	10	0	major	major	I	I, major	vii/V/iii	VII	V/iii/I	VII	False	viio6/V/iii	viio6/V/iii, major		It6/iii, major	iii	iii	It	7	7	-1	-1	4	9	-1	D#	F	F	E	Italian augmented sixth chord	1	True	True	True	True	True	0	0	-5	1	True	False	True
12	12	1.0	41	-1	F	0	2.0	2	True	6	8	2	1	3/8	True	-1	1	1	1	1a	2	3/2	False	True				False	1	It6/iii	F	I		It6/iii	It	vii	o	6	b3	V/iii	It	False	False	(0, 4, 10)	()	10	0	major	major	I	I, major	vii/V/iii	VII	V/iii/I	VII	False	viio6/V/iii	viio6/V/iii, major		It6/iii, major	iii	iii	It	7	7	-1	-1	4	9	-1	D#	F	F	E	Italian augmented sixth chord	1	True	True	True	True	True	0	0	-5	1	True	False	True
16	3	1.333	57	3	A	0	2.333	0	False	6	8	1	1	3/32	True	-1	1	1	1	1a	3	2	False	False				False	1	It6/iii	F	I		It6/iii	It	vii	o	6	b3	V/iii	It	False	False	(0, 4, 10)	()	10	0	major	major	I	I, major	vii/V/iii	VII	V/iii/I	VII	False	viio6/V/iii	viio6/V/iii, major		It6/iii, major	iii	iii	It	7	7	-1	-1	4	9	-1	D#	F	F	E	Italian augmented sixth chord	1	True	True	True	True	True	4	4	-1	3	True	False	False
19	1	1.583	57	3	A	0	2.583	0	False	6	8	1	1	1/32	True	-1	1	1	1	1a	3	19/8	False	False				False	1	It6/iii	F	I		It6/iii	It	vii	o	6	b3	V/iii	It	False	False	(0, 4, 10)	()	10	0	major	major	I	I, major	vii/V/iii	VII	V/iii/I	VII	False	viio6/V/iii	viio6/V/iii, major		It6/iii, major	iii	iii	It	7	7	-1	-1	4	9	-1	D#	F	F	E	Italian augmented sixth chord	1	True	True	True	True	True	4	4	-1	3	True	False	False
20	4	1.667	63	9	D	1	2.667	0	False	6	8	1	1	1/8	True	-1	1	1	1	1a	4	5/2	False	False				False	1	It6/iii	F	I		It6/iii	It	vii	o	6	b3	V/iii	It	False	False	(0, 4, 10)	()	10	0	major	major	I	I, major	vii/V/iii	VII	V/iii/I	VII	False	viio6/V/iii	viio6/V/iii, major		It6/iii, major	iii	iii	It	7	7	-1	-1	4	9	-1	D#	F	F	E	Italian augmented sixth chord	1	True	True	True	True	True	10	10	5	#6	True	True	False
