onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	180	0.0	51	-3	E	-1	4.875	0	False	4	4	2	1	1/32	True	-3	1	1	0	0a	3	0	True	True			{	False	0		c.viio7/V{	c	i		viio7/V		vii	o	7		V	o7	True	True	(6, 3, 0, -3)	()	6	6	minor	minor	i	i, minor	vii/V	V	V/i	V	False	viio7/V	viio7/V, minor		viio7/V, minor	V	V	viio7	7	5	0	0	1	6	6	F#	F#	C	G	diminished seventh chord	7	True	True	True	True	True	-3	-3	-4	3	True	False	False
0	180	0.0	63	-3	E	-1	4.875	0	False	4	4	2	1	1/32	True	-3	1	1	0	0a	4	0	True	True			{	False	0		c.viio7/V{	c	i		viio7/V		vii	o	7		V	o7	True	True	(6, 3, 0, -3)	()	6	6	minor	minor	i	i, minor	vii/V	V	V/i	V	False	viio7/V	viio7/V, minor		viio7/V, minor	V	V	viio7	7	5	0	0	1	6	6	F#	F#	C	G	diminished seventh chord	7	True	True	True	True	True	-3	-3	-4	3	True	False	False
180	1260	0.125	42	6	F	1	1.0	1	True	4	4	2	1	7/32	True	-3	2	2	1	1a	2	1/8	False	False				False	0		c.viio7/V{	c	i		viio7/V		vii	o	7		V	o7	True	True	(6, 3, 0, -3)	()	6	6	minor	minor	i	i, minor	vii/V	V	V/i	V	False	viio7/V	viio7/V, minor		viio7/V, minor	V	V	viio7	7	5	0	0	1	6	6	F#	F#	C	G	diminished seventh chord	7	True	True	True	True	True	6	6	5	#4	True	True	True
180	1260	0.125	54	6	F	1	1.0	1	True	4	4	2	1	7/32	True	-3	2	2	1	1a	3	1/8	False	False				False	0		c.viio7/V{	c	i		viio7/V		vii	o	7		V	o7	True	True	(6, 3, 0, -3)	()	6	6	minor	minor	i	i, minor	vii/V	V	V/i	V	False	viio7/V	viio7/V, minor		viio7/V, minor	V	V	viio7	7	5	0	0	1	6	6	F#	F#	C	G	diminished seventh chord	7	True	True	True	True	True	6	6	5	#4	True	True	True
1440	180	1.0	30	6	F	1	1.875	0	False	4	4	2	1	1/32	True	-3	2	2	1	1a	1	1	False	False				False	0		c.viio7/V{	c	i		viio7/V		vii	o	7		V	o7	True	True	(6, 3, 0, -3)	()	6	6	minor	minor	i	i, minor	vii/V	V	V/i	V	False	viio7/V	viio7/V, minor		viio7/V, minor	V	V	viio7	7	5	0	0	1	6	6	F#	F#	C	G	diminished seventh chord	7	True	True	True	True	True	6	6	5	#4	True	True	True
1440	180	1.0	42	6	F	1	1.875	0	False	4	4	2	1	1/32	True	-3	2	2	1	1a	2	1	False	False				False	0		c.viio7/V{	c	i		viio7/V		vii	o	7		V	o7	True	True	(6, 3, 0, -3)	()	6	6	minor	minor	i	i, minor	vii/V	V	V/i	V	False	viio7/V	viio7/V, minor		viio7/V, minor	V	V	viio7	7	5	0	0	1	6	6	F#	F#	C	G	diminished seventh chord	7	True	True	True	True	True	6	6	5	#4	True	True	True
1440	180	1.0	63	-3	E	-1	1.875	0	False	4	4	1	1	1/32	True	-3	2	2	1	1a	4	1	False	False				False	0		c.viio7/V{	c	i		viio7/V		vii	o	7		V	o7	True	True	(6, 3, 0, -3)	()	6	6	minor	minor	i	i, minor	vii/V	V	V/i	V	False	viio7/V	viio7/V, minor		viio7/V, minor	V	V	viio7	7	5	0	0	1	6	6	F#	F#	C	G	diminished seventh chord	7	True	True	True	True	True	-3	-3	-4	3	True	False	False
1440	180	1.0	69	3	A	0	1.875	0	False	4	4	1	1	1/32	True	-3	2	2	1	1a	4	1	False	False				False	0		c.viio7/V{	c	i		viio7/V		vii	o	7		V	o7	True	True	(6, 3, 0, -3)	()	6	6	minor	minor	i	i, minor	vii/V	V	V/i	V	False	viio7/V	viio7/V, minor		viio7/V, minor	V	V	viio7	7	5	0	0	1	6	6	F#	F#	C	G	diminished seventh chord	7	True	True	True	True	True	3	3	2	#6	True	False	False
1440	180	1.0	72	0	C	0	1.875	0	False	4	4	1	1	1/32	True	-3	2	2	1	1a	5	1	False	False				False	0		c.viio7/V{	c	i		viio7/V		vii	o	7		V	o7	True	True	(6, 3, 0, -3)	()	6	6	minor	minor	i	i, minor	vii/V	V	V/i	V	False	viio7/V	viio7/V, minor		viio7/V, minor	V	V	viio7	7	5	0	0	1	6	6	F#	F#	C	G	diminished seventh chord	7	True	True	True	True	True	0	0	-1	1	True	False	False
1440	180	1.0	75	-3	E	-1	1.875	0	False	4	4	1	1	1/32	True	-3	2	2	1	1a	5	1	False	False				False	0		c.viio7/V{	c	i		viio7/V		vii	o	7		V	o7	True	True	(6, 3, 0, -3)	()	6	6	minor	minor	i	i, minor	vii/V	V	V/i	V	False	viio7/V	viio7/V, minor		viio7/V, minor	V	V	viio7	7	5	0	0	1	6	6	F#	F#	C	G	diminished seventh chord	7	True	True	True	True	True	-3	-3	-4	3	True	False	False
1620	1440	1.125	42	6	F	1	2.0	2	True	4	4	2	1	1/4	True	-3	2	2	1	1a	2	9/8	False	False				False	0		c.viio7/V{	c	i		viio7/V		vii	o	7		V	o7	True	True	(6, 3, 0, -3)	()	6	6	minor	minor	i	i, minor	vii/V	V	V/i	V	False	viio7/V	viio7/V, minor		viio7/V, minor	V	V	viio7	7	5	0	0	1	6	6	F#	F#	C	G	diminished seventh chord	7	True	True	True	True	True	6	6	5	#4	True	True	True
1620	1440	1.125	54	6	F	1	2.0	2	True	4	4	2	1	1/4	True	-3	2	2	1	1a	3	9/8	False	False				False	0		c.viio7/V{	c	i		viio7/V		vii	o	7		V	o7	True	True	(6, 3, 0, -3)	()	6	6	minor	minor	i	i, minor	vii/V	V	V/i	V	False	viio7/V	viio7/V, minor		viio7/V, minor	V	V	viio7	7	5	0	0	1	6	6	F#	F#	C	G	diminished seventh chord	7	True	True	True	True	True	6	6	5	#4	True	True	True
1620	1440	1.125	63	-3	E	-1	2.0	2	True	4	4	1	1	1/4	True	-3	2	2	1	1a	4	9/8	False	False				False	0		c.viio7/V{	c	i		viio7/V		vii	o	7		V	o7	True	True	(6, 3, 0, -3)	()	6	6	minor	minor	i	i, minor	vii/V	V	V/i	V	False	viio7/V	viio7/V, minor		viio7/V, minor	V	V	viio7	7	5	0	0	1	6	6	F#	F#	C	G	diminished seventh chord	7	True	True	True	True	True	-3	-3	-4	3	True	False	False
1620	1440	1.125	69	3	A	0	2.0	2	True	4	4	1	1	1/4	True	-3	2	2	1	1a	4	9/8	False	False				False	0		c.viio7/V{	c	i		viio7/V		vii	o	7		V	o7	True	True	(6, 3, 0, -3)	()	6	6	minor	minor	i	i, minor	vii/V	V	V/i	V	False	viio7/V	viio7/V, minor		viio7/V, minor	V	V	viio7	7	5	0	0	1	6	6	F#	F#	C	G	diminished seventh chord	7	True	True	True	True	True	3	3	2	#6	True	False	False
1620	1440	1.125	72	0	C	0	2.0	2	True	4	4	1	1	1/4	True	-3	2	2	1	1a	5	9/8	False	False				False	0		c.viio7/V{	c	i		viio7/V		vii	o	7		V	o7	True	True	(6, 3, 0, -3)	()	6	6	minor	minor	i	i, minor	vii/V	V	V/i	V	False	viio7/V	viio7/V, minor		viio7/V, minor	V	V	viio7	7	5	0	0	1	6	6	F#	F#	C	G	diminished seventh chord	7	True	True	True	True	True	0	0	-1	1	True	False	False
1620	1440	1.125	75	-3	E	-1	2.0	2	True	4	4	1	1	1/4	True	-3	2	2	1	1a	5	9/8	False	False				False	0		c.viio7/V{	c	i		viio7/V		vii	o	7		V	o7	True	True	(6, 3, 0, -3)	()	6	6	minor	minor	i	i, minor	vii/V	V	V/i	V	False	viio7/V	viio7/V, minor		viio7/V, minor	V	V	viio7	7	5	0	0	1	6	6	F#	F#	C	G	diminished seventh chord	7	True	True	True	True	True	-3	-3	-4	3	True	False	False
3060	1260	2.125	42	6	F	1	3.0	3	True	4	4	2	1	7/32	False	-3	2	2	1	1a	2	17/8	False	False				False	0		c.viio7/V{	c	i		viio7/V		vii	o	7		V	o7	True	True	(6, 3, 0, -3)	()	6	6	minor	minor	i	i, minor	vii/V	V	V/i	V	False	viio7/V	viio7/V, minor		viio7/V, minor	V	V	viio7	7	5	0	0	1	6	6	F#	F#	C	G	diminished seventh chord	7	True	True	True	True	True	6	6	5	#4	True	True	True
3060	1260	2.125	54	6	F	1	3.0	3	True	4	4	2	1	7/32	False	-3	2	2	1	1a	3	17/8	False	False				False	0		c.viio7/V{	c	i		viio7/V		vii	o	7		V	o7	True	True	(6, 3, 0, -3)	()	6	6	minor	minor	i	i, minor	vii/V	V	V/i	V	False	viio7/V	viio7/V, minor		viio7/V, minor	V	V	viio7	7	5	0	0	1	6	6	F#	F#	C	G	diminished seventh chord	7	True	True	True	True	True	6	6	5	#4	True	True	True
3060	1260	2.125	63	-3	E	-1	3.0	3	True	4	4	1	1	7/32	False	-3	2	2	1	1a	4	17/8	False	False				False	0		c.viio7/V{	c	i		viio7/V		vii	o	7		V	o7	True	True	(6, 3, 0, -3)	()	6	6	minor	minor	i	i, minor	vii/V	V	V/i	V	False	viio7/V	viio7/V, minor		viio7/V, minor	V	V	viio7	7	5	0	0	1	6	6	F#	F#	C	G	diminished seventh chord	7	True	True	True	True	True	-3	-3	-4	3	True	False	False
3060	1260	2.125	69	3	A	0	3.0	3	True	4	4	1	1	7/32	False	-3	2	2	1	1a	4	17/8	False	False				False	0		c.viio7/V{	c	i		viio7/V		vii	o	7		V	o7	True	True	(6, 3, 0, -3)	()	6	6	minor	minor	i	i, minor	vii/V	V	V/i	V	False	viio7/V	viio7/V, minor		viio7/V, minor	V	V	viio7	7	5	0	0	1	6	6	F#	F#	C	G	diminished seventh chord	7	True	True	True	True	True	3	3	2	#6	True	False	False
3060	1260	2.125	72	0	C	0	3.0	3	True	4	4	1	1	7/32	False	-3	2	2	1	1a	5	17/8	False	False				False	0		c.viio7/V{	c	i		viio7/V		vii	o	7		V	o7	True	True	(6, 3, 0, -3)	()	6	6	minor	minor	i	i, minor	vii/V	V	V/i	V	False	viio7/V	viio7/V, minor		viio7/V, minor	V	V	viio7	7	5	0	0	1	6	6	F#	F#	C	G	diminished seventh chord	7	True	True	True	True	True	0	0	-1	1	True	False	False
3060	1260	2.125	75	-3	E	-1	3.0	3	True	4	4	1	1	7/32	False	-3	2	2	1	1a	5	17/8	False	False				False	0		c.viio7/V{	c	i		viio7/V		vii	o	7		V	o7	True	True	(6, 3, 0, -3)	()	6	6	minor	minor	i	i, minor	vii/V	V	V/i	V	False	viio7/V	viio7/V, minor		viio7/V, minor	V	V	viio7	7	5	0	0	1	6	6	F#	F#	C	G	diminished seventh chord	7	True	True	True	True	True	-3	-3	-4	3	True	False	False
4320	180	3.0	54	6	F	1	3.875	0	False	4	4	2	1	1/32	True	-3	2	2	1	1a	3	3	False	False				False	0		c.viio7/V{	c	i		viio7/V		vii	o	7		V	o7	True	True	(6, 3, 0, -3)	()	6	6	minor	minor	i	i, minor	vii/V	V	V/i	V	False	viio7/V	viio7/V, minor		viio7/V, minor	V	V	viio7	7	5	0	0	1	6	6	F#	F#	C	G	diminished seventh chord	7	True	True	True	True	True	6	6	5	#4	True	True	True
4320	180	3.0	63	-3	E	-1	3.875	0	False	4	4	2	1	1/32	True	-3	2	2	1	1a	4	3	False	False				False	0		c.viio7/V{	c	i		viio7/V		vii	o	7		V	o7	True	True	(6, 3, 0, -3)	()	6	6	minor	minor	i	i, minor	vii/V	V	V/i	V	False	viio7/V	viio7/V, minor		viio7/V, minor	V	V	viio7	7	5	0	0	1	6	6	F#	F#	C	G	diminished seventh chord	7	True	True	True	True	True	-3	-3	-4	3	True	False	False
4320	180	3.0	69	3	A	0	3.875	0	False	4	4	1	1	1/32	True	-3	2	2	1	1a	4	3	False	False				False	0		c.viio7/V{	c	i		viio7/V		vii	o	7		V	o7	True	True	(6, 3, 0, -3)	()	6	6	minor	minor	i	i, minor	vii/V	V	V/i	V	False	viio7/V	viio7/V, minor		viio7/V, minor	V	V	viio7	7	5	0	0	1	6	6	F#	F#	C	G	diminished seventh chord	7	True	True	True	True	True	3	3	2	#6	True	False	False
4320	180	3.0	72	0	C	0	3.875	0	False	4	4	1	1	1/32	True	-3	2	2	1	1a	5	3	False	False				False	0		c.viio7/V{	c	i		viio7/V		vii	o	7		V	o7	True	True	(6, 3, 0, -3)	()	6	6	minor	minor	i	i, minor	vii/V	V	V/i	V	False	viio7/V	viio7/V, minor		viio7/V, minor	V	V	viio7	7	5	0	0	1	6	6	F#	F#	C	G	diminished seventh chord	7	True	True	True	True	True	0	0	-1	1	True	False	False
4500	1440	3.125	54	6	F	1	4.0	4	True	4	4	2	1	1/4	True	-3	2	2	1	1a	3	25/8	False	False				False	0		c.viio7/V{	c	i		viio7/V		vii	o	7		V	o7	True	True	(6, 3, 0, -3)	()	6	6	minor	minor	i	i, minor	vii/V	V	V/i	V	False	viio7/V	viio7/V, minor		viio7/V, minor	V	V	viio7	7	5	0	0	1	6	6	F#	F#	C	G	diminished seventh chord	7	True	True	True	True	True	6	6	5	#4	True	True	True
4500	1440	3.125	63	-3	E	-1	4.0	4	True	4	4	2	1	1/4	True	-3	2	2	1	1a	4	25/8	False	False				False	0		c.viio7/V{	c	i		viio7/V		vii	o	7		V	o7	True	True	(6, 3, 0, -3)	()	6	6	minor	minor	i	i, minor	vii/V	V	V/i	V	False	viio7/V	viio7/V, minor		viio7/V, minor	V	V	viio7	7	5	0	0	1	6	6	F#	F#	C	G	diminished seventh chord	7	True	True	True	True	True	-3	-3	-4	3	True	False	False
