onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	cadence_subtype	phraseend	a_phraseend	unfolded_harmony_index	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	6	0.0	57	3	A	0	3.75	0	False	3	2	2	1	1/8	True	0	1	1	0	0a	3	0	True	True				{	False	0		a.i{	a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		3	3	3	3	3	A	A	A	A	minor triad	0	True	True	True	True	True	0	0	0	1	True	True	True
0	6	0.0	72	0	C	0	3.75	0	False	3	2	1	1	1/8	True	0	1	1	0	0a	5	0	True	True				{	False	0		a.i{	a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		3	3	3	3	3	A	A	A	A	minor triad	0	True	True	True	True	True	-3	-3	-3	3	True	False	False
6	0	0.25	68	8	G	1	1.0	1	True	3	2	1	2	0	True	0	2	2	1	1a	4	1/2	True	False					False	0		a.i{	a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		3	3	3	3	3	A	A	A	A	minor triad	0	True	True	True	True	True	5	5	5	#7	False	False	False
6	18	0.25	57	3	A	0	1.0	1	True	3	2	2	1	3/8	True	0	2	2	1	1a	3	1/2	True	False					False	0		a.i{	a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		3	3	3	3	3	A	A	A	A	minor triad	0	True	True	True	True	True	0	0	0	1	True	True	True
6	12	0.25	64	4	E	0	1.0	1	True	3	2	1	3	1/4	True	0	2	2	1	1a	4	1/2	True	False					False	0		a.i{	a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		3	3	3	3	3	A	A	A	A	minor triad	0	True	True	True	True	True	1	1	1	5	True	False	False
6	12	0.25	69	3	A	0	1.0	1	True	3	2	1	2	1/4	True	0	2	2	1	1a	4	1/2	True	False					False	0		a.i{	a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		3	3	3	3	3	A	A	A	A	minor triad	0	True	True	True	True	True	0	0	0	1	True	True	True
6	18	0.25	72	0	C	0	1.0	1	True	3	2	1	1	3/8	True	0	2	2	1	1a	5	1/2	True	False					False	0		a.i{	a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		3	3	3	3	3	A	A	A	A	minor triad	0	True	True	True	True	True	-3	-3	-3	3	True	False	False
24	6	1.0	55	1	G	0	1.75	0	False	3	2	2	1	1/8	True	0	2	2	1	1a	3	2	False	False					False	0		a.i{	a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		3	3	3	3	3	A	A	A	A	minor triad	0	True	True	True	True	True	-2	-2	-2	7	False	False	False
24	6	1.0	71	5	B	0	1.75	0	False	3	2	1	1	1/8	True	0	2	2	1	1a	4	2	False	False					False	0		a.i{	a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		3	3	3	3	3	A	A	A	A	minor triad	0	True	True	True	True	True	2	2	2	2	False	False	False
30	12	1.25	53	-1	F	0	2.0	2	True	3	2	2	1	1/4	True	0	2	2	1	1a	3	5/2	False	True					False	1		VI	a	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	VI	6		3	3	3	-1	-1	F	F	A	A	major triad	0	True	True	True	True	True	-4	-4	-4	6	True	True	True
30	6	1.25	69	3	A	0	2.0	2	True	3	2	1	1	1/8	True	0	2	2	1	1a	4	5/2	False	True					False	1		VI	a	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	VI	6		3	3	3	-1	-1	F	F	A	A	major triad	0	True	True	True	True	True	0	0	0	1	True	False	False
36	6	1.5	68	8	G	1	2.25	0	False	3	2	1	1	1/8	True	0	2	2	1	1a	4	3	False	False					False	1		VI	a	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	VI	6		3	3	3	-1	-1	F	F	A	A	major triad	0	True	True	True	True	True	5	5	5	#7	False	False	False
42	12	1.75	52	4	E	0	2.5	0	False	3	2	2	1	1/4	True	0	2	2	1	1a	3	7/2	False	True					False	2		VIM2	a	i		VIM2	VI	M	2			MM7	True	True	(1, -4, 0, -3)	()	-4	1	minor	minor	i	i, minor	VI		i	i	True	VIM2	VIM2, minor		VIM2, minor		VI	VI7	6		3	3	3	-1	4	F	E	A	A	major seventh chord	3	True	True	True	True	True	1	1	1	5	True	False	True
42	6	1.75	69	3	A	0	2.5	0	False	3	2	1	1	1/8	True	0	2	2	1	1a	4	7/2	False	True					False	2		VIM2	a	i		VIM2	VI	M	2			MM7	True	True	(1, -4, 0, -3)	()	-4	1	minor	minor	i	i, minor	VI		i	i	True	VIM2	VIM2, minor		VIM2, minor		VI	VI7	6		3	3	3	-1	4	F	E	A	A	major seventh chord	3	True	True	True	True	True	0	0	0	1	True	False	False
48	6	2.0	71	5	B	0	2.75	0	False	3	2	1	1	1/8	True	0	2	2	1	1a	4	4	False	False					False	2		VIM2	a	i		VIM2	VI	M	2			MM7	True	True	(1, -4, 0, -3)	()	-4	1	minor	minor	i	i, minor	VI		i	i	True	VIM2	VIM2, minor		VIM2, minor		VI	VI7	6		3	3	3	-1	4	F	E	A	A	major seventh chord	3	True	True	True	True	True	2	2	2	2	False	False	False
54	18	2.25	50	2	D	0	3.0	3	True	3	2	2	1	3/8	True	0	2	2	1	1a	3	9/2	False	True					False	3		ii%65	a	i		ii%65	ii	%	65			%7	True	True	(-1, -4, 0, 2)	()	2	-1	minor	minor	i	i, minor	ii		i	i	True	ii%65	ii%65, minor		ii%65, minor		ii	ii%7	2		3	3	3	5	2	B	D	A	A	half-diminished seventh chord	1	True	True	True	True	True	-1	-1	-1	4	True	False	True
54	18	2.25	71	5	B	0	3.0	3	True	3	2	1	1	3/8	True	0	2	2	1	1a	4	9/2	False	True					False	3		ii%65	a	i		ii%65	ii	%	65			%7	True	True	(-1, -4, 0, 2)	()	2	-1	minor	minor	i	i, minor	ii		i	i	True	ii%65	ii%65, minor		ii%65, minor		ii	ii%7	2		3	3	3	5	2	B	D	A	A	half-diminished seventh chord	1	True	True	True	True	True	2	2	2	2	True	True	False
72	3	3.0	48	0	C	0	3.75	0	False	3	2	2	1	1/16	True	0	2	2	1	1a	3	6	False	False					False	3		ii%65	a	i		ii%65	ii	%	65			%7	True	True	(-1, -4, 0, 2)	()	2	-1	minor	minor	i	i, minor	ii		i	i	True	ii%65	ii%65, minor		ii%65, minor		ii	ii%7	2		3	3	3	5	2	B	D	A	A	half-diminished seventh chord	1	True	True	True	True	True	-3	-3	-3	3	False	False	False
72	6	3.0	69	3	A	0	3.75	0	False	3	2	1	1	1/8	True	0	2	2	1	1a	4	6	False	False					False	3		ii%65	a	i		ii%65	ii	%	65			%7	True	True	(-1, -4, 0, 2)	()	2	-1	minor	minor	i	i, minor	ii		i	i	True	ii%65	ii%65, minor		ii%65, minor		ii	ii%7	2		3	3	3	5	2	B	D	A	A	half-diminished seventh chord	1	True	True	True	True	True	0	0	0	1	True	False	False
75	3	3.125	50	2	D	0	3.875	0	False	3	2	2	1	1/16	True	0	2	2	1	1a	3	25/4	False	False					False	3		ii%65	a	i		ii%65	ii	%	65			%7	True	True	(-1, -4, 0, 2)	()	2	-1	minor	minor	i	i, minor	ii		i	i	True	ii%65	ii%65, minor		ii%65, minor		ii	ii%7	2		3	3	3	5	2	B	D	A	A	half-diminished seventh chord	1	True	True	True	True	True	-1	-1	-1	4	True	False	True
78	6	3.25	52	4	E	0	1.0	1	True	3	2	2	1	1/8	True	0	3	3	2	2a	3	13/2	False	True					False	4		V	a	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		3	3	3	4	4	E	E	A	A	major triad	0	True	True	True	True	True	1	1	1	5	True	True	True
78	18	3.25	68	8	G	1	1.0	1	True	3	2	1	1	3/8	True	0	3	3	2	2a	4	13/2	False	True					False	4		V	a	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		3	3	3	4	4	E	E	A	A	major triad	0	True	True	True	True	True	5	5	5	#7	True	False	False
84	6	3.5	53	-1	F	0	1.25	0	False	3	2	2	1	1/8	True	0	3	3	2	2a	3	7	False	False					False	4		V	a	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		3	3	3	4	4	E	E	A	A	major triad	0	True	True	True	True	True	-4	-4	-4	6	False	False	False
90	6	3.75	52	4	E	0	1.5	0	False	3	2	2	1	1/8	True	0	3	3	2	2a	3	15/2	False	False					False	4		V	a	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		3	3	3	4	4	E	E	A	A	major triad	0	True	True	True	True	True	1	1	1	5	True	True	True
96	6	4.0	50	2	D	0	1.75	0	False	3	2	2	1	1/8	True	0	3	3	2	2a	3	8	False	False					False	4		V	a	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		3	3	3	4	4	E	E	A	A	major triad	0	True	True	True	True	True	-1	-1	-1	4	False	False	False
