onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	cadence_subtype	phraseend	a_phraseend	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	4	0.0	70	-2	B	-1	3.0	3	True	4	4	1	1	1/8	True	-1	1	1	0	0a	4	0	True	False					False	0	g.i6{	g	i		i6	i	o	6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		1	1	1	1	-2	G	Bb	G	G	minor triad	1	False	True	True	True	True	-3	-3	-3	3	True	False	True
4	4	0.5	72	0	C	0	3.5	0	False	4	4	1	1	1/8	True	-1	1	1	0	0a	5	1/2	False	False					False	0	g.i6{	g	i		i6	i	o	6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		1	1	1	1	-2	G	Bb	G	G	minor triad	1	False	True	True	True	True	-1	-1	-1	4	False	False	False
8	4	1.0	74	2	D	0	4.0	4	True	4	4	1	1	1/8	True	-1	1	1	0	0a	5	1	False	False					False	0	g.i6{	g	i		i6	i	o	6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		1	1	1	1	-2	G	Bb	G	G	minor triad	1	False	True	True	True	True	1	1	1	5	True	False	False
12	4	1.5	75	-3	E	-1	4.5	0	False	4	4	1	1	1/8	True	-1	1	1	0	0a	5	3/2	False	False					False	0	g.i6{	g	i		i6	i	o	6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		1	1	1	1	-2	G	Bb	G	G	minor triad	1	False	True	True	True	True	-4	-4	-4	6	False	False	False
16	8	2.0	69	3	A	0	1.0	1	True	4	4	1	1	1/4	True	-1	2	2	1	1a	4	2	False	False					False	0	g.i6{	g	i		i6	i	o	6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		1	1	1	1	-2	G	Bb	G	G	minor triad	1	False	True	True	True	True	2	2	2	2	False	False	False
24	8	3.0	74	2	D	0	2.0	2	True	4	4	1	1	1/4	True	-1	2	2	1	1a	5	3	False	False					False	0	g.i6{	g	i		i6	i	o	6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		1	1	1	1	-2	G	Bb	G	G	minor triad	1	False	True	True	True	True	1	1	1	5	True	False	False
32	8	4.0	67	1	G	0	3.0	3	True	4	4	1	1	1/4	True	-1	2	2	1	1a	4	4	False	False					False	0	g.i6{	g	i		i6	i	o	6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		1	1	1	1	-2	G	Bb	G	G	minor triad	1	False	True	True	True	True	0	0	0	1	True	True	False
40	8	5.0	74	2	D	0	4.0	4	True	4	4	1	1	1/4	True	-1	2	2	1	1a	5	5	False	False					False	0	g.i6{	g	i		i6	i	o	6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		1	1	1	1	-2	G	Bb	G	G	minor triad	1	False	True	True	True	True	1	1	1	5	True	False	False
48	8	6.0	66	6	F	1	1.0	1	True	4	4	1	1	1/4	True	-1	3	3	2	2a	4	6	False	False					False	0	g.i6{	g	i		i6	i	o	6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		1	1	1	1	-2	G	Bb	G	G	minor triad	1	False	True	True	True	True	5	5	5	#7	False	False	False
56	8	7.0	74	2	D	0	2.0	2	True	4	4	1	1	1/4	True	-1	3	3	2	2a	5	7	False	False					False	0	g.i6{	g	i		i6	i	o	6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		1	1	1	1	-2	G	Bb	G	G	minor triad	1	False	True	True	True	True	1	1	1	5	True	False	False
