onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	cadence_subtype	phraseend	a_phraseend	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	2	0.0	81	3	A	0	1.5	0	False	4	4	1	1	1/8	True	2	1	1	0	0a	5	0	True	True				{	False	0	D.I{	D	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	True	True	True	True	1	1	1	5	True	False	False
2	2	0.5	83	5	B	0	2.0	2	True	4	4	1	1	1/8	True	2	1	1	0	0a	5	1/2	False	False					False	0	D.I{	D	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	True	True	True	True	3	3	3	6	False	False	False
4	2	1.0	74	2	D	0	2.5	0	False	4	4	2	1	1/8	True	2	1	1	0	0a	5	1	False	False					False	0	D.I{	D	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
4	2	1.0	81	3	A	0	2.5	0	False	4	4	1	1	1/8	True	2	1	1	0	0a	5	1	False	False					False	0	D.I{	D	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	True	True	True	True	1	1	1	5	True	False	False
6	2	1.5	76	4	E	0	3.0	3	True	4	4	2	1	1/8	True	2	1	1	0	0a	5	3/2	False	True					False	1	ii65	D	I		ii65	ii		65			mm7	False	False	(-1, 3, 0, 2)	()	2	-1	major	major	I	I, major	ii		I	I	False	ii65	ii65, major		ii65, major		ii	ii7	2		2	2	2	4	1	E	G	D	D	minor seventh chord	1	True	True	True	True	True	2	2	2	2	True	True	False
6	2	1.5	79	1	G	0	3.0	3	True	4	4	1	1	1/8	True	2	1	1	0	0a	5	3/2	False	True					False	1	ii65	D	I		ii65	ii		65			mm7	False	False	(-1, 3, 0, 2)	()	2	-1	major	major	I	I, major	ii		I	I	False	ii65	ii65, major		ii65, major		ii	ii7	2		2	2	2	4	1	E	G	D	D	minor seventh chord	1	True	True	True	True	True	-1	-1	-1	4	True	False	True
8	2	2.0	74	2	D	0	3.5	0	False	4	4	2	1	1/8	True	2	1	1	0	0a	5	2	False	False					False	1	ii65	D	I		ii65	ii		65			mm7	False	False	(-1, 3, 0, 2)	()	2	-1	major	major	I	I, major	ii		I	I	False	ii65	ii65, major		ii65, major		ii	ii7	2		2	2	2	4	1	E	G	D	D	minor seventh chord	1	True	True	True	True	True	0	0	0	1	True	False	False
8	2	2.0	76	4	E	0	3.5	0	False	4	4	1	1	1/8	True	2	1	1	0	0a	5	2	False	False					False	1	ii65	D	I		ii65	ii		65			mm7	False	False	(-1, 3, 0, 2)	()	2	-1	major	major	I	I, major	ii		I	I	False	ii65	ii65, major		ii65, major		ii	ii7	2		2	2	2	4	1	E	G	D	D	minor seventh chord	1	True	True	True	True	True	2	2	2	2	True	True	False
10	2	2.5	73	7	C	1	4.0	4	True	4	4	2	1	1/8	True	2	1	1	0	0a	5	5/2	False	True					False	2	V6	D	I		V6	V		6			M	False	False	(5, 2, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V6	V6, major		V6, major		V	V	5		2	2	2	3	7	A	C#	D	D	major triad	1	True	True	True	True	True	5	5	5	7	True	False	True
10	2	2.5	81	3	A	0	4.0	4	True	4	4	1	1	1/8	True	2	1	1	0	0a	5	5/2	False	True					False	2	V6	D	I		V6	V		6			M	False	False	(5, 2, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V6	V6, major		V6, major		V	V	5		2	2	2	3	7	A	C#	D	D	major triad	1	True	True	True	True	True	1	1	1	5	True	True	False
12	2	3.0	69	3	A	0	4.5	0	False	4	4	2	1	1/8	True	2	1	1	0	0a	4	3	False	False					False	2	V6	D	I		V6	V		6			M	False	False	(5, 2, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V6	V6, major		V6, major		V	V	5		2	2	2	3	7	A	C#	D	D	major triad	1	True	True	True	True	True	1	1	1	5	True	True	False
12	2	3.0	79	1	G	0	4.5	0	False	4	4	1	1	1/8	True	2	1	1	0	0a	5	3	False	False					False	2	V6	D	I		V6	V		6			M	False	False	(5, 2, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V6	V6, major		V6, major		V	V	5		2	2	2	3	7	A	C#	D	D	major triad	1	True	True	True	True	True	-1	-1	-1	4	False	False	False
14	2	3.5	74	2	D	0	1.0	1	True	4	4	2	1	1/8	True	2	2	2	1	1a	5	7/2	False	True					False	3	I	D	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
14	2	3.5	78	6	F	1	1.0	1	True	4	4	1	1	1/8	True	2	2	2	1	1a	5	7/2	False	True					False	3	I	D	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	True	True	True	True	4	4	4	3	True	False	False
16	2	4.0	57	3	A	0	1.5	0	False	4	4	3	1	1/8	True	2	2	2	1	1a	3	4	False	True					False	4	I64	D	I		I64	I		64			M	False	False	(1, 0, 4)	()	0	1	major	major	I	I, major	I		I	I	False	I64	I64, major		I64, major		I	I	1		2	2	2	2	3	D	A	D	D	major triad	2	True	True	True	True	True	1	1	1	5	True	False	True
16	2	4.0	69	3	A	0	1.5	0	False	4	4	1	1	1/8	True	2	2	2	1	1a	4	4	False	True					False	4	I64	D	I		I64	I		64			M	False	False	(1, 0, 4)	()	0	1	major	major	I	I, major	I		I	I	False	I64	I64, major		I64, major		I	I	1		2	2	2	2	3	D	A	D	D	major triad	2	True	True	True	True	True	1	1	1	5	True	False	True
16	2	4.0	78	6	F	1	1.5	0	False	4	4	2	1	1/8	True	2	2	2	1	1a	5	4	False	True					False	4	I64	D	I		I64	I		64			M	False	False	(1, 0, 4)	()	0	1	major	major	I	I, major	I		I	I	False	I64	I64, major		I64, major		I	I	1		2	2	2	2	3	D	A	D	D	major triad	2	True	True	True	True	True	4	4	4	3	True	False	False
18	2	4.5	59	5	B	0	2.0	2	True	4	4	3	1	1/8	True	2	2	2	1	1a	3	9/2	False	True					False	5	ii43	D	I		ii43	ii		43			mm7	False	False	(3, 0, 2, -1)	()	2	3	major	major	I	I, major	ii		I	I	False	ii43	ii43, major		ii43, major		ii	ii7	2		2	2	2	4	5	E	B	D	D	minor seventh chord	2	True	True	True	True	True	3	3	3	6	True	False	True
18	8	4.5	74	2	D	0	2.0	2	True	4	4	1	1	1/2	True	2	2	2	1	1a	5	9/2	False	True					False	5	ii43	D	I		ii43	ii		43			mm7	False	False	(3, 0, 2, -1)	()	2	3	major	major	I	I, major	ii		I	I	False	ii43	ii43, major		ii43, major		ii	ii7	2		2	2	2	4	5	E	B	D	D	minor seventh chord	2	True	True	True	True	True	0	0	0	1	True	False	False
18	2	4.5	79	1	G	0	2.0	2	True	4	4	2	1	1/8	True	2	2	2	1	1a	5	9/2	False	True					False	5	ii43	D	I		ii43	ii		43			mm7	False	False	(3, 0, 2, -1)	()	2	3	major	major	I	I, major	ii		I	I	False	ii43	ii43, major		ii43, major		ii	ii7	2		2	2	2	4	5	E	B	D	D	minor seventh chord	2	True	True	True	True	True	-1	-1	-1	4	True	False	False
20	2	5.0	57	3	A	0	2.5	0	False	4	4	3	1	1/8	True	2	2	2	1	1a	3	5	False	True					False	6	I64	D	I		I64	I		64			M	False	False	(1, 0, 4)	()	0	1	major	major	I	I, major	I		I	I	False	I64	I64, major		I64, major		I	I	1		2	2	2	2	3	D	A	D	D	major triad	2	True	True	True	True	True	1	1	1	5	True	False	True
20	2	5.0	78	6	F	1	2.5	0	False	4	4	2	1	1/8	True	2	2	2	1	1a	5	5	False	True					False	6	I64	D	I		I64	I		64			M	False	False	(1, 0, 4)	()	0	1	major	major	I	I, major	I		I	I	False	I64	I64, major		I64, major		I	I	1		2	2	2	2	3	D	A	D	D	major triad	2	True	True	True	True	True	4	4	4	3	True	False	False
22	2	5.5	55	1	G	0	3.0	3	True	4	4	3	1	1/8	True	2	2	2	1	1a	3	11/2	False	True					False	7	ii65	D	I		ii65	ii		65			mm7	False	False	(-1, 3, 0, 2)	()	2	-1	major	major	I	I, major	ii		I	I	False	ii65	ii65, major		ii65, major		ii	ii7	2		2	2	2	4	1	E	G	D	D	minor seventh chord	1	True	True	True	True	True	-1	-1	-1	4	True	False	True
22	4	5.5	76	4	E	0	3.0	3	True	4	4	2	1	1/4	True	2	2	2	1	1a	5	11/2	False	True					False	7	ii65	D	I		ii65	ii		65			mm7	False	False	(-1, 3, 0, 2)	()	2	-1	major	major	I	I, major	ii		I	I	False	ii65	ii65, major		ii65, major		ii	ii7	2		2	2	2	4	1	E	G	D	D	minor seventh chord	1	True	True	True	True	True	2	2	2	2	True	True	False
24	2	6.0	52	4	E	0	3.5	0	False	4	4	3	1	1/8	True	2	2	2	1	1a	3	6	False	False					False	7	ii65	D	I		ii65	ii		65			mm7	False	False	(-1, 3, 0, 2)	()	2	-1	major	major	I	I, major	ii		I	I	False	ii65	ii65, major		ii65, major		ii	ii7	2		2	2	2	4	1	E	G	D	D	minor seventh chord	1	True	True	True	True	True	2	2	2	2	True	True	False
26	2	6.5	57	3	A	0	4.0	4	True	4	4	3	1	1/8	True	2	2	2	1	1a	3	13/2	False	True					False	8	V	D	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	V	5		2	2	2	3	3	A	A	D	D	major triad	0	True	True	True	True	True	1	1	1	5	True	True	True
26	4	6.5	73	7	C	1	4.0	4	True	4	4	1	1	1/4	True	2	2	2	1	1a	5	13/2	False	True					False	8	V	D	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	V	5		2	2	2	3	3	A	A	D	D	major triad	0	True	True	True	True	True	5	5	5	7	True	False	False
26	4	6.5	76	4	E	0	4.0	4	True	4	4	2	1	1/4	False	2	2	2	1	1a	5	13/2	False	True					False	8	V	D	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	V	5		2	2	2	3	3	A	A	D	D	major triad	0	True	True	True	True	True	2	2	2	2	True	False	False
