onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	3	0.0	78	6	F	1	1.0	1	True	4	4	1	1	3/16	True	3	1	1	1	1a	5	0	True	True			{	False	0	A.vii%43{		A	I		vii%43	vii	%	43			%7	False	False	(-1, 3, 5, 2)	()	5	-1	major	major	I	I, major	vii		I	I	False	vii%43	vii%43, major		vii%43, major		vii	vii%7	7		3	3	3	8	2	G#	D	A	A	half-diminished seventh chord	2	True	True	True	True	True	3	3	3	6	True	False	False
1	1	0.25	50	2	D	0	1.25	0	False	4	4	2	1	1/16	True	3	1	1	1	1a	3	1/4	False	False				False	0	A.vii%43{		A	I		vii%43	vii	%	43			%7	False	False	(-1, 3, 5, 2)	()	5	-1	major	major	I	I, major	vii		I	I	False	vii%43	vii%43, major		vii%43, major		vii	vii%7	7		3	3	3	8	2	G#	D	A	A	half-diminished seventh chord	2	True	True	True	True	True	-1	-1	-1	4	True	False	True
2	1	0.5	56	8	G	1	1.5	0	False	4	4	2	1	1/16	True	3	1	1	1	1a	3	1/2	False	False				False	0	A.vii%43{		A	I		vii%43	vii	%	43			%7	False	False	(-1, 3, 5, 2)	()	5	-1	major	major	I	I, major	vii		I	I	False	vii%43	vii%43, major		vii%43, major		vii	vii%7	7		3	3	3	8	2	G#	D	A	A	half-diminished seventh chord	2	True	True	True	True	True	5	5	5	7	True	True	False
3	1	0.75	59	5	B	0	1.75	0	False	4	4	2	1	1/16	True	3	1	1	1	1a	3	3/4	False	False				False	0	A.vii%43{		A	I		vii%43	vii	%	43			%7	False	False	(-1, 3, 5, 2)	()	5	-1	major	major	I	I, major	vii		I	I	False	vii%43	vii%43, major		vii%43, major		vii	vii%7	7		3	3	3	8	2	G#	D	A	A	half-diminished seventh chord	2	True	True	True	True	True	2	2	2	2	True	False	False
3	1	0.75	68	8	G	1	1.75	0	False	4	4	1	1	1/16	True	3	1	1	1	1a	4	3/4	False	False				False	0	A.vii%43{		A	I		vii%43	vii	%	43			%7	False	False	(-1, 3, 5, 2)	()	5	-1	major	major	I	I, major	vii		I	I	False	vii%43	vii%43, major		vii%43, major		vii	vii%7	7		3	3	3	8	2	G#	D	A	A	half-diminished seventh chord	2	True	True	True	True	True	5	5	5	7	True	True	False
4	2	1.0	66	6	F	1	2.0	2	True	4	4	2	1	1/8	True	3	1	1	1	1a	4	1	False	False				False	0	A.vii%43{		A	I		vii%43	vii	%	43			%7	False	False	(-1, 3, 5, 2)	()	5	-1	major	major	I	I, major	vii		I	I	False	vii%43	vii%43, major		vii%43, major		vii	vii%7	7		3	3	3	8	2	G#	D	A	A	half-diminished seventh chord	2	True	True	True	True	True	3	3	3	6	True	False	False
4	1	1.0	69	3	A	0	2.0	2	True	4	4	1	1	1/16	True	3	1	1	1	1a	4	1	False	False				False	0	A.vii%43{		A	I		vii%43	vii	%	43			%7	False	False	(-1, 3, 5, 2)	()	5	-1	major	major	I	I, major	vii		I	I	False	vii%43	vii%43, major		vii%43, major		vii	vii%7	7		3	3	3	8	2	G#	D	A	A	half-diminished seventh chord	2	True	True	True	True	True	0	0	0	1	False	False	False
5	1	1.25	70	10	A	1	2.25	0	False	4	4	1	1	1/16	True	3	1	1	1	1a	4	5/4	False	False				False	0	A.vii%43{		A	I		vii%43	vii	%	43			%7	False	False	(-1, 3, 5, 2)	()	5	-1	major	major	I	I, major	vii		I	I	False	vii%43	vii%43, major		vii%43, major		vii	vii%7	7		3	3	3	8	2	G#	D	A	A	half-diminished seventh chord	2	True	True	True	True	True	7	7	7	#1	False	False	False
6	1	1.5	71	5	B	0	2.5	0	False	4	4	1	1	1/16	True	3	1	1	1	1a	4	3/2	False	False				False	0	A.vii%43{		A	I		vii%43	vii	%	43			%7	False	False	(-1, 3, 5, 2)	()	5	-1	major	major	I	I, major	vii		I	I	False	vii%43	vii%43, major		vii%43, major		vii	vii%7	7		3	3	3	8	2	G#	D	A	A	half-diminished seventh chord	2	True	True	True	True	True	2	2	2	2	True	False	False
7	1	1.75	72	12	B	1	2.75	0	False	4	4	1	1	1/16	True	3	1	1	1	1a	4	7/4	False	False				False	0	A.vii%43{		A	I		vii%43	vii	%	43			%7	False	False	(-1, 3, 5, 2)	()	5	-1	major	major	I	I, major	vii		I	I	False	vii%43	vii%43, major		vii%43, major		vii	vii%7	7		3	3	3	8	2	G#	D	A	A	half-diminished seventh chord	2	True	True	True	True	True	9	9	9	#2	False	False	False
8	1	2.0	73	7	C	1	3.0	3	True	4	4	1	1	1/16	True	3	1	1	1	1a	5	2	False	False				False	0	A.vii%43{		A	I		vii%43	vii	%	43			%7	False	False	(-1, 3, 5, 2)	()	5	-1	major	major	I	I, major	vii		I	I	False	vii%43	vii%43, major		vii%43, major		vii	vii%7	7		3	3	3	8	2	G#	D	A	A	half-diminished seventh chord	2	True	True	True	True	True	4	4	4	3	False	False	False
9	1	2.25	74	2	D	0	3.25	0	False	4	4	1	1	1/16	True	3	1	1	1	1a	5	9/4	False	False				False	0	A.vii%43{		A	I		vii%43	vii	%	43			%7	False	False	(-1, 3, 5, 2)	()	5	-1	major	major	I	I, major	vii		I	I	False	vii%43	vii%43, major		vii%43, major		vii	vii%7	7		3	3	3	8	2	G#	D	A	A	half-diminished seventh chord	2	True	True	True	True	True	-1	-1	-1	4	True	False	True
10	1	2.5	75	9	D	1	3.5	0	False	4	4	1	1	1/16	True	3	1	1	1	1a	5	5/2	False	False				False	0	A.vii%43{		A	I		vii%43	vii	%	43			%7	False	False	(-1, 3, 5, 2)	()	5	-1	major	major	I	I, major	vii		I	I	False	vii%43	vii%43, major		vii%43, major		vii	vii%7	7		3	3	3	8	2	G#	D	A	A	half-diminished seventh chord	2	True	True	True	True	True	6	6	6	#4	False	False	False
