onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	16	0.0	62	2	D	0	1.0	1	True	3	4	2	1	1/2	True	-1	1	1	1	1a	4	0	True	True			{	False	0	d.iv43{	d	i		iv43		iv		43			mm7	True	True	(0, -3, -1, -4)	()	-1	0	minor	minor	i	i, minor	iv		i	i	True	iv43	iv43, minor		iv43, minor		iv	iv7	4		2	2	2	1	2	G	D	D	D	minor seventh chord	2	True	False	True	True	True	0	0	0	1	True	False	True
0	16	0.0	74	2	D	0	1.0	1	True	3	4	1	1	1/2	True	-1	1	1	1	1a	5	0	True	True			{	False	0	d.iv43{	d	i		iv43		iv		43			mm7	True	True	(0, -3, -1, -4)	()	-1	0	minor	minor	i	i, minor	iv		i	i	True	iv43	iv43, minor		iv43, minor		iv	iv7	4		2	2	2	1	2	G	D	D	D	minor seventh chord	2	True	False	True	True	True	0	0	0	1	True	False	True
8	16	1.0	38	2	D	0	2.0	2	True	3	4	2	2	1/2	True	-1	1	1	1	1a	2	1	False	False				False	0	d.iv43{	d	i		iv43		iv		43			mm7	True	True	(0, -3, -1, -4)	()	-1	0	minor	minor	i	i, minor	iv		i	i	True	iv43	iv43, minor		iv43, minor		iv	iv7	4		2	2	2	1	2	G	D	D	D	minor seventh chord	2	True	False	True	True	True	0	0	0	1	True	False	True
8	16	1.0	43	1	G	0	2.0	2	True	3	4	2	2	1/2	True	-1	1	1	1	1a	2	1	False	False				False	0	d.iv43{	d	i		iv43		iv		43			mm7	True	True	(0, -3, -1, -4)	()	-1	0	minor	minor	i	i, minor	iv		i	i	True	iv43	iv43, minor		iv43, minor		iv	iv7	4		2	2	2	1	2	G	D	D	D	minor seventh chord	2	True	False	True	True	True	-1	-1	-1	4	True	True	False
8	16	1.0	50	2	D	0	2.0	2	True	3	4	2	2	1/2	True	-1	1	1	1	1a	3	1	False	False				False	0	d.iv43{	d	i		iv43		iv		43			mm7	True	True	(0, -3, -1, -4)	()	-1	0	minor	minor	i	i, minor	iv		i	i	True	iv43	iv43, minor		iv43, minor		iv	iv7	4		2	2	2	1	2	G	D	D	D	minor seventh chord	2	True	False	True	True	True	0	0	0	1	True	False	True
8	16	1.0	53	-1	F	0	2.0	2	True	3	4	1	2	1/2	True	-1	1	1	1	1a	3	1	False	False				False	0	d.iv43{	d	i		iv43		iv		43			mm7	True	True	(0, -3, -1, -4)	()	-1	0	minor	minor	i	i, minor	iv		i	i	True	iv43	iv43, minor		iv43, minor		iv	iv7	4		2	2	2	1	2	G	D	D	D	minor seventh chord	2	True	False	True	True	True	-3	-3	-3	3	True	False	False
8	16	1.0	55	1	G	0	2.0	2	True	3	4	1	2	1/2	True	-1	1	1	1	1a	3	1	False	False				False	0	d.iv43{	d	i		iv43		iv		43			mm7	True	True	(0, -3, -1, -4)	()	-1	0	minor	minor	i	i, minor	iv		i	i	True	iv43	iv43, minor		iv43, minor		iv	iv7	4		2	2	2	1	2	G	D	D	D	minor seventh chord	2	True	False	True	True	True	-1	-1	-1	4	True	True	False
8	16	1.0	58	-2	B	-1	2.0	2	True	3	4	1	2	1/2	True	-1	1	1	1	1a	3	1	False	False				False	0	d.iv43{	d	i		iv43		iv		43			mm7	True	True	(0, -3, -1, -4)	()	-1	0	minor	minor	i	i, minor	iv		i	i	True	iv43	iv43, minor		iv43, minor		iv	iv7	4		2	2	2	1	2	G	D	D	D	minor seventh chord	2	True	False	True	True	True	-4	-4	-4	6	True	False	False
8	16	1.0	65	-1	F	0	2.0	2	True	3	4	1	2	1/2	True	-1	1	1	1	1a	4	1	False	False				False	0	d.iv43{	d	i		iv43		iv		43			mm7	True	True	(0, -3, -1, -4)	()	-1	0	minor	minor	i	i, minor	iv		i	i	True	iv43	iv43, minor		iv43, minor		iv	iv7	4		2	2	2	1	2	G	D	D	D	minor seventh chord	2	True	False	True	True	True	-3	-3	-3	3	True	False	False
16	1	2.0	61	7	C	1	3.0	3	True	3	4	2	1	1/32	True	-1	1	1	1	1a	4	2	False	True				False	1	iv43(+6)	d	i		iv43(+6)		iv		43	+6		mm7	True	True	(0, -3, -1, -4)	(2,)	-1	0	minor	minor	i	i, minor	iv		i	i	True	iv43	iv43, minor		iv43(+6), minor		iv	iv7	4		2	2	2	1	2	G	D	D	D	minor seventh chord	2	True	False	True	True	True	5	5	5	#7	False	False	False
