onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	1680	0.0	57	3	A	0	2.667	0	False	6	8	1	1	1/8	True	0	1	1	0	0a	3	0	True	True				False	0	a.i		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		3	3	3	3	3	A	A	A	A	minor triad	0	True	False	True	True	True	0	0	0	1	True	True	True
1680	5040	0.333	65	-1	F	0	1.0	1	True	6	8	1	1	3/8	True	0	2	2	1	1a	4	1/2	False	True				False	1	iv6	VI	a	i		iv6	iv		6			m	True	True	(-4, 0, -1)	()	-1	-4	minor	minor	i	i, minor	iv		i	i	True	iv6	iv6, minor		iv6, minor		iv	iv	4		3	3	3	2	-1	D	F	A	A	minor triad	1	True	False	True	True	True	-4	-4	-4	6	True	False	True
6720	3360	1.333	65	-1	F	0	2.0	2	True	6	8	1	1	1/4	False	0	2	2	1	1a	4	2	False	False				False	1	iv6	VI	a	i		iv6	iv		6			m	True	True	(-4, 0, -1)	()	-1	-4	minor	minor	i	i, minor	iv		i	i	True	iv6	iv6, minor		iv6, minor		iv	iv	4		3	3	3	2	-1	D	F	A	A	minor triad	1	True	False	True	True	True	-4	-4	-4	6	True	False	True
10080	1680	2.0	64	4	E	0	2.667	0	False	6	8	1	1	1/8	True	0	2	2	1	1a	4	3	False	True				False	2	V	III6	a	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		3	3	3	4	4	E	E	A	A	major triad	0	True	False	True	True	True	1	1	1	5	True	True	True
11760	10080	2.333	53	-1	F	0	1.0	1	True	6	8	2	1	3/4	True	0	3	3	2	2a	3	7/2	False	True				False	3	V64(#6b5)/V		a	i		V64(#6b5)/V	V		64	#6b5	V	M	True	True	(-4, 2, 6)	(12,)	2	-4	minor	minor	i	i, minor	V/V	V	V/i	V	False	V64/V	V64/V, minor		V64(#6b5)/V, minor	V	V	V	5	5	3	3	4	5	-1	B	F	A	E	major triad	2	True	False	True	True	True	-4	-4	-5	6	True	False	True
11760	10080	2.333	59	5	B	0	1.0	1	True	6	8	2	1	3/4	True	0	3	3	2	2a	3	7/2	False	True				False	3	V64(#6b5)/V		a	i		V64(#6b5)/V	V		64	#6b5	V	M	True	True	(-4, 2, 6)	(12,)	2	-4	minor	minor	i	i, minor	V/V	V	V/i	V	False	V64/V	V64/V, minor		V64(#6b5)/V, minor	V	V	V	5	5	3	3	4	5	-1	B	F	A	E	major triad	2	True	False	True	True	True	2	2	1	2	True	True	False
11760	10080	2.333	63	9	D	1	1.0	1	True	6	8	1	2	3/4	True	0	3	3	2	2a	4	7/2	False	True				False	3	V64(#6b5)/V		a	i		V64(#6b5)/V	V		64	#6b5	V	M	True	True	(-4, 2, 6)	(12,)	2	-4	minor	minor	i	i, minor	V/V	V	V/i	V	False	V64/V	V64/V, minor		V64(#6b5)/V, minor	V	V	V	5	5	3	3	4	5	-1	B	F	A	E	major triad	2	True	False	True	True	True	6	6	5	#4	True	False	False
11760	5040	2.333	68	8	G	1	1.0	1	True	6	8	1	1	3/8	True	0	3	3	2	2a	4	7/2	False	True				False	3	V64(#6b5)/V		a	i		V64(#6b5)/V	V		64	#6b5	V	M	True	True	(-4, 2, 6)	(12,)	2	-4	minor	minor	i	i, minor	V/V	V	V/i	V	False	V64/V	V64/V, minor		V64(#6b5)/V, minor	V	V	V	5	5	3	3	4	5	-1	B	F	A	E	major triad	2	True	False	True	True	True	5	5	4	#7	False	False	False
16800	3360	3.333	68	8	G	1	2.0	2	True	6	8	1	1	1/4	False	0	3	3	2	2a	4	5	False	False				False	3	V64(#6b5)/V		a	i		V64(#6b5)/V	V		64	#6b5	V	M	True	True	(-4, 2, 6)	(12,)	2	-4	minor	minor	i	i, minor	V/V	V	V/i	V	False	V64/V	V64/V, minor		V64(#6b5)/V, minor	V	V	V	5	5	3	3	4	5	-1	B	F	A	E	major triad	2	True	False	True	True	True	5	5	4	#7	False	False	False
20160	1680	4.0	69	3	A	0	2.667	0	False	6	8	1	1	1/8	True	0	3	3	2	2a	4	6	False	True				False	4	V43(b5)/V		a	i		V43(b5)/V	V		43	b5	V	Mm7	True	True	(-4, 0, 2, 6)	()	2	-4	minor	minor	i	i, minor	V/V	V	V/i	V	False	V43/V	V43/V, minor		V43(b5)/V, minor	V	V	V7	5	5	3	3	4	5	-1	B	F	A	E	dominant seventh chord	2	True	False	True	True	True	0	0	-1	1	True	False	False
