onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	12	0.0	71	5	B	0	3.0	3	True	3	4	1	1	1/4	True	1	1	1	0	0a	4	0	True	True			{	False	0	e.V{	e	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		4	4	4	5	5	B	B	E	E	major triad	0	True	True	True	True	True	1	1	1	5	True	True	True
12	12	1.0	40	4	E	0	1.0	1	True	3	4	2	1	1/4	True	1	2	2	1	1a	2	1	False	True				False	1	i(4)	e	i		i(4)	i			4		m	True	True	(0, -1, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i(4), minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	0	0	0	1	True	True	True
12	9	1.0	69	3	A	0	1.0	1	True	3	4	1	1	3/16	True	1	2	2	1	1a	4	1	False	True				False	1	i(4)	e	i		i(4)	i			4		m	True	True	(0, -1, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i(4), minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	-1	-1	-1	4	True	False	False
21	3	1.75	67	1	G	0	1.75	0	False	3	4	1	1	1/16	True	1	2	2	1	1a	4	7/4	False	True				False	2	i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	-3	-3	-3	3	True	False	False
24	12	2.0	55	1	G	0	2.0	2	True	3	4	2	1	1/4	True	1	2	2	1	1a	3	2	False	True				False	3	i(9)	e	i		i(9)	i			9		m	True	True	(0, -3, 1)	(2,)	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i(9), minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	-3	-3	-3	3	True	False	False
24	12	2.0	59	5	B	0	2.0	2	True	3	4	2	1	1/4	True	1	2	2	1	1a	3	2	False	True				False	3	i(9)	e	i		i(9)	i			9		m	True	True	(0, -3, 1)	(2,)	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i(9), minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	1	1	1	5	True	False	False
24	12	2.0	66	6	F	1	2.0	2	True	3	4	1	1	1/4	True	1	2	2	1	1a	4	2	False	True				False	3	i(9)	e	i		i(9)	i			9		m	True	True	(0, -3, 1)	(2,)	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i(9), minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	2	2	2	2	False	False	False
36	12	3.0	55	1	G	0	3.0	3	True	3	4	2	1	1/4	True	1	2	2	1	1a	3	3	False	True				False	4	i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	-3	-3	-3	3	True	False	False
36	12	3.0	59	5	B	0	3.0	3	True	3	4	2	1	1/4	True	1	2	2	1	1a	3	3	False	True				False	4	i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	1	1	1	5	True	False	False
36	12	3.0	64	4	E	0	3.0	3	True	3	4	1	1	1/4	True	1	2	2	1	1a	4	3	False	True				False	4	i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	0	0	0	1	True	True	True
48	12	4.0	45	3	A	0	1.0	1	True	3	4	2	1	1/4	True	1	3	3	2	2a	2	4	False	True				False	5	iv(11)	e	i		iv(11)	iv			11		m	True	True	(-1, -4, 0)	(-2,)	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv(11), minor		iv	iv	4		4	4	4	3	3	A	A	E	E	minor triad	0	True	True	True	True	True	-1	-1	-1	4	True	True	True
48	24	4.0	74	2	D	0	1.0	1	True	3	4	1	1	1/2	True	1	3	3	2	2a	5	4	False	True				False	5	iv(11)	e	i		iv(11)	iv			11		m	True	True	(-1, -4, 0)	(-2,)	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv(11), minor		iv	iv	4		4	4	4	3	3	A	A	E	E	minor triad	0	True	True	True	True	True	-2	-2	-2	7	False	False	False
60	12	5.0	57	3	A	0	2.0	2	True	3	4	2	1	1/4	True	1	3	3	2	2a	3	5	False	False				False	5	iv(11)	e	i		iv(11)	iv			11		m	True	True	(-1, -4, 0)	(-2,)	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv(11), minor		iv	iv	4		4	4	4	3	3	A	A	E	E	minor triad	0	True	True	True	True	True	-1	-1	-1	4	True	True	True
60	12	5.0	60	0	C	0	2.0	2	True	3	4	2	1	1/4	True	1	3	3	2	2a	4	5	False	False				False	5	iv(11)	e	i		iv(11)	iv			11		m	True	True	(-1, -4, 0)	(-2,)	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv(11), minor		iv	iv	4		4	4	4	3	3	A	A	E	E	minor triad	0	True	True	True	True	True	-4	-4	-4	6	True	False	False
60	12	5.0	64	4	E	0	2.0	2	True	3	4	2	1	1/4	True	1	3	3	2	2a	4	5	False	False				False	5	iv(11)	e	i		iv(11)	iv			11		m	True	True	(-1, -4, 0)	(-2,)	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv(11), minor		iv	iv	4		4	4	4	3	3	A	A	E	E	minor triad	0	True	True	True	True	True	0	0	0	1	True	False	False
72	12	6.0	57	3	A	0	3.0	3	True	3	4	2	1	1/4	True	1	3	3	2	2a	3	6	False	True				False	6	iv	e	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	iv	4		4	4	4	3	3	A	A	E	E	minor triad	0	True	True	True	True	True	-1	-1	-1	4	True	True	True
72	12	6.0	60	0	C	0	3.0	3	True	3	4	2	1	1/4	True	1	3	3	2	2a	4	6	False	True				False	6	iv	e	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	iv	4		4	4	4	3	3	A	A	E	E	minor triad	0	True	True	True	True	True	-4	-4	-4	6	True	False	False
72	12	6.0	64	4	E	0	3.0	3	True	3	4	2	1	1/4	True	1	3	3	2	2a	4	6	False	True				False	6	iv	e	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	iv	4		4	4	4	3	3	A	A	E	E	minor triad	0	True	True	True	True	True	0	0	0	1	True	False	False
72	12	6.0	72	0	C	0	3.0	3	True	3	4	1	1	1/4	True	1	3	3	2	2a	5	6	False	True				False	6	iv	e	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	iv	4		4	4	4	3	3	A	A	E	E	minor triad	0	True	True	True	True	True	-4	-4	-4	6	True	False	False
84	36	7.0	50	2	D	0	1.0	1	True	3	4	2	2	3/4	True	1	4	4	3	3a	3	7	False	True				False	7	V7(96)/III	e	i		V7(96)/III	V		7	96	III	Mm7	True	True	(-2, 2, 1, -4)	(0,)	-2	-2	minor	minor	i	i, minor	V/III	III	III/i	III	False	V7/III	V7/III, minor		V7(96)/III, minor	III	III	V7	5	3	4	4	1	2	2	D	D	E	G	dominant seventh chord	7	True	True	True	True	True	-2	-2	1	7	True	True	True
84	12	7.0	60	0	C	0	1.0	1	True	3	4	2	1	1/4	True	1	4	4	3	3a	4	7	False	True				False	7	V7(96)/III	e	i		V7(96)/III	V		7	96	III	Mm7	True	True	(-2, 2, 1, -4)	(0,)	-2	-2	minor	minor	i	i, minor	V/III	III	III/i	III	False	V7/III	V7/III, minor		V7(96)/III, minor	III	III	V7	5	3	4	4	1	2	2	D	D	E	G	dominant seventh chord	7	True	True	True	True	True	-4	-4	-1	6	True	False	False
84	12	7.0	64	4	E	0	1.0	1	True	3	4	2	1	1/4	True	1	4	4	3	3a	4	7	False	True				False	7	V7(96)/III	e	i		V7(96)/III	V		7	96	III	Mm7	True	True	(-2, 2, 1, -4)	(0,)	-2	-2	minor	minor	i	i, minor	V/III	III	III/i	III	False	V7/III	V7/III, minor		V7(96)/III, minor	III	III	V7	5	3	4	4	1	2	2	D	D	E	G	dominant seventh chord	7	True	True	True	True	True	0	0	3	1	False	False	False
84	9	7.0	71	5	B	0	1.0	1	True	3	4	1	1	3/16	True	1	4	4	3	3a	4	7	False	True				False	7	V7(96)/III	e	i		V7(96)/III	V		7	96	III	Mm7	True	True	(-2, 2, 1, -4)	(0,)	-2	-2	minor	minor	i	i, minor	V/III	III	III/i	III	False	V7/III	V7/III, minor		V7(96)/III, minor	III	III	V7	5	3	4	4	1	2	2	D	D	E	G	dominant seventh chord	7	True	True	True	True	True	1	1	4	5	True	False	False
93	3	7.75	69	3	A	0	1.75	0	False	3	4	1	1	1/16	True	1	4	4	3	3a	4	31/4	False	True				False	8	V7(9)/III	e	i		V7(9)/III	V		7	9	III	Mm7	True	True	(-2, 2, -1, -4)	(0,)	-2	-2	minor	minor	i	i, minor	V/III	III	III/i	III	False	V7/III	V7/III, minor		V7(9)/III, minor	III	III	V7	5	3	4	4	1	2	2	D	D	E	G	dominant seventh chord	7	True	True	True	True	True	-1	-1	2	4	True	False	False
