onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
2	2	0.333	65	-1	F	0	1.333	0	False	6	8	1	1	1/8	True	-1	1	1	1	1a	4	1/2	False	True			{	False	0	F.I{		F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		-1	-1	-1	-1	-1	F	F	F	F	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
4	2	0.667	65	-1	F	0	1.667	0	False	6	8	1	1	1/8	True	-1	1	1	1	1a	4	1	False	False				False	0	F.I{		F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		-1	-1	-1	-1	-1	F	F	F	F	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
6	2	1.0	67	1	G	0	2.0	2	True	6	8	1	1	1/8	True	-1	1	1	1	1a	4	3/2	False	True				False	1	viio6		F	I		viio6	vii	o	6			o	False	False	(2, -1, 5)	()	5	2	major	major	I	I, major	vii		I	I	False	viio6	viio6, major		viio6, major		vii	viio	7		-1	-1	-1	4	1	E	G	F	F	diminished triad	1	True	True	True	True	True	2	2	2	2	True	False	True
8	2	1.333	67	1	G	0	2.333	0	False	6	8	1	1	1/8	True	-1	1	1	1	1a	4	2	False	False				False	1	viio6		F	I		viio6	vii	o	6			o	False	False	(2, -1, 5)	()	5	2	major	major	I	I, major	vii		I	I	False	viio6	viio6, major		viio6, major		vii	viio	7		-1	-1	-1	4	1	E	G	F	F	diminished triad	1	True	True	True	True	True	2	2	2	2	True	False	True
10	2	1.667	67	1	G	0	2.667	0	False	6	8	1	1	1/8	True	-1	1	1	1	1a	4	5/2	False	False				False	1	viio6		F	I		viio6	vii	o	6			o	False	False	(2, -1, 5)	()	5	2	major	major	I	I, major	vii		I	I	False	viio6	viio6, major		viio6, major		vii	viio	7		-1	-1	-1	4	1	E	G	F	F	diminished triad	1	True	True	True	True	True	2	2	2	2	True	False	True
12	2	2.0	69	3	A	0	1.0	1	True	6	8	1	1	1/8	True	-1	2	2	2	2a	4	3	False	True				False	2	I6		F	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	I	1		-1	-1	-1	-1	3	F	A	F	F	major triad	1	True	True	True	True	True	4	4	4	3	True	False	True
14	2	2.333	69	3	A	0	1.333	0	False	6	8	1	1	1/8	True	-1	2	2	2	2a	4	7/2	False	False				False	2	I6		F	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	I	1		-1	-1	-1	-1	3	F	A	F	F	major triad	1	True	True	True	True	True	4	4	4	3	True	False	True
16	2	2.667	69	3	A	0	1.667	0	False	6	8	1	1	1/8	True	-1	2	2	2	2a	4	4	False	False				False	2	I6		F	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	I	1		-1	-1	-1	-1	3	F	A	F	F	major triad	1	True	True	True	True	True	4	4	4	3	True	False	True
18	2	3.0	70	-2	B	-1	2.0	2	True	6	8	1	1	1/8	True	-1	2	2	2	2a	4	9/2	False	True				False	3	IV		F	I		IV	IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	IV	4		-1	-1	-1	-2	-2	Bb	Bb	F	F	major triad	0	True	True	True	True	True	-1	-1	-1	4	True	True	True
20	1	3.333	72	0	C	0	2.333	0	False	6	8	1	1	1/16	True	-1	2	2	2	2a	5	5	False	True				False	4	V		F	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	V	5		-1	-1	-1	0	0	C	C	F	F	major triad	0	True	True	True	True	True	1	1	1	5	True	True	True
21	1	3.5	70	-2	B	-1	2.5	0	False	6	8	1	1	1/16	True	-1	2	2	2	2a	4	21/4	False	False				False	4	V		F	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	V	5		-1	-1	-1	0	0	C	C	F	F	major triad	0	True	True	True	True	True	-1	-1	-1	4	False	False	False
22	1	3.667	69	3	A	0	2.667	0	False	6	8	1	1	1/16	True	-1	2	2	2	2a	4	11/2	False	False				False	4	V		F	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	V	5		-1	-1	-1	0	0	C	C	F	F	major triad	0	True	True	True	True	True	4	4	4	3	False	False	False
23	1	3.833	67	1	G	0	2.833	0	False	6	8	1	1	1/16	True	-1	2	2	2	2a	4	23/4	False	False				False	4	V		F	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	V	5		-1	-1	-1	0	0	C	C	F	F	major triad	0	True	True	True	True	True	2	2	2	2	True	False	False
24	2	4.0	65	-1	F	0	1.0	1	True	6	8	1	1	1/8	True	-1	3	3	3	3a	4	6	False	True				False	5	I		F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		-1	-1	-1	-1	-1	F	F	F	F	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
26	2	4.333	65	-1	F	0	1.333	0	False	6	8	2	1	1/8	True	-1	3	3	3	3a	4	13/2	False	False				False	5	I		F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		-1	-1	-1	-1	-1	F	F	F	F	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
26	6	4.333	77	-1	F	0	1.333	0	False	6	8	1	1	3/8	True	-1	3	3	3	3a	5	13/2	False	False				False	5	I		F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		-1	-1	-1	-1	-1	F	F	F	F	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
28	2	4.667	65	-1	F	0	1.667	0	False	6	8	2	1	1/8	True	-1	3	3	3	3a	4	7	False	False				False	5	I		F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		-1	-1	-1	-1	-1	F	F	F	F	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
30	2	5.0	67	1	G	0	2.0	2	True	6	8	2	1	1/8	True	-1	3	3	3	3a	4	15/2	False	True				False	6	viio6(2)		F	I		viio6(2)	vii	o	6	2		o	False	False	(2, -1, 0)	()	5	2	major	major	I	I, major	vii		I	I	False	viio6	viio6, major		viio6(2), major		vii	viio	7		-1	-1	-1	4	1	E	G	F	F	diminished triad	1	True	True	True	True	True	2	2	2	2	True	False	True
32	2	5.333	67	1	G	0	2.333	0	False	6	8	2	1	1/8	True	-1	3	3	3	3a	4	8	False	False				False	6	viio6(2)		F	I		viio6(2)	vii	o	6	2		o	False	False	(2, -1, 0)	()	5	2	major	major	I	I, major	vii		I	I	False	viio6	viio6, major		viio6(2), major		vii	viio	7		-1	-1	-1	4	1	E	G	F	F	diminished triad	1	True	True	True	True	True	2	2	2	2	True	False	True
32	1	5.333	79	1	G	0	2.333	0	False	6	8	1	1	1/16	True	-1	3	3	3	3a	5	8	False	False				False	6	viio6(2)		F	I		viio6(2)	vii	o	6	2		o	False	False	(2, -1, 0)	()	5	2	major	major	I	I, major	vii		I	I	False	viio6	viio6, major		viio6(2), major		vii	viio	7		-1	-1	-1	4	1	E	G	F	F	diminished triad	1	True	True	True	True	True	2	2	2	2	True	False	True
33	1	5.5	77	-1	F	0	2.5	0	False	6	8	1	1	1/16	True	-1	3	3	3	3a	5	33/4	False	False				False	6	viio6(2)		F	I		viio6(2)	vii	o	6	2		o	False	False	(2, -1, 0)	()	5	2	major	major	I	I, major	vii		I	I	False	viio6	viio6, major		viio6(2), major		vii	viio	7		-1	-1	-1	4	1	E	G	F	F	diminished triad	1	True	True	True	True	True	0	0	0	1	True	False	False
34	2	5.667	67	1	G	0	2.667	0	False	6	8	2	1	1/8	True	-1	3	3	3	3a	4	17/2	False	True				False	7	viio6		F	I		viio6	vii	o	6			o	False	False	(2, -1, 5)	()	5	2	major	major	I	I, major	vii		I	I	False	viio6	viio6, major		viio6, major		vii	viio	7		-1	-1	-1	4	1	E	G	F	F	diminished triad	1	True	True	True	True	True	2	2	2	2	True	False	True
34	2	5.667	76	4	E	0	2.667	0	False	6	8	1	1	1/8	True	-1	3	3	3	3a	5	17/2	False	True				False	7	viio6		F	I		viio6	vii	o	6			o	False	False	(2, -1, 5)	()	5	2	major	major	I	I, major	vii		I	I	False	viio6	viio6, major		viio6, major		vii	viio	7		-1	-1	-1	4	1	E	G	F	F	diminished triad	1	True	True	True	True	True	5	5	5	7	True	True	False
36	2	6.0	69	3	A	0	1.0	1	True	6	8	2	1	1/8	True	-1	4	4	4	4a	4	9	False	True				False	8	I6		F	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	I	1		-1	-1	-1	-1	3	F	A	F	F	major triad	1	True	True	True	True	True	4	4	4	3	True	False	True
36	2	6.0	77	-1	F	0	1.0	1	True	6	8	1	1	1/8	True	-1	4	4	4	4a	5	9	False	True				False	8	I6		F	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	I	1		-1	-1	-1	-1	3	F	A	F	F	major triad	1	True	True	True	True	True	0	0	0	1	True	True	False
38	2	6.333	69	3	A	0	1.333	0	False	6	8	2	1	1/8	True	-1	4	4	4	4a	4	19/2	False	False				False	8	I6		F	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	I	1		-1	-1	-1	-1	3	F	A	F	F	major triad	1	True	True	True	True	True	4	4	4	3	True	False	True
38	2	6.333	72	0	C	0	1.333	0	False	6	8	1	1	1/8	True	-1	4	4	4	4a	5	19/2	False	False				False	8	I6		F	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	I	1		-1	-1	-1	-1	3	F	A	F	F	major triad	1	True	True	True	True	True	1	1	1	5	True	False	False
40	2	6.667	69	3	A	0	1.667	0	False	6	8	2	1	1/8	True	-1	4	4	4	4a	4	10	False	False				False	8	I6		F	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	I	1		-1	-1	-1	-1	3	F	A	F	F	major triad	1	True	True	True	True	True	4	4	4	3	True	False	True
40	2	6.667	72	0	C	0	1.667	0	False	6	8	1	1	1/8	True	-1	4	4	4	4a	5	10	False	False				False	8	I6		F	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	I	1		-1	-1	-1	-1	3	F	A	F	F	major triad	1	True	True	True	True	True	1	1	1	5	True	False	False
