onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
168	24	3.5	50	2	D	0	4.5	0	False	4	4	2	1	1/8	True	2	1	1	1	1a	3	7/2	False	True			{	False	0	D.I{		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
168	24	3.5	66	6	F	1	4.5	0	False	4	4	1	1	1/8	True	2	1	1	1	1a	4	7/2	False	True			{	False	0	D.I{		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	True	True	True	True	4	4	4	3	True	False	False
168	24	3.5	69	3	A	0	4.5	0	False	4	4	1	1	1/8	True	2	1	1	1	1a	4	7/2	False	True			{	False	0	D.I{		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	True	True	True	True	1	1	1	5	True	False	False
192	48	4.0	43	1	G	0	1.0	1	True	4	4	2	1	1/4	True	2	2	2	2	2a	2	4	False	True				False	1	IV(97)		D	I		IV(97)		IV			97		M	False	False	(-1, 3, 0)	(1, 4)	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV(97), major		IV	IV	4		2	2	2	1	1	G	G	D	D	major triad	0	True	True	True	True	True	-1	-1	-1	4	True	True	True
192	24	4.0	66	6	F	1	1.0	1	True	4	4	1	2	1/8	True	2	2	2	2	2a	4	4	False	True				False	1	IV(97)		D	I		IV(97)		IV			97		M	False	False	(-1, 3, 0)	(1, 4)	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV(97), major		IV	IV	4		2	2	2	1	1	G	G	D	D	major triad	0	True	True	True	True	True	4	4	4	3	False	False	False
192	24	4.0	69	3	A	0	1.0	1	True	4	4	1	1	1/8	True	2	2	2	2	2a	4	4	False	True				False	1	IV(97)		D	I		IV(97)		IV			97		M	False	False	(-1, 3, 0)	(1, 4)	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV(97), major		IV	IV	4		2	2	2	1	1	G	G	D	D	major triad	0	True	True	True	True	True	1	1	1	5	False	False	False
216	24	4.5	67	1	G	0	1.5	0	False	4	4	1	2	1/8	True	2	2	2	2	2a	4	9/2	False	True				False	2	IV		D	I		IV		IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	IV	4		2	2	2	1	1	G	G	D	D	major triad	0	True	True	True	True	True	-1	-1	-1	4	True	True	True
216	24	4.5	71	5	B	0	1.5	0	False	4	4	1	1	1/8	True	2	2	2	2	2a	4	9/2	False	True				False	2	IV		D	I		IV		IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	IV	4		2	2	2	1	1	G	G	D	D	major triad	0	True	True	True	True	True	3	3	3	6	True	False	False
240	48	5.0	45	3	A	0	2.0	2	True	4	4	2	1	1/4	True	2	2	2	2	2a	2	5	False	True				False	3	V7		D	I		V7		V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	I	I, major	V		I	I	False	V7	V7, major		V7, major		V	V7	5		2	2	2	3	3	A	A	D	D	dominant seventh chord	7	True	True	True	True	True	1	1	1	5	True	True	True
264	24	5.5	67	1	G	0	2.5	0	False	4	4	1	2	1/8	True	2	2	2	2	2a	4	11/2	False	False				False	3	V7		D	I		V7		V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	I	I, major	V		I	I	False	V7	V7, major		V7, major		V	V7	5		2	2	2	3	3	A	A	D	D	dominant seventh chord	7	True	True	True	True	True	-1	-1	-1	4	True	False	False
264	24	5.5	73	7	C	1	2.5	0	False	4	4	1	1	1/8	True	2	2	2	2	2a	5	11/2	False	False				False	3	V7		D	I		V7		V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	I	I, major	V		I	I	False	V7	V7, major		V7, major		V	V7	5		2	2	2	3	3	A	A	D	D	dominant seventh chord	7	True	True	True	True	True	5	5	5	7	True	False	False
288	48	6.0	47	5	B	0	3.0	3	True	4	4	2	1	1/4	True	2	2	2	2	2a	2	6	False	True				False	4	vi(^64)		D	I		vi(^64)		vi			^64		m	False	False	(3, 2, 4)	(-1,)	3	3	major	major	I	I, major	vi		I	I	False	vi	vi, major		vi(^64), major		vi	vi	6		2	2	2	5	5	B	B	D	D	minor triad	0	True	True	True	True	True	3	3	3	6	True	True	True
288	24	6.0	67	1	G	0	3.0	3	True	4	4	1	2	1/8	True	2	2	2	2	2a	4	6	False	True				False	4	vi(^64)		D	I		vi(^64)		vi			^64		m	False	False	(3, 2, 4)	(-1,)	3	3	major	major	I	I, major	vi		I	I	False	vi	vi, major		vi(^64), major		vi	vi	6		2	2	2	5	5	B	B	D	D	minor triad	0	True	True	True	True	True	-1	-1	-1	4	False	False	False
288	24	6.0	73	7	C	1	3.0	3	True	4	4	1	1	1/8	True	2	2	2	2	2a	5	6	False	True				False	4	vi(^64)		D	I		vi(^64)		vi			^64		m	False	False	(3, 2, 4)	(-1,)	3	3	major	major	I	I, major	vi		I	I	False	vi	vi, major		vi(^64), major		vi	vi	6		2	2	2	5	5	B	B	D	D	minor triad	0	True	True	True	True	True	5	5	5	7	False	False	False
312	24	6.5	66	6	F	1	3.5	0	False	4	4	1	2	1/8	True	2	2	2	2	2a	4	13/2	False	True				False	5	vi		D	I		vi		vi					m	False	False	(3, 0, 4)	()	3	3	major	major	I	I, major	vi		I	I	False	vi	vi, major		vi, major		vi	vi	6		2	2	2	5	5	B	B	D	D	minor triad	0	True	True	True	True	True	4	4	4	3	True	False	False
312	24	6.5	74	2	D	0	3.5	0	False	4	4	1	1	1/8	True	2	2	2	2	2a	5	13/2	False	True				False	5	vi		D	I		vi		vi					m	False	False	(3, 0, 4)	()	3	3	major	major	I	I, major	vi		I	I	False	vi	vi, major		vi, major		vi	vi	6		2	2	2	5	5	B	B	D	D	minor triad	0	True	True	True	True	True	0	0	0	1	True	False	False
336	48	7.0	42	6	F	1	4.0	4	True	4	4	2	1	1/4	True	2	2	2	2	2a	2	7	False	True				False	6	I6	vi64	D	I		I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	I	1		2	2	2	2	6	D	F#	D	D	major triad	1	True	True	True	True	True	4	4	4	3	True	False	True
336	48	7.0	54	6	F	1	4.0	4	True	4	4	2	1	1/4	True	2	2	2	2	2a	3	7	False	True				False	6	I6	vi64	D	I		I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	I	1		2	2	2	2	6	D	F#	D	D	major triad	1	True	True	True	True	True	4	4	4	3	True	False	True
360	18	7.5	74	2	D	0	4.5	0	False	4	4	1	1	3/32	True	2	2	2	2	2a	5	15/2	False	False				False	6	I6	vi64	D	I		I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	I	1		2	2	2	2	6	D	F#	D	D	major triad	1	True	True	True	True	True	0	0	0	1	True	True	False
378	6	7.875	78	6	F	1	4.875	0	False	4	4	1	1	1/32	True	2	2	2	2	2a	5	63/8	False	False				False	6	I6	vi64	D	I		I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	I	1		2	2	2	2	6	D	F#	D	D	major triad	1	True	True	True	True	True	4	4	4	3	True	False	True
384	48	8.0	43	1	G	0	1.0	1	True	4	4	2	1	1/4	True	2	3	3	3	3a	2	8	False	True				False	7	ii65		D	I		ii65		ii		65			mm7	False	False	(-1, 3, 0, 2)	()	2	-1	major	major	I	I, major	ii		I	I	False	ii65	ii65, major		ii65, major		ii	ii7	2		2	2	2	4	1	E	G	D	D	minor seventh chord	1	True	True	True	True	True	-1	-1	-1	4	True	False	True
384	48	8.0	55	1	G	0	1.0	1	True	4	4	2	1	1/4	True	2	3	3	3	3a	3	8	False	True				False	7	ii65		D	I		ii65		ii		65			mm7	False	False	(-1, 3, 0, 2)	()	2	-1	major	major	I	I, major	ii		I	I	False	ii65	ii65, major		ii65, major		ii	ii7	2		2	2	2	4	1	E	G	D	D	minor seventh chord	1	True	True	True	True	True	-1	-1	-1	4	True	False	True
384	24	8.0	74	2	D	0	1.0	1	True	4	4	1	2	1/8	True	2	3	3	3	3a	5	8	False	True				False	7	ii65		D	I		ii65		ii		65			mm7	False	False	(-1, 3, 0, 2)	()	2	-1	major	major	I	I, major	ii		I	I	False	ii65	ii65, major		ii65, major		ii	ii7	2		2	2	2	4	1	E	G	D	D	minor seventh chord	1	True	True	True	True	True	0	0	0	1	True	False	False
384	12	8.0	78	6	F	1	1.0	1	True	4	4	1	1	1/16	True	2	3	3	3	3a	5	8	False	True				False	7	ii65		D	I		ii65		ii		65			mm7	False	False	(-1, 3, 0, 2)	()	2	-1	major	major	I	I, major	ii		I	I	False	ii65	ii65, major		ii65, major		ii	ii7	2		2	2	2	4	1	E	G	D	D	minor seventh chord	1	True	True	True	True	True	4	4	4	3	False	False	False
396	12	8.25	76	4	E	0	1.25	0	False	4	4	1	1	1/16	True	2	3	3	3	3a	5	33/4	False	False				False	7	ii65		D	I		ii65		ii		65			mm7	False	False	(-1, 3, 0, 2)	()	2	-1	major	major	I	I, major	ii		I	I	False	ii65	ii65, major		ii65, major		ii	ii7	2		2	2	2	4	1	E	G	D	D	minor seventh chord	1	True	True	True	True	True	2	2	2	2	True	True	False
408	24	8.5	74	2	D	0	1.5	0	False	4	4	1	2	1/8	True	2	3	3	3	3a	5	17/2	False	False				False	7	ii65		D	I		ii65		ii		65			mm7	False	False	(-1, 3, 0, 2)	()	2	-1	major	major	I	I, major	ii		I	I	False	ii65	ii65, major		ii65, major		ii	ii7	2		2	2	2	4	1	E	G	D	D	minor seventh chord	1	True	True	True	True	True	0	0	0	1	True	False	False
408	48	8.5	76	4	E	0	1.5	0	False	4	4	1	1	1/4	True	2	3	3	3	3a	5	17/2	False	False				False	7	ii65		D	I		ii65		ii		65			mm7	False	False	(-1, 3, 0, 2)	()	2	-1	major	major	I	I, major	ii		I	I	False	ii65	ii65, major		ii65, major		ii	ii7	2		2	2	2	4	1	E	G	D	D	minor seventh chord	1	True	True	True	True	True	2	2	2	2	True	True	False
432	48	9.0	45	3	A	0	2.0	2	True	4	4	2	1	1/4	True	2	3	3	3	3a	2	9	False	True				False	8	V7		D	I		V7		V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	I	I, major	V		I	I	False	V7	V7, major		V7, major		V	V7	5		2	2	2	3	3	A	A	D	D	dominant seventh chord	7	True	True	True	True	True	1	1	1	5	True	True	True
432	48	9.0	57	3	A	0	2.0	2	True	4	4	2	1	1/4	True	2	3	3	3	3a	3	9	False	True				False	8	V7		D	I		V7		V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	I	I, major	V		I	I	False	V7	V7, major		V7, major		V	V7	5		2	2	2	3	3	A	A	D	D	dominant seventh chord	7	True	True	True	True	True	1	1	1	5	True	True	True
432	48	9.0	73	7	C	1	2.0	2	True	4	4	1	2	1/4	True	2	3	3	3	3a	5	9	False	True				False	8	V7		D	I		V7		V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	I	I, major	V		I	I	False	V7	V7, major		V7, major		V	V7	5		2	2	2	3	3	A	A	D	D	dominant seventh chord	7	True	True	True	True	True	5	5	5	7	True	False	False
456	18	9.5	78	6	F	1	2.5	0	False	4	4	1	1	3/32	True	2	3	3	3	3a	5	19/2	False	False				False	8	V7		D	I		V7		V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	I	I, major	V		I	I	False	V7	V7, major		V7, major		V	V7	5		2	2	2	3	3	A	A	D	D	dominant seventh chord	7	True	True	True	True	True	4	4	4	3	False	False	False
474	6	9.875	79	1	G	0	2.875	0	False	4	4	1	1	1/32	True	2	3	3	3	3a	5	79/8	False	False				False	8	V7		D	I		V7		V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	I	I, major	V		I	I	False	V7	V7, major		V7, major		V	V7	5		2	2	2	3	3	A	A	D	D	dominant seventh chord	7	True	True	True	True	True	-1	-1	-1	4	True	False	False
480	48	10.0	38	2	D	0	3.0	3	True	4	4	2	1	1/4	True	2	3	3	3	3a	2	10	False	True				False	9	I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
480	48	10.0	50	2	D	0	3.0	3	True	4	4	2	1	1/4	True	2	3	3	3	3a	3	10	False	True				False	9	I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
480	8	10.0	78	6	F	1	3.0	3	True	4	4	1	2	1/24	True	2	3	3	3	3a	5	10	False	True				False	9	I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	True	True	True	True	4	4	4	3	True	False	False
488	8	10.167	76	4	E	0	3.167	0	False	4	4	1	2	1/24	True	2	3	3	3	3a	5	61/6	False	False				False	9	I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	True	True	True	True	2	2	2	2	False	False	False
