onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	8	0.0	62	2	D	0	1.0	1	True	4	2	1	2	1	True	0	1	1	1	1a	4	0	True	True			{	False	0	d.i{		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		2	2	2	2	2	D	D	D	D	minor triad	0	True	False	True	True	True	0	0	0	1	True	True	True
8	8	2.0	65	-1	F	0	3.0	3	True	4	2	1	2	1	True	0	1	1	1	1a	4	4	False	False				False	0	d.i{		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		2	2	2	2	2	D	D	D	D	minor triad	0	True	False	True	True	True	-3	-3	-3	3	True	False	False
12	4	3.0	62	2	D	0	4.0	4	True	4	2	2	1	1/2	True	0	1	1	1	1a	4	6	False	False				False	0	d.i{		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		2	2	2	2	2	D	D	D	D	minor triad	0	True	False	True	True	True	0	0	0	1	True	True	True
16	4	4.0	59	5	B	0	1.0	1	True	4	2	2	1	1/2	True	0	2	2	2	2a	3	8	False	True				False	1	IV6		d	i		IV6	IV		6			M	True	True	(3, 0, -1)	()	-1	3	minor	minor	i	i, minor	IV		i	i	True	IV6	IV6, minor		IV6, minor		IV	IV	4		2	2	2	1	5	G	B	D	D	major triad	1	True	False	True	True	True	3	3	3	#6	True	False	True
16	8	4.0	67	1	G	0	1.0	1	True	4	2	1	2	1	True	0	2	2	2	2a	4	8	False	True				False	1	IV6		d	i		IV6	IV		6			M	True	True	(3, 0, -1)	()	-1	3	minor	minor	i	i, minor	IV		i	i	True	IV6	IV6, minor		IV6, minor		IV	IV	4		2	2	2	1	5	G	B	D	D	major triad	1	True	False	True	True	True	-1	-1	-1	4	True	True	False
20	4	5.0	58	-2	B	-1	2.0	2	True	4	2	2	1	1/2	True	0	2	2	2	2a	3	10	False	True				False	2	iv6		d	i		iv6	iv		6			m	True	True	(-4, 0, -1)	()	-1	-4	minor	minor	i	i, minor	iv		i	i	True	iv6	iv6, minor		iv6, minor		iv	iv	4		2	2	2	1	-2	G	Bb	D	D	minor triad	1	True	False	True	True	True	-4	-4	-4	6	True	False	True
24	4	6.0	57	3	A	0	3.0	3	True	4	2	2	1	1/2	True	0	2	2	2	2a	3	12	False	True				False	3	v		d	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	v	5		2	2	2	3	3	A	A	D	D	minor triad	0	True	False	True	True	True	1	1	1	5	True	True	True
24	8	6.0	69	3	A	0	3.0	3	True	4	2	1	2	1	True	0	2	2	2	2a	4	12	False	True				False	3	v		d	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	v	5		2	2	2	3	3	A	A	D	D	minor triad	0	True	False	True	True	True	1	1	1	5	True	True	True
28	4	7.0	65	-1	F	0	4.0	4	True	4	2	2	1	1/2	True	0	2	2	2	2a	4	14	False	True				False	4	III	i6	d	i		III	III					M	True	True	(-3, 1, -2)	()	-3	-3	minor	minor	i	i, minor	III		i	i	True	III	III, minor		III, minor		III	III	3		2	2	2	-1	-1	F	F	D	D	major triad	0	True	False	True	True	True	-3	-3	-3	3	True	True	True
28	4	7.0	69	3	A	0	4.0	4	True	4	2	1	1	1/2	True	0	2	2	2	2a	4	14	False	True				False	4	III	i6	d	i		III	III					M	True	True	(-3, 1, -2)	()	-3	-3	minor	minor	i	i, minor	III		i	i	True	III	III, minor		III, minor		III	III	3		2	2	2	-1	-1	F	F	D	D	major triad	0	True	False	True	True	True	1	1	1	5	True	False	False
32	4	8.0	65	-1	F	0	1.0	1	True	4	2	2	1	1/2	False	0	3	3	3	3a	4	16	False	True				False	5	VII6(4)		d	i		VII6(4)	VII		6	4		M	True	True	(-3, -1, -2)	()	-2	-3	minor	minor	i	i, minor	VII		i	i	True	VII6	VII6, minor		VII6(4), minor		VII	VII	7		2	2	2	0	-1	C	F	D	D	major triad	1	True	False	True	True	True	-3	-3	-3	3	True	False	True
32	8	8.0	67	1	G	0	1.0	1	True	4	2	1	2	1	True	0	3	3	3	3a	4	16	False	True				False	5	VII6(4)		d	i		VII6(4)	VII		6	4		M	True	True	(-3, -1, -2)	()	-2	-3	minor	minor	i	i, minor	VII		i	i	True	VII6	VII6, minor		VII6(4), minor		VII	VII	7		2	2	2	0	-1	C	F	D	D	major triad	1	True	False	True	True	True	-1	-1	-1	4	True	False	False
32	4	8.0	72	0	C	0	1.0	1	True	4	2	1	1	1/2	True	0	3	3	3	3a	5	16	False	True				False	5	VII6(4)		d	i		VII6(4)	VII		6	4		M	True	True	(-3, -1, -2)	()	-2	-3	minor	minor	i	i, minor	VII		i	i	True	VII6	VII6, minor		VII6(4), minor		VII	VII	7		2	2	2	0	-1	C	F	D	D	major triad	1	True	False	True	True	True	-2	-2	-2	7	True	True	False
36	4	9.0	64	4	E	0	2.0	2	True	4	2	2	1	1/2	True	0	3	3	3	3a	4	18	False	True				False	6	#viio6		d	i		#viio6	#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	viio	#7		2	2	2	7	4	C#	E	D	D	diminished triad	1	True	False	True	True	True	2	2	2	2	True	False	True
36	4	9.0	73	7	C	1	2.0	2	True	4	2	1	1	1/2	True	0	3	3	3	3a	5	18	False	True				False	6	#viio6		d	i		#viio6	#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	viio	#7		2	2	2	7	4	C#	E	D	D	diminished triad	1	True	False	True	True	True	5	5	5	#7	True	True	False
40	8	10.0	62	2	D	0	3.0	3	True	4	2	2	1	1	True	0	3	3	3	3a	4	20	False	True				False	7	i		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		2	2	2	2	2	D	D	D	D	minor triad	0	True	False	True	True	True	0	0	0	1	True	True	True
40	8	10.0	65	-1	F	0	3.0	3	True	4	2	1	2	1	True	0	3	3	3	3a	4	20	False	True				False	7	i		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		2	2	2	2	2	D	D	D	D	minor triad	0	True	False	True	True	True	-3	-3	-3	3	True	False	False
40	2	10.0	74	2	D	0	3.0	3	True	4	2	1	1	1/4	True	0	3	3	3	3a	5	20	False	True				False	7	i		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		2	2	2	2	2	D	D	D	D	minor triad	0	True	False	True	True	True	0	0	0	1	True	True	True
42	1	10.5	72	0	C	0	3.5	0	False	4	2	1	1	1/8	True	0	3	3	3	3a	5	21	False	False				False	7	i		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		2	2	2	2	2	D	D	D	D	minor triad	0	True	False	True	True	True	-2	-2	-2	7	False	False	False
43	1	10.75	71	5	B	0	3.75	0	False	4	2	1	1	1/8	True	0	3	3	3	3a	4	43/2	False	False				False	7	i		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		2	2	2	2	2	D	D	D	D	minor triad	0	True	False	True	True	True	3	3	3	#6	False	False	False
44	2	11.0	69	3	A	0	4.0	4	True	4	2	1	1	1/4	True	0	3	3	3	3a	4	22	False	False				False	7	i		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		2	2	2	2	2	D	D	D	D	minor triad	0	True	False	True	True	True	1	1	1	5	True	False	False
