onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	16	0.0	57	3	A	0	1.0	1	True	4	4	1	1	1	True	0	1	1	1	1a	3	0	True	True				False	0	a.i		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		3	3	3	3	3	A	A	A	A	minor triad	0	True	False	True	True	True	0	0	0	1	True	True	True
0	16	0.0	57	3	A	0	1.0	1	True	4	4	2	1	1	True	0	1	1	1	1a	3	0	True	True				False	0	a.i		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		3	3	3	3	3	A	A	A	A	minor triad	0	True	False	True	True	True	0	0	0	1	True	True	True
16	16	4.0	50	2	D	0	1.0	1	True	4	4	1	1	1	True	0	2	2	2	2a	3	4	False	True				False	1	iv		a	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	iv	4		3	3	3	2	2	D	D	A	A	minor triad	0	True	False	True	True	True	-1	-1	-1	4	True	True	True
16	16	4.0	50	2	D	0	1.0	1	True	4	4	2	1	1	True	0	2	2	2	2a	3	4	False	True				False	1	iv		a	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	iv	4		3	3	3	2	2	D	D	A	A	minor triad	0	True	False	True	True	True	-1	-1	-1	4	True	True	True
32	8	8.0	50	2	D	0	1.0	1	True	4	4	1	1	1/2	True	0	3	3	3	3a	3	8	False	False				False	1	iv		a	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	iv	4		3	3	3	2	2	D	D	A	A	minor triad	0	True	False	True	True	True	-1	-1	-1	4	True	True	True
32	8	8.0	50	2	D	0	1.0	1	True	4	4	2	1	1/2	True	0	3	3	3	3a	3	8	False	False				False	1	iv		a	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	iv	4		3	3	3	2	2	D	D	A	A	minor triad	0	True	False	True	True	True	-1	-1	-1	4	True	True	True
40	8	10.0	50	2	D	0	3.0	3	True	4	4	1	1	1/2	True	0	3	3	3	3a	3	10	False	False				False	1	iv		a	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	iv	4		3	3	3	2	2	D	D	A	A	minor triad	0	True	False	True	True	True	-1	-1	-1	4	True	True	True
40	8	10.0	50	2	D	0	3.0	3	True	4	4	2	1	1/2	True	0	3	3	3	3a	3	10	False	False				False	1	iv		a	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	iv	4		3	3	3	2	2	D	D	A	A	minor triad	0	True	False	True	True	True	-1	-1	-1	4	True	True	True
48	4	12.0	53	-1	F	0	1.0	1	True	4	4	1	1	1/4	True	0	4	4	4	4a	3	12	False	True				False	2	VI	iv6	a	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	VI	6		3	3	3	-1	-1	F	F	A	A	major triad	0	True	False	True	True	True	-4	-4	-4	6	True	True	True
48	4	12.0	53	-1	F	0	1.0	1	True	4	4	2	1	1/4	True	0	4	4	4	4a	3	12	False	True				False	2	VI	iv6	a	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	VI	6		3	3	3	-1	-1	F	F	A	A	major triad	0	True	False	True	True	True	-4	-4	-4	6	True	True	True
52	4	13.0	52	4	E	0	2.0	2	True	4	4	1	1	1/4	True	0	4	4	4	4a	3	13	False	True				False	3	V	III6	a	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		3	3	3	4	4	E	E	A	A	major triad	0	True	False	True	True	True	1	1	1	5	True	True	True
52	4	13.0	52	4	E	0	2.0	2	True	4	4	2	1	1/4	True	0	4	4	4	4a	3	13	False	True				False	3	V	III6	a	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		3	3	3	4	4	E	E	A	A	major triad	0	True	False	True	True	True	1	1	1	5	True	True	True
56	4	14.0	50	2	D	0	3.0	3	True	4	4	1	1	1/4	True	0	4	4	4	4a	3	14	False	True				False	4	iv	iio6	a	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	iv	4		3	3	3	2	2	D	D	A	A	minor triad	0	True	False	True	True	True	-1	-1	-1	4	True	True	True
56	4	14.0	50	2	D	0	3.0	3	True	4	4	2	1	1/4	True	0	4	4	4	4a	3	14	False	True				False	4	iv	iio6	a	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	iv	4		3	3	3	2	2	D	D	A	A	minor triad	0	True	False	True	True	True	-1	-1	-1	4	True	True	True
60	4	15.0	48	0	C	0	4.0	4	True	4	4	1	1	1/4	True	0	4	4	4	4a	3	15	False	True				False	5	i6		a	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		3	3	3	3	0	A	C	A	A	minor triad	1	True	False	True	True	True	-3	-3	-3	3	True	False	True
60	4	15.0	48	0	C	0	4.0	4	True	4	4	2	1	1/4	True	0	4	4	4	4a	3	15	False	True				False	5	i6		a	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		3	3	3	3	0	A	C	A	A	minor triad	1	True	False	True	True	True	-3	-3	-3	3	True	False	True
64	8	16.0	47	5	B	0	1.0	1	True	4	4	2	1	1/2	True	0	5	5	5	5a	2	16	False	True				False	6	#viio6(2)		a	i		#viio6(2)	#vii	o	6	2		o	True	True	(2, -1, 0)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6(2), minor		#vii	viio	#7		3	3	3	8	5	G#	B	A	A	diminished triad	1	True	False	True	True	True	2	2	2	2	True	False	True
64	16	16.0	47	5	B	0	1.0	1	True	4	4	1	1	1	True	0	5	5	5	5a	2	16	False	True				False	6	#viio6(2)		a	i		#viio6(2)	#vii	o	6	2		o	True	True	(2, -1, 0)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6(2), minor		#vii	viio	#7		3	3	3	8	5	G#	B	A	A	diminished triad	1	True	False	True	True	True	2	2	2	2	True	False	True
72	8	18.0	47	5	B	0	3.0	3	True	4	4	2	1	1/2	False	0	5	5	5	5a	2	18	False	True				False	7	#viio6		a	i		#viio6	#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	viio	#7		3	3	3	8	5	G#	B	A	A	diminished triad	1	True	False	True	True	True	2	2	2	2	True	False	True
80	16	20.0	45	3	A	0	1.0	1	True	4	4	1	1	1	True	0	6	6	6	6a	2	20	False	True			\\	True	8	i\\		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		3	3	3	3	3	A	A	A	A	minor triad	0	True	False	True	True	True	0	0	0	1	True	True	True
80	16	20.0	45	3	A	0	1.0	1	True	4	4	2	1	1	True	0	6	6	6	6a	2	20	False	True			\\	True	8	i\\		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		3	3	3	3	3	A	A	A	A	minor triad	0	True	False	True	True	True	0	0	0	1	True	True	True
104	8	25.0	41	-1	F	0	2.0	2	True	3	2	1	1	1/2	True	0	7	7	7	7a	2	26	False	True				False	9	VI		a	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	VI	6		3	3	3	-1	-1	F	F	A	A	major triad	0	True	False	True	True	True	-4	-4	-4	6	True	True	True
104	8	25.0	41	-1	F	0	2.0	2	True	3	2	2	1	1/2	True	0	7	7	7	7a	2	26	False	True				False	9	VI		a	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	VI	6		3	3	3	-1	-1	F	F	A	A	major triad	0	True	False	True	True	True	-4	-4	-4	6	True	True	True
112	8	26.0	48	0	C	0	3.0	3	True	3	2	1	1	1/2	True	0	7	7	7	7a	3	28	False	True				False	10	V/VI		a	i		V/VI	V				VI	M	True	True	(-3, 1, -2)	()	-3	-3	minor	minor	i	i, minor	V/VI	VI	VI/i	VI	False	V/VI	V/VI, minor		V/VI, minor	VI	VI	V	5	6	3	3	-1	0	0	C	C	A	F	major triad	0	True	False	True	True	True	-3	-3	1	3	True	True	True
112	8	26.0	48	0	C	0	3.0	3	True	3	2	2	1	1/2	True	0	7	7	7	7a	3	28	False	True				False	10	V/VI		a	i		V/VI	V				VI	M	True	True	(-3, 1, -2)	()	-3	-3	minor	minor	i	i, minor	V/VI	VI	VI/i	VI	False	V/VI	V/VI, minor		V/VI, minor	VI	VI	V	5	6	3	3	-1	0	0	C	C	A	F	major triad	0	True	False	True	True	True	-3	-3	1	3	True	True	True
120	16	27.0	53	-1	F	0	1.0	1	True	3	2	1	1	1	True	0	8	8	8	8a	3	30	False	True				False	11	VI		a	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	VI	6		3	3	3	-1	-1	F	F	A	A	major triad	0	True	False	True	True	True	-4	-4	-4	6	True	True	True
120	16	27.0	53	-1	F	0	1.0	1	True	3	2	2	1	1	True	0	8	8	8	8a	3	30	False	True				False	11	VI		a	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	VI	6		3	3	3	-1	-1	F	F	A	A	major triad	0	True	False	True	True	True	-4	-4	-4	6	True	True	True
136	8	29.0	52	4	E	0	3.0	3	True	3	2	1	1	1/2	True	0	8	8	8	8a	3	34	False	True				False	12	V6/VI		a	i		V6/VI	V		6		VI	M	True	True	(1, -2, -3)	()	-3	1	minor	minor	i	i, minor	V/VI	VI	VI/i	VI	False	V6/VI	V6/VI, minor		V6/VI, minor	VI	VI	V	5	6	3	3	-1	0	4	C	E	A	F	major triad	1	True	False	True	True	True	1	1	5	5	True	False	True
136	8	29.0	52	4	E	0	3.0	3	True	3	2	2	1	1/2	True	0	8	8	8	8a	3	34	False	True				False	12	V6/VI		a	i		V6/VI	V		6		VI	M	True	True	(1, -2, -3)	()	-3	1	minor	minor	i	i, minor	V/VI	VI	VI/i	VI	False	V6/VI	V6/VI, minor		V6/VI, minor	VI	VI	V	5	6	3	3	-1	0	4	C	E	A	F	major triad	1	True	False	True	True	True	1	1	5	5	True	False	True
152	8	31.0	48	0	C	0	2.0	2	True	3	2	1	1	1/2	True	0	9	9	9	9a	3	38	False	True				False	13	III		a	i		III	III					M	True	True	(-3, 1, -2)	()	-3	-3	minor	minor	i	i, minor	III		i	i	True	III	III, minor		III, minor		III	III	3		3	3	3	0	0	C	C	A	A	major triad	0	True	False	True	True	True	-3	-3	-3	3	True	True	True
152	8	31.0	48	0	C	0	2.0	2	True	3	2	2	1	1/2	True	0	9	9	9	9a	3	38	False	True				False	13	III		a	i		III	III					M	True	True	(-3, 1, -2)	()	-3	-3	minor	minor	i	i, minor	III		i	i	True	III	III, minor		III, minor		III	III	3		3	3	3	0	0	C	C	A	A	major triad	0	True	False	True	True	True	-3	-3	-3	3	True	True	True
