onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	16	0.0	58	-2	B	-1	1.0	1	True	4	4	4	1	1	True	0	1	1	1	1a	3	0	True	True				False	0	d.VI	iv6	d	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	VI	6		2	2	2	-2	-2	Bb	Bb	D	D	major triad	0	True	False	True	True	True	-4	-4	-4	6	True	True	True
16	16	4.0	59	5	B	0	1.0	1	True	4	4	4	1	1	True	0	2	2	2	2a	3	4	False	True				False	1	#vi	IV6	d	i		#vi	#vi					m	True	True	(3, 0, 4)	()	3	3	minor	minor	i	i, minor	#vi		i	i	True	#vi	#vi, minor		#vi, minor		#vi	vi	#6		2	2	2	5	5	B	B	D	D	minor triad	0	True	False	True	True	True	3	3	3	#6	True	True	True
32	16	8.0	60	0	C	0	1.0	1	True	4	4	4	1	1	True	0	3	3	3	3a	4	8	False	True				False	2	VII	v6	d	i		VII	VII					M	True	True	(-2, 2, -1)	()	-2	-2	minor	minor	i	i, minor	VII		i	i	True	VII	VII, minor		VII, minor		VII	VII	7		2	2	2	0	0	C	C	D	D	major triad	0	True	False	True	True	True	-2	-2	-2	7	True	True	True
48	16	12.0	61	7	C	1	1.0	1	True	4	4	4	1	1	True	0	4	4	4	4a	4	12	False	True				False	3	#viio	V6	d	i		#viio	#vii	o				o	True	True	(5, 2, -1)	()	5	5	minor	minor	i	i, minor	#vii		i	i	True	#viio	#viio, minor		#viio, minor		#vii	viio	#7		2	2	2	7	7	C#	C#	D	D	diminished triad	0	True	False	True	True	True	5	5	5	#7	True	True	True
64	16	16.0	65	-1	F	0	1.0	1	True	4	4	3	1	1	True	0	5	5	5	5a	4	16	False	True				False	4	i6		d	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		2	2	2	2	-1	D	F	D	D	minor triad	1	True	False	True	True	True	-3	-3	-3	3	True	False	True
68	4	17.0	62	2	D	0	2.0	2	True	4	4	4	1	1/4	True	0	5	5	5	5a	4	17	False	True				False	5	i		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		2	2	2	2	2	D	D	D	D	minor triad	0	True	False	True	True	True	0	0	0	1	True	True	True
72	8	18.0	58	-2	B	-1	3.0	3	True	4	4	4	1	1/2	True	0	5	5	5	5a	3	18	False	True				False	6	VI		d	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	VI	6		2	2	2	-2	-2	Bb	Bb	D	D	major triad	0	True	False	True	True	True	-4	-4	-4	6	True	True	True
80	16	20.0	57	3	A	0	1.0	1	True	4	4	4	1	1	True	0	6	6	6	6a	3	20	False	True				False	7	#viio6/iv		d	i		#viio6/iv	#vii	o	6		iv	o	True	True	(1, -2, 4)	()	4	1	minor	minor	i	i, minor	#vii/iv	iv	iv/i	iv	True	#viio6/iv	#viio6/iv, minor		#viio6/iv, minor	iv	iv	viio	#7	4	2	2	1	6	3	F#	A	D	G	diminished triad	1	True	False	True	True	True	1	1	2	5	True	False	True
80	16	20.0	66	6	F	1	1.0	1	True	4	4	3	1	1	True	0	6	6	6	6a	4	20	False	True				False	7	#viio6/iv		d	i		#viio6/iv	#vii	o	6		iv	o	True	True	(1, -2, 4)	()	4	1	minor	minor	i	i, minor	#vii/iv	iv	iv/i	iv	True	#viio6/iv	#viio6/iv, minor		#viio6/iv, minor	iv	iv	viio	#7	4	2	2	1	6	3	F#	A	D	G	diminished triad	1	True	False	True	True	True	4	4	5	#3	True	True	False
96	16	24.0	67	1	G	0	1.0	1	True	4	4	3	1	1	True	0	7	7	7	7a	4	24	False	True				False	8	iv		d	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	iv	4		2	2	2	1	1	G	G	D	D	minor triad	0	True	False	True	True	True	-1	-1	-1	4	True	True	True
