onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	24	0.0	51	9	D	1	1.0	1	True	4	4	3	2	3/4	True	5	1	1	1	1a	3	0	True	True				False	0	B.iii	B	I		iii	iii					m	False	False	(4, 1, 5)	()	4	4	major	major	I	I, major	iii		I	I	False	iii	iii, major		iii, major		iii	iii	3		5	5	5	9	9	D#	D#	B	B	minor triad	0	True	False	True	True	True	4	4	4	3	True	True	True
2	2	0.25	63	9	D	1	1.25	0	False	4	4	2	2	1/16	True	5	1	1	1	1a	4	1/4	False	False				False	0	B.iii	B	I		iii	iii					m	False	False	(4, 1, 5)	()	4	4	major	major	I	I, major	iii		I	I	False	iii	iii, major		iii, major		iii	iii	3		5	5	5	9	9	D#	D#	B	B	minor triad	0	True	False	True	True	True	4	4	4	3	True	True	True
2	2	0.25	66	6	F	1	1.25	0	False	4	4	2	2	1/16	True	5	1	1	1	1a	4	1/4	False	False				False	0	B.iii	B	I		iii	iii					m	False	False	(4, 1, 5)	()	4	4	major	major	I	I, major	iii		I	I	False	iii	iii, major		iii, major		iii	iii	3		5	5	5	9	9	D#	D#	B	B	minor triad	0	True	False	True	True	True	1	1	1	5	True	False	False
4	4	0.5	58	10	A	1	1.5	0	False	4	4	3	1	1/8	True	5	1	1	1	1a	3	1/2	False	False				False	0	B.iii	B	I		iii	iii					m	False	False	(4, 1, 5)	()	4	4	major	major	I	I, major	iii		I	I	False	iii	iii, major		iii, major		iii	iii	3		5	5	5	9	9	D#	D#	B	B	minor triad	0	True	False	True	True	True	5	5	5	7	True	False	False
6	2	0.75	63	9	D	1	1.75	0	False	4	4	2	2	1/16	True	5	1	1	1	1a	4	3/4	False	False				False	0	B.iii	B	I		iii	iii					m	False	False	(4, 1, 5)	()	4	4	major	major	I	I, major	iii		I	I	False	iii	iii, major		iii, major		iii	iii	3		5	5	5	9	9	D#	D#	B	B	minor triad	0	True	False	True	True	True	4	4	4	3	True	True	True
6	2	0.75	66	6	F	1	1.75	0	False	4	4	2	2	1/16	True	5	1	1	1	1a	4	3/4	False	False				False	0	B.iii	B	I		iii	iii					m	False	False	(4, 1, 5)	()	4	4	major	major	I	I, major	iii		I	I	False	iii	iii, major		iii, major		iii	iii	3		5	5	5	9	9	D#	D#	B	B	minor triad	0	True	False	True	True	True	1	1	1	5	True	False	False
8	4	1.0	58	10	A	1	2.0	2	True	4	4	3	1	1/8	True	5	1	1	1	1a	3	1	False	False				False	0	B.iii	B	I		iii	iii					m	False	False	(4, 1, 5)	()	4	4	major	major	I	I, major	iii		I	I	False	iii	iii, major		iii, major		iii	iii	3		5	5	5	9	9	D#	D#	B	B	minor triad	0	True	False	True	True	True	5	5	5	7	True	False	False
8	8	1.0	70	10	A	1	2.0	2	True	4	4	2	1	1/4	True	5	1	1	1	1a	4	1	False	False				False	0	B.iii	B	I		iii	iii					m	False	False	(4, 1, 5)	()	4	4	major	major	I	I, major	iii		I	I	False	iii	iii, major		iii, major		iii	iii	3		5	5	5	9	9	D#	D#	B	B	minor triad	0	True	False	True	True	True	5	5	5	7	True	False	False
10	2	1.25	63	9	D	1	2.25	0	False	4	4	2	2	1/16	True	5	1	1	1	1a	4	5/4	False	False				False	0	B.iii	B	I		iii	iii					m	False	False	(4, 1, 5)	()	4	4	major	major	I	I, major	iii		I	I	False	iii	iii, major		iii, major		iii	iii	3		5	5	5	9	9	D#	D#	B	B	minor triad	0	True	False	True	True	True	4	4	4	3	True	True	True
10	2	1.25	66	6	F	1	2.25	0	False	4	4	2	2	1/16	True	5	1	1	1	1a	4	5/4	False	False				False	0	B.iii	B	I		iii	iii					m	False	False	(4, 1, 5)	()	4	4	major	major	I	I, major	iii		I	I	False	iii	iii, major		iii, major		iii	iii	3		5	5	5	9	9	D#	D#	B	B	minor triad	0	True	False	True	True	True	1	1	1	5	True	False	False
12	4	1.5	58	10	A	1	2.5	0	False	4	4	3	1	1/8	True	5	1	1	1	1a	3	3/2	False	False				False	0	B.iii	B	I		iii	iii					m	False	False	(4, 1, 5)	()	4	4	major	major	I	I, major	iii		I	I	False	iii	iii, major		iii, major		iii	iii	3		5	5	5	9	9	D#	D#	B	B	minor triad	0	True	False	True	True	True	5	5	5	7	True	False	False
14	2	1.75	63	9	D	1	2.75	0	False	4	4	2	2	1/16	True	5	1	1	1	1a	4	7/4	False	False				False	0	B.iii	B	I		iii	iii					m	False	False	(4, 1, 5)	()	4	4	major	major	I	I, major	iii		I	I	False	iii	iii, major		iii, major		iii	iii	3		5	5	5	9	9	D#	D#	B	B	minor triad	0	True	False	True	True	True	4	4	4	3	True	True	True
14	2	1.75	66	6	F	1	2.75	0	False	4	4	2	2	1/16	True	5	1	1	1	1a	4	7/4	False	False				False	0	B.iii	B	I		iii	iii					m	False	False	(4, 1, 5)	()	4	4	major	major	I	I, major	iii		I	I	False	iii	iii, major		iii, major		iii	iii	3		5	5	5	9	9	D#	D#	B	B	minor triad	0	True	False	True	True	True	1	1	1	5	True	False	False
16	4	2.0	58	10	A	1	3.0	3	True	4	4	3	1	1/8	True	5	1	1	1	1a	3	2	False	False				False	0	B.iii	B	I		iii	iii					m	False	False	(4, 1, 5)	()	4	4	major	major	I	I, major	iii		I	I	False	iii	iii, major		iii, major		iii	iii	3		5	5	5	9	9	D#	D#	B	B	minor triad	0	True	False	True	True	True	5	5	5	7	True	False	False
16	8	2.0	75	9	D	1	3.0	3	True	4	4	2	1	1/4	True	5	1	1	1	1a	5	2	False	False				False	0	B.iii	B	I		iii	iii					m	False	False	(4, 1, 5)	()	4	4	major	major	I	I, major	iii		I	I	False	iii	iii, major		iii, major		iii	iii	3		5	5	5	9	9	D#	D#	B	B	minor triad	0	True	False	True	True	True	4	4	4	3	True	True	True
18	2	2.25	63	9	D	1	3.25	0	False	4	4	2	2	1/16	True	5	1	1	1	1a	4	9/4	False	False				False	0	B.iii	B	I		iii	iii					m	False	False	(4, 1, 5)	()	4	4	major	major	I	I, major	iii		I	I	False	iii	iii, major		iii, major		iii	iii	3		5	5	5	9	9	D#	D#	B	B	minor triad	0	True	False	True	True	True	4	4	4	3	True	True	True
18	2	2.25	66	6	F	1	3.25	0	False	4	4	2	2	1/16	True	5	1	1	1	1a	4	9/4	False	False				False	0	B.iii	B	I		iii	iii					m	False	False	(4, 1, 5)	()	4	4	major	major	I	I, major	iii		I	I	False	iii	iii, major		iii, major		iii	iii	3		5	5	5	9	9	D#	D#	B	B	minor triad	0	True	False	True	True	True	1	1	1	5	True	False	False
20	4	2.5	58	10	A	1	3.5	0	False	4	4	3	1	1/8	True	5	1	1	1	1a	3	5/2	False	False				False	0	B.iii	B	I		iii	iii					m	False	False	(4, 1, 5)	()	4	4	major	major	I	I, major	iii		I	I	False	iii	iii, major		iii, major		iii	iii	3		5	5	5	9	9	D#	D#	B	B	minor triad	0	True	False	True	True	True	5	5	5	7	True	False	False
22	2	2.75	63	9	D	1	3.75	0	False	4	4	2	2	1/16	True	5	1	1	1	1a	4	11/4	False	False				False	0	B.iii	B	I		iii	iii					m	False	False	(4, 1, 5)	()	4	4	major	major	I	I, major	iii		I	I	False	iii	iii, major		iii, major		iii	iii	3		5	5	5	9	9	D#	D#	B	B	minor triad	0	True	False	True	True	True	4	4	4	3	True	True	True
22	2	2.75	66	6	F	1	3.75	0	False	4	4	2	2	1/16	True	5	1	1	1	1a	4	11/4	False	False				False	0	B.iii	B	I		iii	iii					m	False	False	(4, 1, 5)	()	4	4	major	major	I	I, major	iii		I	I	False	iii	iii, major		iii, major		iii	iii	3		5	5	5	9	9	D#	D#	B	B	minor triad	0	True	False	True	True	True	1	1	1	5	True	False	False
24	4	3.0	49	7	C	1	4.0	4	True	4	4	3	1	1/8	True	5	1	1	1	1a	3	3	False	True				False	1	ii2/ii	B	I		ii2/ii	ii		2		ii	mm7	False	False	(2, 4, 1, 5)	()	4	2	major	major	I	I, major	ii/ii	ii	ii/I	ii	True	ii2/ii	ii2/ii, major		ii2/ii, major	ii	ii	ii7	2	2	5	5	7	9	7	D#	C#	B	C#	minor seventh chord	3	True	False	True	True	True	2	2	0	2	True	False	True
24	8	3.0	49	7	C	1	4.0	4	True	4	4	3	2	1/4	True	5	1	1	1	1a	3	3	False	True				False	1	ii2/ii	B	I		ii2/ii	ii		2		ii	mm7	False	False	(2, 4, 1, 5)	()	4	2	major	major	I	I, major	ii/ii	ii	ii/I	ii	True	ii2/ii	ii2/ii, major		ii2/ii, major	ii	ii	ii7	2	2	5	5	7	9	7	D#	C#	B	C#	minor seventh chord	3	True	False	True	True	True	2	2	0	2	True	False	True
24	8	3.0	70	10	A	1	4.0	4	True	4	4	1	1	1/4	True	5	1	1	1	1a	4	3	False	True				False	1	ii2/ii	B	I		ii2/ii	ii		2		ii	mm7	False	False	(2, 4, 1, 5)	()	4	2	major	major	I	I, major	ii/ii	ii	ii/I	ii	True	ii2/ii	ii2/ii, major		ii2/ii, major	ii	ii	ii7	2	2	5	5	7	9	7	D#	C#	B	C#	minor seventh chord	3	True	False	True	True	True	5	5	3	7	True	False	False
24	8	3.0	70	10	A	1	4.0	4	True	4	4	2	1	1/4	True	5	1	1	1	1a	4	3	False	True				False	1	ii2/ii	B	I		ii2/ii	ii		2		ii	mm7	False	False	(2, 4, 1, 5)	()	4	2	major	major	I	I, major	ii/ii	ii	ii/I	ii	True	ii2/ii	ii2/ii, major		ii2/ii, major	ii	ii	ii7	2	2	5	5	7	9	7	D#	C#	B	C#	minor seventh chord	3	True	False	True	True	True	5	5	3	7	True	False	False
26	2	3.25	63	9	D	1	4.25	0	False	4	4	2	2	1/16	True	5	1	1	1	1a	4	13/4	False	False				False	1	ii2/ii	B	I		ii2/ii	ii		2		ii	mm7	False	False	(2, 4, 1, 5)	()	4	2	major	major	I	I, major	ii/ii	ii	ii/I	ii	True	ii2/ii	ii2/ii, major		ii2/ii, major	ii	ii	ii7	2	2	5	5	7	9	7	D#	C#	B	C#	minor seventh chord	3	True	False	True	True	True	4	4	2	3	True	True	False
26	2	3.25	66	6	F	1	4.25	0	False	4	4	2	2	1/16	True	5	1	1	1	1a	4	13/4	False	False				False	1	ii2/ii	B	I		ii2/ii	ii		2		ii	mm7	False	False	(2, 4, 1, 5)	()	4	2	major	major	I	I, major	ii/ii	ii	ii/I	ii	True	ii2/ii	ii2/ii, major		ii2/ii, major	ii	ii	ii7	2	2	5	5	7	9	7	D#	C#	B	C#	minor seventh chord	3	True	False	True	True	True	1	1	-1	5	True	False	False
28	4	3.5	58	10	A	1	4.5	0	False	4	4	3	1	1/8	True	5	1	1	1	1a	3	7/2	False	False				False	1	ii2/ii	B	I		ii2/ii	ii		2		ii	mm7	False	False	(2, 4, 1, 5)	()	4	2	major	major	I	I, major	ii/ii	ii	ii/I	ii	True	ii2/ii	ii2/ii, major		ii2/ii, major	ii	ii	ii7	2	2	5	5	7	9	7	D#	C#	B	C#	minor seventh chord	3	True	False	True	True	True	5	5	3	7	True	False	False
30	2	3.75	63	9	D	1	4.75	0	False	4	4	2	2	1/16	True	5	1	1	1	1a	4	15/4	False	False				False	1	ii2/ii	B	I		ii2/ii	ii		2		ii	mm7	False	False	(2, 4, 1, 5)	()	4	2	major	major	I	I, major	ii/ii	ii	ii/I	ii	True	ii2/ii	ii2/ii, major		ii2/ii, major	ii	ii	ii7	2	2	5	5	7	9	7	D#	C#	B	C#	minor seventh chord	3	True	False	True	True	True	4	4	2	3	True	True	False
30	2	3.75	66	6	F	1	4.75	0	False	4	4	2	2	1/16	True	5	1	1	1	1a	4	15/4	False	False				False	1	ii2/ii	B	I		ii2/ii	ii		2		ii	mm7	False	False	(2, 4, 1, 5)	()	4	2	major	major	I	I, major	ii/ii	ii	ii/I	ii	True	ii2/ii	ii2/ii, major		ii2/ii, major	ii	ii	ii7	2	2	5	5	7	9	7	D#	C#	B	C#	minor seventh chord	3	True	False	True	True	True	1	1	-1	5	True	False	False
32	4	4.0	48	12	B	1	1.0	1	True	4	4	3	1	1/8	True	5	2	2	2	2a	2	4	False	True				False	2	V65/ii	B	I		V65/ii	V		65		ii	Mm7	False	False	(7, 4, 1, 3)	()	3	7	major	major	I	I, major	V/ii	ii	ii/I	ii	True	V65/ii	V65/ii, major		V65/ii, major	ii	ii	V7	5	2	5	5	7	8	12	G#	B#	B	C#	dominant seventh chord	1	True	False	True	True	True	7	7	5	#1	True	False	True
32	16	4.0	48	12	B	1	1.0	1	True	4	4	3	2	1/2	True	5	2	2	2	2a	2	4	False	True				False	2	V65/ii	B	I		V65/ii	V		65		ii	Mm7	False	False	(7, 4, 1, 3)	()	3	7	major	major	I	I, major	V/ii	ii	ii/I	ii	True	V65/ii	V65/ii, major		V65/ii, major	ii	ii	V7	5	2	5	5	7	8	12	G#	B#	B	C#	dominant seventh chord	1	True	False	True	True	True	7	7	5	#1	True	False	True
32	8	4.0	68	8	G	1	1.0	1	True	4	4	1	1	1/4	True	5	2	2	2	2a	4	4	False	True				False	2	V65/ii	B	I		V65/ii	V		65		ii	Mm7	False	False	(7, 4, 1, 3)	()	3	7	major	major	I	I, major	V/ii	ii	ii/I	ii	True	V65/ii	V65/ii, major		V65/ii, major	ii	ii	V7	5	2	5	5	7	8	12	G#	B#	B	C#	dominant seventh chord	1	True	False	True	True	True	3	3	1	6	True	True	False
